Balsam Lake Mountain Wild Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALDER LAKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,10 Year Rolling Averages,,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,10-YEAR-AVG-2016,10-YEAR-AVG-2017,10-YEAR-AVG-2018,10-YEAR-AVG 2019,10-YEAR-AVG-2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046
January,,34,19,2,2,5,0,41,14,48,7,0,34,21,25,24,46,,,25,,19,,25,24,36,26,26,31,39,90,22,40,33,,,,,,,,,,,,,,,,,,,18.333333333333332,17.2,13.8,15.3,17.2,19.5,21.4,26,24.333333333333332,25.625,22.75,25,27.714285714285715,26.666666666666668,27.333333333333332,27.166666666666668,29.166666666666668,25.833333333333332,25.857142857142858,26.5,28.25,35.111111111111114,35.44444444444444,35.9,36.7,38.111111111111114,38.375,40.142857142857146,42.5,44.8,46.25,31.666666666666668,36.5,33,,,,,,,,,,,,,
February,,21,21,6,10,10,0,28,10,51,9,21,20,13,24,11,23,,,45,,27,,24,12,44,10,10,15,38,36,31,45,55,,,,,,,,,,,,,,,,,,,17.444444444444443,16.6,16.6,16.5,17.2,18.6,18.7,21,20.22222222222222,21.5,20.75,22.428571428571427,23.285714285714285,23.833333333333332,25.666666666666668,23.666666666666668,29.166666666666668,27,24.571428571428573,23.375,22.5,24,24.444444444444443,26.5,29.6,31.555555555555557,30,32.857142857142854,36.666666666666664,41,41.75,43.666666666666664,50,55,,,,,,,,,,,,,
March,,12,1,6,29,10,14,38,16,23,9,69,9,24,14,20,43,,,13,,87,,8,10,47,6,6,59,108,85,42,51,63,,,,,,,,,,,,,,,,,,,16.555555555555557,15.8,21.5,22.3,24.1,22.6,23.6,26.5,25.22222222222222,26.375,25.125,27.428571428571427,30,33.5,30.833333333333332,30.166666666666668,34.666666666666664,28.5,25.285714285714285,29.5,41.375,46.22222222222222,41.22222222222222,42.2,47.7,51.888888888888886,52.5,59.142857142857146,68,69.8,60.25,52,57,63,,,,,,,,,,,,,
April,144,50,48,50,90,60,110,148,116,95,59,69,88,73,53,137,68,,,156,,110,,66,94,113,168,168,34,105,209,86,134,127,,,,,,,,,,,,,,,,,,,91.1,82.6,84.5,88.5,90.8,87.1,94.8,90.6,84.22222222222223,80.25,87.875,92,97.85714285714286,99.5,98.33333333333333,105.16666666666667,101.16666666666667,117.83333333333333,125,113.625,107.25,118.55555555555556,115.88888888888889,117.7,123.8,127.11111111111111,128.875,123.28571428571429,115.83333333333333,132.2,139,115.66666666666667,130.5,127,,,,,,,,,,,,,
May,218,75,174,129,313,94,190,266,208,130,165,238,125,52,119,225,172,,,250,,154,,208,183,176,179,179,300,241,246,206,170,147,,,,,,,,,,,,,,,,,,,179.7,174.4,190.7,185.8,178.1,158.7,171.8,170,159.33333333333334,153.25,168.25,168.71428571428572,156.71428571428572,162,188,198.66666666666666,190.5,191.66666666666666,189.85714285714286,203.625,202.5,207.33333333333334,213.11111111111111,208.8,202.7,204.88888888888889,208.5,212.71428571428572,218.33333333333334,202,192.25,174.33333333333334,158.5,147,,,,,,,,,,,,,
June,165,75,123,124,101,117,146,182,647,86,211,287,252,224,198,197,243,,,264,,238,,239,282,332,328,328,282,313,264,228,234,168,,,,,,,,,,,,,,,,,,,176.6,181.2,202.4,215.3,225.3,235,243,252.7,260.55555555555554,212.25,234.5,237.85714285714286,230.85714285714286,227.33333333333334,229.83333333333334,243.83333333333334,266.3333333333333,280.5,287.2857142857143,286.625,292.75,289.55555555555554,288.44444444444446,283,275.9,275.22222222222223,268.125,259.57142857142856,248.16666666666666,241.4,223.5,210,201,168,,,,,,,,,,,,,
July,320,108,269,85,321,231,255,372,322,216,355,404,349,366,272,239,351,,,549,,331,,349,295,649,446,446,393,378,408,318,310,299,,,,,,,,,,,,,,,,,,,249.9,253.4,283,291,319.1,314.2,315,324.6,319.3333333333333,319,360.625,361.42857142857144,351,351.3333333333333,348.5,352.3333333333333,420.6666666666667,436.5,437.85714285714283,432.25,410.875,410.55555555555554,409.1111111111111,399.2,394.2,405.22222222222223,374.75,364.57142857142856,351,342.6,333.75,309,304.5,299,,,,,,,,,,,,,
August,216,182,217,163,219,359,211,375,328,354,346,379,377,289,236,380,351,,,274,,335,,277,342,553,452,452,521,387,290,320,280,303,,,,,,,,,,,,,,,,,,,262.4,275.4,295.1,311.1,323.7,325.4,327.5,341.5,337.77777777777777,339,329,326.57142857142856,320.2857142857143,310.8333333333333,308.8333333333333,326.5,355.3333333333333,372.1666666666667,383.57142857142856,400.75,414.875,401,399.3333333333333,387.4,390,395.3333333333333,375.625,364.7142857142857,350.1666666666667,316,298.25,301,291.5,303,,,,,,,,,,,,,
September,118,102,148,113,117,63,124,214,240,210,246,190,91,129,216,133,196,,,123,,181,,177,272,260,299,299,284,444,261,176,208,229,,,,,,,,,,,,,,,,,,,144.9,157.7,166.5,160.8,162.4,172.3,179.3,186.5,183.44444444444446,176.375,165.5,154,152.71428571428572,163,171,180.33333333333334,201.5,218.66666666666666,230.14285714285714,236.875,277,275.22222222222223,274.6666666666667,268,273.2,273.3333333333333,275,271.57142857142856,267,263.6,218.5,204.33333333333334,218.5,229,,,,,,,,,,,,,
