Sundown Wild Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASHOKAN HIGH POINT - Kanape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,10 Year Rolling Averages,,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,10-YEAR-AVG-2015,10-YEAR-AVG-2016,10-YEAR-AVG-2017,10-YEAR-AVG-2018,10-YEAR-AVG 2019,10-YEAR-AVG-2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046
January,,,,,,10,26,87,71,53,53,114,51,99,53,42,46,,,0,,0,85,34,72,39.5,69,72,50,71,112,47,84,59,35,,,,,,,,,,,,,,,,,,49.4,50,59.142857142857146,58.125,62.666666666666664,61.7,64.9,66.9,64.66666666666667,63.875,57.25,57.857142857142854,41.57142857142857,46.42857142857143,37.142857142857146,39.857142857142854,39.5,42.785714285714285,46.4375,46.833333333333336,54.72222222222222,60.45,65.15,65.05,67.55,63.85,66.55555555555556,66.25,65.42857142857143,68,67.4,56.25,59.333333333333336,47,35,,,,,,,,,,,,
February,,,,,,10,45,89,62,60,23,100,50,85,60,71,45,,,0,,66,54,50,25,40,62,52,70,70,71,54,98,92,27,,,,,,,,,,,,,,,,,,53.2,48.166666666666664,55.57142857142857,54.875,58.22222222222222,58.4,64.5,64.5,61.77777777777778,61.75,54.25,58.714285714285715,53.857142857142854,54.42857142857143,49.42857142857143,44.42857142857143,40,42.42857142857143,43.625,46.55555555555556,54.333333333333336,56,54.8,59.2,63.4,63.6,66.22222222222223,66.75,68.85714285714286,68.66666666666667,68.4,67.75,72.33333333333333,59.5,27,,,,,,,,,,,,
March,,,,,,10,67,93,73,107,52,108,46,43,65,73,59,,,0,,120,129,64,69,73.5,41,94,73,137,112,80,51,103,83,,,,,,,,,,,,,,,,,,70,67,72.85714285714286,69.5,66.55555555555556,66.4,72.7,71.9,69.55555555555556,69.125,55.75,56.285714285714285,58,69.85714285714286,72.85714285714286,73.42857142857143,73.5,70.92857142857143,73.8125,73.72222222222223,88.94444444444444,91.25,87.25,79.45,83.35,84.75,86,91.625,91.28571428571429,94.33333333333333,85.8,79.25,79,93,83,,,,,,,,,,,,
April,,,,,,50,153,168,157,70,139,128,130,144,72,160,94,,,37,,215,111,207,156,136.66666666666666,168,63,197,163,135,128,120,97,89,,,,,,,,,,,,,,,,,,119.6,122.83333333333333,123.57142857142857,124.375,126.55555555555556,121.1,132.1,126.2,121.55555555555556,117.125,113,109.28571428571429,121.71428571428571,119,128,140,136.66666666666666,147.2380952380952,136.70833333333331,143.4074074074074,157.4074074074074,155.16666666666666,146.46666666666664,147.36666666666665,136.36666666666665,129.66666666666666,128.88888888888889,124,132.71428571428572,122,113.8,108.5,102,93,89,,,,,,,,,,,,
May,,,,,,50,240,255,187,101,206,175,187,194,219,122,193,,,218,,181,187,237,228,207.33333333333334,307,93,219,348,191,173,186,161,72,,,,,,,,,,,,,,,,,,166.6,173.16666666666666,173.42857142857142,175.125,177.22222222222223,181.4,188.6,183.9,176,174.625,189.25,186.85714285714286,187.71428571428572,187.71428571428572,193.85714285714286,195.14285714285714,207.33333333333331,223.61904761904762,207.29166666666666,208.59259259259258,223.03703703703704,219.83333333333331,219.03333333333336,218.93333333333334,211.33333333333334,195.73333333333335,194.44444444444446,180.375,192.85714285714286,188.5,156.6,148,139.66666666666666,116.5,72,,,,,,,,,,,,
June,,,,,,132,197,177,72,80,109,228,112,161,112,149,170,,,25,,200,269,185,114,173,131,205,211,261,178,180,112,160,160,,,,,,,,,,,,,,,,,,131.6,127.83333333333333,142.14285714285714,138.375,140.88888888888889,138,139.7,137,132.55555555555554,140.125,133.25,136.71428571428572,132.71428571428572,155.14285714285714,158.57142857142858,158.85714285714286,162.28571428571428,156.71428571428572,162.75,168.11111111111111,194.33333333333334,192.7,190.7,175,172.5,177.1,177.55555555555554,183.375,180.28571428571428,175.16666666666666,158,153,144,160,160,,,,,,,,,,,,
July,,,,,,269,200,301,119,179,241,289,314,207,279,243,263,,,216,,211,196,268,214,321,340,197,229,275,246,235,180,149,260,,,,,,,,,,,,,,,,,,213.6,218.16666666666666,228.28571428571428,239,235.44444444444446,239.8,237.2,243.5,237.11111111111111,251.875,256.5,258.7142857142857,247.57142857142858,230.71428571428572,239.42857142857142,230.14285714285714,241.28571428571428,252.28571428571428,245.375,243.55555555555554,250.11111111111111,249.7,252.1,250.5,238.6,243.2,234.55555555555554,221.375,224.85714285714286,224.16666666666666,214,206,196.33333333333334,204.5,260,,,,,,,,,,,,
August,,,,,,193,254,268,208,235,140,186,213,216,136,214,226,,,257,,222,275,250,266,238,267,245,282,333,157,177,149,191,173,,,,,,,,,,,,,,,,,,231.6,216.33333333333334,212,212.125,212.55555555555554,204.9,207,204.2,197.11111111111111,195.75,198.5,206.85714285714286,212,220.85714285714286,225.71428571428572,244.28571428571428,247.71428571428572,253.57142857142858,252.5,255.77777777777777,264.22222222222223,253.5,249,236.4,230.5,221.2,219.33333333333334,213.375,208.85714285714286,196.66666666666666,169.4,172.5,171,182,173,,,,,,,,,,,,
September,,,,,,155,137,207,243,160,186,188,163,190,153,206,194,,,213,,209,238,178,223,172,172,311,173,254,200,155,105,127,101,,,,,,,,,,,,,,,,,,180.4,181.33333333333334,182.28571428571428,179.875,181,178.2,183.3,189,187,180,186.625,186.71428571428572,189.71428571428572,200.42857142857142,198.71428571428572,208.71428571428572,203.85714285714286,200.71428571428572,214.5,209.88888888888889,214.44444444444446,213,207.6,194.3,189.2,177,177.55555555555554,178.25,159.28571428571428,157,137.6,122,111,114,101,,,,,,,,,,,,
