Balsam Lake Mountain Wild Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEAVERKILL (To Fire Tower) ,,TO FIRE TOWER  BLM TH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,10 Year Rolling Averages,,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,10-YEAR-AVG- 2016,10-YEAR-AVG- 2017,10-YEAR-AVG- 2018,10-YEAR-AVG 2019,10-YEAR-AVG-2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046
January,,,,,29,4,10,27,7,23,23,10,61,18,10,25,38,,,17,,79,,28,41,30,21,26,25.666666666666668,23,119,66,59,33,,,,,,,,,,,,,,,,,,,16.666666666666668,17.571428571428573,16.625,21.555555555555557,21.2,19.3,21.4,24.2,23.88888888888889,26,25.25,25.571428571428573,35.42857142857143,31.166666666666668,32.833333333333336,38,38.833333333333336,36,34.57142857142857,33.458333333333336,34.20833333333333,43.629629629629626,42.18518518518518,43.86666666666666,44.36666666666666,44.74074074074074,46.583333333333336,50.23809523809524,54.27777777777778,60,69.25,52.666666666666664,46,33,,,,,,,,,,,,,
February,,,,,5,16,10,41,39,20,11,30,14,40,20,27,44,,,33,,184,,42,7,39,30,34,34.333333333333336,30,73,66,71,81,,,,,,,,,,,,,,,,,,,21.833333333333332,20.285714285714285,21.5,20.666666666666668,22.6,24.1,25.2,28.6,27.22222222222222,25.75,27.375,29.714285714285715,51.714285714285715,58,58.333333333333336,56.166666666666664,58.166666666666664,55.833333333333336,52.714285714285715,50.416666666666664,50.041666666666664,52.59259259259259,39.48148148148149,42.63333333333334,46.53333333333334,50.92592592592593,52.41666666666667,55.61904761904763,59.22222222222223,64.2,72.75,72.66666666666667,76,81,,,,,,,,,,,,,
March,,,,,16,10,14,34,22,33,25,14,31,29,11,21,20,,,20,,111,,31,23,67,8,22,32.333333333333336,80,105,44,25,82,,,,,,,,,,,,,,,,,,,21.5,22,21,22.11111111111111,22.8,22.3,23.4,24,22.88888888888889,23,21.375,20.857142857142858,34.714285714285715,35.333333333333336,35.666666666666664,37.666666666666664,45.333333333333336,43.333333333333336,40.285714285714285,39.291666666666664,46.791666666666664,53.25925925925926,45.81481481481482,43.733333333333334,48.833333333333336,51.70370370370371,49.79166666666667,55.761904761904766,61.38888888888889,67.2,64,50.333333333333336,53.5,82,,,,,,,,,,,,,
April,,,,,48,21,35,51,24,34,23,57,52,47,52,91,49,,,71,,114,,55,77,152,81,47,69,72,152,133,108,110,,,,,,,,,,,,,,,,,,,35.5,33.714285714285715,36.625,38.333333333333336,39.2,39.6,46.6,48,47.666666666666664,50.625,55.25,59.857142857142854,68,70.66666666666667,72,76.16666666666667,86.33333333333333,91.66666666666667,85.28571428571429,83.25,83.375,91,93.11111111111111,94.6,100.1,102.66666666666667,96.5,98.71428571428571,107.33333333333333,115,125.75,117,109,110,,,,,,,,,,,,,
May,,,,,59,79,86,121,117,110,151,83,142,47,90,132,58,,,72,,170,,108,151,175,147,135,127,136,171,217,201,189,,,,,,,,,,,,,,,,,,,95.33333333333333,103.28571428571429,100.75,105.33333333333333,99.5,102.6,107.9,105.1,103.33333333333333,101.625,96.875,89.14285714285714,101.57142857142857,94.83333333333333,105,115.16666666666667,122.33333333333333,137.16666666666666,136.85714285714286,135.625,143.625,146.66666666666666,151.88888888888889,156.8,164.9,166.44444444444446,165.375,168,173.5,182.8,194.5,202.33333333333334,195,189,,,,,,,,,,,,,
June,,,,,69,61,95,123,79,93,119,123,95,121,82,98,130,,,142,,159,,114,78,339,96,185,195,163,187,197,238,190,,,,,,,,,,,,,,,,,,,86.66666666666667,91.28571428571429,95.25,95.22222222222223,97.8,99.1,102.8,106.3,104.44444444444444,107.625,113.75,113,118.14285714285714,122,120.83333333333333,120.16666666666667,160.33333333333334,154.66666666666666,159,163.5,166.125,168.44444444444446,172.66666666666666,179.2,186.8,198.88888888888889,181.375,193.57142857142858,195,195,203,208.33333333333334,214,190,,,,,,,,,,,,,
July,,,,173,196,112,169,170,99,160,209,223,214,189,210,131,212,,,173,,180,,196,187,219,307,237,312,329,275,311,207,193,,,,,,,,,,,,,,,,,,,154.14285714285714,161,167.88888888888889,172.5,174.1,175.5,177.4,181.7,183,193.5,195.125,193.14285714285714,187,182.5,183.66666666666666,179.83333333333334,194.5,210.33333333333334,214.14285714285714,226.375,245.875,249.11111111111111,263.6666666666667,258,257.7,265.55555555555554,271.375,266.2857142857143,271.1666666666667,263,246.5,237,200,193,,,,,,,,,,,,,
August,,,,143,157,123,179,157,174,190,137,110,155,147,139,147,191,,,342,,172,,252,266,187,257,189,465,318,146,249,285,196,,,,,,,,,,,,,,,,,,,160.42857142857142,157.5,152.22222222222223,152.5,152.9,151.1,153.5,154.7,154.44444444444446,152,171,175.85714285714286,184.71428571428572,189.66666666666666,207.16666666666666,228.33333333333334,235,246,237.85714285714286,266.25,263.25,250.22222222222223,258.77777777777777,261.4,255.8,254.66666666666666,263.125,264,276.5,238.8,219,243.33333333333334,240.5,196,,,,,,,,,,,,,
September,,,,181,133,61,76,121,156,74,93,120,77,173,161,97,144,,,182,,119,,133,144,166,167,225,284,331,219,244,127,203,,,,,,,,,,,,,,,,,,,114.57142857142857,111.875,112.77777777777777,109.2,108.4,111.2,114.8,121.6,121.66666666666667,117.375,130.875,136.28571428571428,136.14285714285714,146,139.33333333333334,136.5,148,151.83333333333334,162.28571428571428,177.5,196.125,198.66666666666666,212.55555555555554,204,211,218.44444444444446,225,233.28571428571428,234.66666666666666,224.8,198.25,191.33333333333334,165,203,,,,,,,,,,,,,
