Big Indian Wilderness Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BISCUIT BROOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,10 Year Rolling Averages,,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,10-YEAR-AVG-2014,10-YEAR-AVG-2015,10-YEAR-AVG-2016,10-YEAR-AVG-2017,10-YEAR-AVG-2018,10-YEAR-AVG 2019,10-YEAR-AVG-2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046
January,16,31,27,14,50,24,13,88,32,34,81,25,38,37,38,40,32,,,0,,80,76,67,98,98,90,48,65,84,103,83,47,,,,,,,,,,,,,,,,,,,,32.9,39.4,38.8,39.9,42.2,41,42.6,44.5,39.666666666666664,40.625,36.375,30,37.857142857142854,43.285714285714285,47.57142857142857,56.142857142857146,64.42857142857143,72.71428571428571,69.625,69.11111111111111,78.44444444444444,80.9,81.2,78.3,79.55555555555556,77.25,74.28571428571429,71.66666666666667,76.4,79.25,77.66666666666667,65,47,,,,,,,,,,,,,,
February,61,54,59,14,41,49,22,48,60,67,50,80,32,56,49,23,50,,,0,,100,45,37,35,136,58,92,83,105,131,97,68,,,,,,,,,,,,,,,,,,,,47.5,46.4,49,46.3,50.5,51.3,48.7,51.5,51.888888888888886,50.875,42.5,41.42857142857143,44.285714285714285,46.142857142857146,43.42857142857143,41.42857142857143,57.57142857142857,58.714285714285715,62.875,65.11111111111111,76.77777777777777,82.2,81.9,84.2,89.44444444444444,96.25,90.57142857142857,96,96.8,100.25,98.66666666666667,82.5,68,,,,,,,,,,,,,,
March,59,41,23,17,56,40,47,41,57,57,55,84,43,26,48,63,29,,,0,,57,62,67,85,128,48,37,109,125,199,83,59,,,,,,,,,,,,,,,,,,,,43.8,43.4,47.7,49.7,50.6,49.8,52.1,50.3,51.333333333333336,50.625,43.5,41.857142857142854,38,40.714285714285715,46.57142857142857,51.857142857142854,61.142857142857146,63.857142857142854,60.5,65.88888888888889,79.77777777777777,91.7,94.3,94,97,98.5,94.28571428571429,102,115,116.5,113.66666666666667,71,59,,,,,,,,,,,,,,
April,91,74,30,50,73,48,33,171,31,62,37,71,33,55,49,50,58,,,0,,108,63,51,86,98,79,80,60,71,141,160,74,,,,,,,,,,,,,,,,,,,,66.3,60.9,60.6,60.9,61.4,59,59.2,61.7,49.55555555555556,51.875,44.125,45.142857142857146,50.42857142857143,54.714285714285715,54.142857142857146,59.42857142857143,66.28571428571429,69.28571428571429,70.625,69.44444444444444,77.33333333333333,83.7,88.9,90,94.33333333333333,95.375,95,97.66666666666667,101.2,111.5,125,117,74,,,,,,,,,,,,,,
May,69,90,136,97,106,103,72,101,121,113,62,94,33,73,91,49,61,,,39,,77,90,75,93,73,76,139,104,207,127,144,157,,,,,,,,,,,,,,,,,,,,100.8,100.1,100.5,90.2,87.8,86.3,80.9,79.8,77.44444444444444,72,62.75,62.857142857142854,60.42857142857143,68.57142857142857,68.85714285714286,69.14285714285714,72.57142857142857,74.71428571428571,82.75,85.11111111111111,103.77777777777777,106.1,112.8,119.5,124.44444444444444,128.375,136.28571428571428,146.33333333333334,147.8,158.75,142.66666666666666,150.5,157,,,,,,,,,,,,,,
June,89,60,38,56,38,88,80,51,70,60,70,92,44,68,71,57,56,,,84,,52,103,78,89,135,81,124,130,183,175,121,121,,,,,,,,,,,,,,,,,,,,63,61.1,64.3,64.9,66.1,69.4,66.3,63.9,65.33333333333333,64.75,67.75,67.42857142857143,61.714285714285715,70.14285714285714,71.57142857142857,74.14285714285714,85.28571428571429,88.85714285714286,93.25,97.33333333333333,108.33333333333333,115,121.9,123.7,128.77777777777777,133.75,133.57142857142858,142.33333333333334,146,150,139,121,121,,,,,,,,,,,,,,
July,82,109,100,115,101,99,109,73,66,99,76,87,51,97,72,78,127,,,97,,72,60,94,94,111,110,105,140,173,123,145,144,,,,,,,,,,,,,,,,,,,,95.3,94.7,92.5,87.6,85.8,82.9,80.8,82.6,83.66666666666667,85.875,85.625,87,84.85714285714286,86.14285714285714,85.71428571428571,88.85714285714286,93.57142857142857,91.14285714285714,92.875,98.11111111111111,106.55555555555556,108.2,115.5,123.9,127.22222222222223,131.375,134.28571428571428,138.33333333333334,145,146.25,137.33333333333334,144.5,144,,,,,,,,,,,,,,
August,102,93,132,89,85,82,99,101,53,96,63,75,91,86,60,94,58,,,83,,115,85,98,112,130,81,93,123,218,105,107,98,,,,,,,,,,,,,,,,,,,,93.2,89.3,87.5,83.4,83.1,80.6,81.8,77.7,75.11111111111111,77.875,76.25,78.14285714285714,83.85714285714286,83,84.71428571428571,92.14285714285714,97.28571428571429,100.57142857142857,99.625,102.22222222222223,117.22222222222223,116,115.2,116.5,118.55555555555556,119.375,117.85714285714286,124,130.2,132,103.33333333333333,102.5,98,,,,,,,,,,,,,,
September,72,57,125,75,138,95,95,96,92,135,76,85,64,107,76,83,104,,,42,,87,112,115,104,97,118,89,122,168,88,125,,,,,,,,,,,,,,,,,,,,,98,98.4,101.2,95.1,98.3,92.1,90.9,91.8,91.33333333333333,91.25,79.625,80.14285714285714,80.42857142857143,87.28571428571429,88.42857142857143,92.42857142857143,94.42857142857143,96.42857142857143,95.5,98.44444444444444,112.44444444444444,110,113.8,114,113.875,115.28571428571429,118.33333333333333,118.4,125.75,127,106.5,125,,,,,,,,,,,,,,,
October,87,83,110,95,43,101,97,102,89,103,107,71,73,75,59,71,111,,,91,,87,60,100,94,94,112,95,69,208,155,133,,,,,,,,,,,,,,,,,,,,,91,93,91.8,88.1,86.1,87.7,84.7,86.1,84.33333333333333,83.75,82.25,78.71428571428571,81,79.14285714285714,82.71428571428571,87.71428571428571,91,91.14285714285714,91.625,89.11111111111111,102.11111111111111,107.4,112,117.77777777777777,120,123.71428571428571,128.66666666666666,132,141.25,165.33333333333334,144,133,,,,,,,,,,,,,,,
November,44,35,40,74,37,57,46,95,44,31,58,44,60,59,51,63,39,,,87,,57,71,97,115,110,89,65,133,230,134,77,,,,,,,,,,,,,,,,,,,,,50.3,51.7,52.6,54.6,53.1,54.5,55.1,54.4,49.888888888888886,50.625,57.625,57.57142857142857,59.42857142857143,61,66.42857142857143,75.57142857142857,82.28571428571429,89.42857142857143,86.375,91.55555555555556,107.44444444444444,110.1,112.1,116.66666666666667,119.125,119.71428571428571,121.33333333333333,127.8,143.5,147,105.5,77,,,,,,,,,,,,,,,
December,22,20,12,45,22,16,22,34,26,25,47,59,25,43,32,52,19,,,39,,36,63,75,91,73,72,72,68,70,111,72,,,,,,,,,,,,,,,,,,,,,24.4,26.9,30.8,32.1,31.9,32.9,36.5,36.2,36.44444444444444,37.75,39.5,38.42857142857143,35.142857142857146,40.57142857142857,45.142857142857146,53.57142857142857,56.57142857142857,64.14285714285714,65.125,65.44444444444444,68.88888888888889,73.1,76.7,78.22222222222223,78.625,76.85714285714286,77.5,78.6,80.25,84.33333333333333,91.5,72,,,,,,,,,,,,,,,
Yearly Totals,794,747,832,741,790,802,735,1001,741,882,782,867,587,782,696,723,744,0,0,562,0,928,890,954,1096,1283,1014,1039,1206,1842,1592,1347,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,549.7,589.7,645.7,672.7,776.6,897.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
