Belleayre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cathedral Glen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,10 Year Rolling Averages,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,10-YEAR-AVG-2016,10-YEAR-AVG-2017,10-YEAR-AVG-2018,10-YEAR-AVG 2019,10-YEAR-AVG-2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,
January,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,11,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,10,8.666666666666666,8.666666666666666,8.666666666666666,8.666666666666666,8.666666666666666,8.666666666666666,8.666666666666666,8.666666666666666,8.5,6,,,,,,,,,,,,,,`
February,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,14,13,13,13,13,13,13,13,13,10.5,11,,,,,,,,,,,,,,
March,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,4,4,4,4,4,4,4,5.5,10,,,,,,,,,,,,,,
April,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,14,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,10,13.666666666666666,13.666666666666666,13.666666666666666,13.666666666666666,13.666666666666666,13.666666666666666,13.666666666666666,13.666666666666666,17.5,21,,,,,,,,,,,,,,
May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,15,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,19,19,19,19,19,19,19,19,19,17,19,,,,,,,,,,,,,,
June,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,3,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,15,20,20,20,20,20,20,20,20,16.5,30,,,,,,,,,,,,,,
July,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,11,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,10,8.666666666666666,8.666666666666666,8.666666666666666,8.666666666666666,8.666666666666666,8.666666666666666,8.666666666666666,8.666666666666666,8.5,6,,,,,,,,,,,,,,
August,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,12,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,10,17.333333333333332,17.333333333333332,17.333333333333332,17.333333333333332,17.333333333333332,17.333333333333332,17.333333333333332,17.333333333333332,22,32,,,,,,,,,,,,,,
September,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,24,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,14.5,12.666666666666666,11,11,11,11,11,11,11,13,7.5,6,,,,,,,,,,,,,,
October,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,9,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,8,7.666666666666667,7.666666666666667,7.666666666666667,7.666666666666667,7.666666666666667,7.666666666666667,7.666666666666667,7.666666666666667,8,7,,,,,,,,,,,,,,,
November,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,5,5,5,5,5,5,5,5,6.5,11,,,,,,,,,,,,,,,
December,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,2.6666666666666665,2.6666666666666665,2.6666666666666665,2.6666666666666665,2.6666666666666665,2.6666666666666665,2.6666666666666665,2.6666666666666665,2,4,,,,,,,,,,,,,,,
Yearly Totals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,136,108,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
