Slide Mountain Wilderness Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENNING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,10 Year Rolling Averages,,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,10-YEAR-AVG-2015,10-YEAR-AVG-2016,10-YEAR-AVG-2017,10-YEAR-AVG-2018,10-YEAR-AVG 2019,10-YEAR-AVG-2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046
January,71,115,105,25,6,18,67,72,48,82,67,81,61,34,32,45,77,,,19,,119,95,77,86,124,135,110,73,142,123,72,88,59,,,,,,,,,,,,,,,,,,,60.9,60.5,57.1,52.7,53.6,56.2,58.9,59.9,58.55555555555556,59.875,52,49.857142857142854,55.285714285714285,60.142857142857146,66.28571428571429,74,85.28571428571429,93.57142857142857,95.625,93.11111111111111,106.77777777777777,108.4,103.7,103,101.2,102.88888888888889,100.25,95.28571428571429,92.83333333333333,96.8,85.5,73,73.5,59,,,,,,,,,,,,,
February,74,74,60,20,113,65,79,104,81,54,37,116,85,43,95,46,47,,,22,,100,87,91,36,146,104,89,67,148,94,90,118,111,,,,,,,,,,,,,,,,,,,72.4,68.7,72.9,75.4,77.7,75.9,74,70.8,67.11111111111111,65.375,61.375,64.85714285714286,62.57142857142857,62.857142857142854,69.71428571428571,61.285714285714285,75.57142857142857,83.71428571428571,84.375,82.44444444444444,96.44444444444444,96.2,95.2,98.3,100.3,107.44444444444444,102.625,102.42857142857143,104.66666666666667,112.2,103.25,106.33333333333333,114.5,111,,,,,,,,,,,,,
March,91,96,20,36,99,61,107,89,79,112,45,111,64,23,61,79,44,,,57,,189,112,114,114,190,110,99,162,108,164,111,71,204,,,,,,,,,,,,,,,,,,,79,74.4,75.9,80.3,79,75.2,77,70.7,68.66666666666667,67.375,60.5,62.714285714285715,73.85714285714286,80.71428571428571,93.71428571428571,101.28571428571429,117.14285714285714,126.57142857142857,123.125,127.44444444444444,133.11111111111111,136.2,128.4,124.3,133.3,135.44444444444446,128.625,131.28571428571428,136.66666666666666,131.6,137.5,128.66666666666666,137.5,204,,,,,,,,,,,,,
April,112,94,70,87,227,119,73,156,157,79,20,89,52,62,61,65,90,,,122,,161,162,72,120,169,242,127,172,196,224,137,118,233,,,,,,,,,,,,,,,,,,,117.4,108.2,107.7,105.9,103.4,86.8,81.4,83.1,75,64.75,70.125,77.28571428571429,87.57142857142857,103.28571428571429,104.71428571428571,113.14285714285714,128,149.71428571428572,146.875,149.66666666666666,157.88888888888889,164.5,162.1,157.7,173.8,179.77777777777777,181.125,172.42857142857142,180,181.6,178,162.66666666666666,175.5,233,,,,,,,,,,,,,
May,213,219,281,256,249,197,223,130,285,206,82,151,108,169,144,86,184,,,188,,259,204,246,311,235,299,190,297,380,340,253,361,260,,,,,,,,,,,,,,,,,,,225.9,212.8,206,188.7,180,169.5,158.4,154.5,157.22222222222223,141.25,139,147.14285714285714,162.57142857142858,176.28571428571428,187.28571428571428,211.14285714285714,232.42857142857142,248.85714285714286,241.5,247.66666666666666,269,276.1,275.5,291.2,292.6,290.55555555555554,297.5,297.2857142857143,315.1666666666667,318.8,303.5,291.3333333333333,310.5,260,,,,,,,,,,,,,
June,160,244,214,182,194,170,180,171,212,129,66,157,116,166,180,121,110,,,161,,196,191,264,205,284,158,293,297,389,438,381,272,281,,,,,,,,,,,,,,,,,,,185.6,176.2,167.5,157.7,156.1,154.7,149.8,142.8,139.66666666666666,130.625,134.625,144.42857142857142,150,160.71428571428572,174.71428571428572,178.28571428571428,201.57142857142858,208.42857142857142,219,227.66666666666666,253,271.5,290,298.1,299.8,310.3333333333333,313.625,335.85714285714283,343,352.2,343,311.3333333333333,276.5,281,,,,,,,,,,,,,
July,210,279,507,307,267,197,239,325,302,260,141,237,209,178,234,161,226,,,247,,260,209,241,294,313,426,238,338,461,249,386,310,293,,,,,,,,,,,,,,,,,,,289.3,282.4,278.2,248.4,235.5,232.2,228.6,227.3,216.44444444444446,205.75,204.125,213.14285714285714,216.42857142857142,216.42857142857142,225.42857142857142,234,255.71428571428572,284.2857142857143,278.5,285.1111111111111,308.8888888888889,302.9,315.5,325.6,330.8,334.8888888888889,337.625,325,339.5,339.8,309.5,329.6666666666667,301.5,293,,,,,,,,,,,,,
August,384,234,284,282,304,253,259,285,287,246,71,214,246,151,203,145,179,,,187,,222,334,272,381,288,261,270,319,438,299,325,292,270,,,,,,,,,,,,,,,,,,,281.8,250.5,248.5,244.7,231.6,221.5,210.7,202.7,193.55555555555554,181.875,174.5,189.28571428571428,190.42857142857142,203,220.28571428571428,245.71428571428572,266.14285714285717,277.85714285714283,276.875,281.55555555555554,309.44444444444446,308.4,318.7,314.5,314.3,306.8888888888889,309.25,316.14285714285717,323.8333333333333,324.8,296.5,295.6666666666667,281,270,,,,,,,,,,,,,
September,220,182,227,213,252,134,184,314,275,178,73,99,90,145,158,139,173,,,177,,224,212,143,252,277,305,217,263,457,293,299,243,243,,,,,,,,,,,,,,,,,,,217.9,203.2,194.9,181.2,174.4,165,165.5,164.4,147.77777777777777,131.875,131.75,140.14285714285714,158,175.42857142857142,175.14285714285714,188.57142857142858,208.28571428571428,227.14285714285714,225.875,230,261.1111111111111,264.3,271.8,274.9,284.9,288.55555555555554,290,287.85714285714283,299.6666666666667,307,269.5,261.6666666666667,243,243,,,,,,,,,,,,,
October,341,317,301,296,150,269,265,261,140,212,114,107,135,196,99,198,198,,,195,,183,296,228,289,343,257,251,304,479,254,360,197,306,,,,,,,,,,,,,,,,,,,255.2,232.5,211.5,194.9,184.9,179.8,172.7,166,155.44444444444446,157.375,155.25,161.14285714285714,172,195,199.57142857142858,226.71428571428572,247.42857142857142,255.85714285714286,255.25,260.6666666666667,292.22222222222223,288.4,306.1,296.2,304,305.6666666666667,301,307.2857142857143,316.6666666666667,319.2,279.25,287.6666666666667,251.5,306,,,,,,,,,,,,,
November,149,105,121,108,117,121,65,135,113,84,73,68,117,71,89,84,82,,,151,,94,150,139,181,156,181,104,146,251,210,155,175,76,,,,,,,,,,,,,,,,,,,111.8,104.2,100.5,100.1,96.4,93.6,89.9,91.6,86.77777777777777,83.5,91.875,94.57142857142857,98.28571428571429,103,112.71428571428571,125.85714285714286,136.14285714285714,150.28571428571428,144.5,144.66666666666666,155.77777777777777,161.2,167.3,169.8,163.5,161.55555555555554,162.25,159.57142857142858,168.83333333333334,173.4,154,135.33333333333334,125.5,76,,,,,,,,,,,,,
December,51,27,24,78,50,26,32,71,42,32,76,52,71,42,19,58,42,,,60,,71,55,101,119,43,87,87,66,84,160,72,76,,,,,,,,,,,,,,,,,,,,43.3,45.8,48.3,53,49.4,46.3,49.5,50.5,48.22222222222222,49,52.5,49.142857142857146,51.857142857142854,49.57142857142857,58,72.28571428571429,70.14285714285714,76.57142857142857,77.875,76.55555555555556,79.22222222222223,87.3,87.4,89.5,88.22222222222223,84.375,90.28571428571429,90.83333333333333,91.6,98,102.66666666666667,74,76,,,,,,,,,,,,,,
Yearly Totals,2076,1986,2214,1890,2028,1630,1773,2113,2021,1674,865,1482,1354,1280,1375,1227,1452,0,0,1586,0,2078,2107,1988,2388,2568,2565,2075,2504,3533,2848,2641,2321,2336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,1181.3,1282.6,1416.7,1528,1735.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
