Willowemoc Wild Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLYNN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,10 Year Rolling Averages,,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,10-YEAR-AVG-2015,10-YEAR-AVG-2016,10-YEAR-AVG-2017,10-YEAR-AVG-2018,10-YEAR-AVG 2019,10-YEAR-AVG-2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,Hodge Pond Sign-ins 2020
January,,,,,2,1,0,11,6,65,4,6,1,3,5,12,13,,,,,2,11,5,3,28,28,32,29,37,44,7,34,12,,,,,,,,,,,,,,,,,,,14.166666666666666,12.714285714285714,11.875,10.666666666666666,9.9,10.2,11.3,12.6,12.777777777777779,13.625,6.285714285714286,6.666666666666667,6,7.666666666666667,8,7.666666666666667,10.333333333333334,12.833333333333334,15.571428571428571,17.25,19.444444444444443,21.9,22.4,24.7,25.4,27.88888888888889,27.875,27.857142857142858,27.166666666666668,26.8,24.25,17.666666666666668,23,12,,,,,,,,,,,,,,25
February,,,,,2,12,12,13,8,18,0,15,10,2,5,4,2,,,,,2,4,0,2,29,29,22,19,27,30,9,11,13,,,,,,,,,,,,,,,,,,,10.833333333333334,9.285714285714286,10,10,9.2,9.5,8.7,7.7,7.111111111111111,7,5.428571428571429,6.333333333333333,4.166666666666667,3.1666666666666665,2.8333333333333335,2.3333333333333335,6.5,11,12.571428571428571,13.375,14.88888888888889,16.4,17.1,17.8,19.1,21,20,18.714285714285715,18.166666666666668,18,15.75,11,12,13,,,,,,,,,,,,,,4
March,,,,,17,4,5,15,10,0,2,13,1,4,2,9,4,,,,,10,7,5,6,16,16,4,14,64,45,9,16,12,,,,,,,,,,,,,,,,,,,8.5,7.571428571428571,8.25,7.444444444444445,7.1,5.6,6.1,6,5,4.375,5,5.5,5,6,6.166666666666667,6.833333333333333,8,10,9.142857142857142,9.75,15.777777777777779,18.7,18.6,19.5,20.2,21.77777777777778,22.5,23.428571428571427,26.666666666666668,29.2,20.5,12.333333333333334,14,12,,,,,,,,,,,,,,39
April,,,,,18,10,20,36,11,24,18,20,25,11,12,20,14,,,,,28,14,15,43,35,35,28,67,41,43,28,33,18,,,,,,,,,,,,,,,,,,,19.833333333333332,19.571428571428573,19.625,20.22222222222222,19.3,18.7,19.7,19.1,17.22222222222222,18,17.142857142857142,17,18.333333333333332,16.5,17.166666666666668,22.333333333333332,24.833333333333332,28.333333333333332,28.285714285714285,33.125,34,34.9,34.9,36.8,37.1,36.44444444444444,36.625,36.857142857142854,38.333333333333336,32.6,30.5,26.333333333333332,25.5,18,,,,,,,,,,,,,,8
May,,,,,19,20,47,47,27,16,25,46,19,40,38,26,21,,,,,17,12,71,60,50,43,60,88,49,51,74,62,24,,,,,,,,,,,,,,,,,,,29.333333333333332,28.714285714285715,30.875,29.555555555555557,30.6,32.5,33.1,30.5,28.666666666666668,28.875,30.714285714285715,31.666666666666668,26.833333333333332,25.666666666666668,30.833333333333332,34.5,38.5,42.166666666666664,44.714285714285715,50.125,50,50.1,55.8,60.8,56.1,55.666666666666664,56.375,58.285714285714285,58,52,52.75,53.333333333333336,43,24,,,,,,,,,,,,,,28
June,,,,,23,43,28,62,42,33,38,28,33,34,45,30,45,,,,,55,30,51,43,56,76,122,72,111,91,119,35,30,,,,,,,,,,,,,,,,,,,38.5,38.42857142857143,37.125,36.666666666666664,36.4,38.6,37.3,39,36.44444444444444,35.75,36.142857142857146,35.833333333333336,40.333333333333336,39.833333333333336,42.666666666666664,42.333333333333336,46.666666666666664,51.833333333333336,61.857142857142854,63.125,68.44444444444444,70.7,77.1,77.6,75.5,79.11111111111111,82,82.85714285714286,76.33333333333333,77.2,68.75,61.333333333333336,32.5,30,,,,,,,,,,,,,,29
July,,,,,84,95,158,138,191,131,91,124,99,91,193,76,146,,,,,142,102,117,120,145,65,158,165,132,91,64,82,64,,,,,,,,,,,,,,,,,,,132.83333333333334,126.85714285714286,126.5,123.44444444444444,120.2,131.1,129.2,128,126.88888888888889,118.875,117.14285714285714,121.5,124.5,125,129.33333333333334,117.16666666666667,128.66666666666666,115.16666666666667,121.28571428571429,126.75,127.33333333333333,123.7,115.9,113.9,108.6,107.33333333333333,102.625,108,99.66666666666667,86.6,75.25,70,73,64,,,,,,,,,,,,,,63
August,,,,85,114,171,182,124,149,86,102,128,87,86,60,86,72,,,,,38,72,119,125,93,194,153,153,124,82,116,95,25,,,,,,,,,,,,,,,,,,,130.14285714285714,126.625,126.77777777777777,122.8,122.9,117.5,109,98,95.11111111111111,88.375,88.71428571428571,86.5,71.5,69,74.5,85.33333333333333,86.5,106.83333333333333,113.42857142857143,118.375,119,115.3,123.1,125.4,116,115,117.75,106.85714285714286,99.16666666666667,88.4,79.5,78.66666666666667,60,25,,,,,,,,,,,,,,33
September,,,,66,61,31,29,61,101,40,41,40,20,23,19,53,44,,,,,28,39,26,77,95,161,95,90,143,47,28,48,71,,,,,,,,,,,,,,,,,,,55.57142857142857,53.75,52.22222222222222,49,44.7,40.5,42.7,44.2,42.333333333333336,35,34.285714285714285,33.166666666666664,31.166666666666668,34.333333333333336,34.833333333333336,44.5,51.5,71,74.42857142857143,76.375,83.77777777777777,80.1,80.1,81,85.5,86.44444444444444,85.375,74.57142857142857,71.16666666666667,67.4,48.5,49,59.5,71,,,,,,,,,,,,,,59
