Slide Mountain Wilderness Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOX HOLLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,10 Year Rolling Averages,,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,10-YEAR-AVG-2015,10-YEAR-AVG-2016,10-YEAR-AVG-2017,10-YEAR-AVG-2018,10-YEAR-AVG 2019,10-YEAR-AVG-2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046
January,16,20,18,0,46,13,42,29,40,35,41,24,8,24,28,26,49,,,30,,59,46,38,29,63,61,21,0,41,123,25,44,20,,,,,,,,,,,,,,,,,,,25.9,28.4,28.8,27.8,30.2,28.4,29.7,30.4,30.555555555555557,29.375,28.75,27,32,37.42857142857143,39.42857142857143,39.57142857142857,44.857142857142854,46.57142857142857,43.375,38.55555555555556,39.77777777777778,48.1,44.7,44.5,42.7,44.22222222222222,41.875,39.142857142857146,42.166666666666664,50.6,53,29.666666666666668,32,20,,,,,,,,,,,,,
February,44,35,16,5,23,26,144,43,42,11,19,27,19,36,12,10,20,,,19,,75,37,51,6,40,51,55,0,47,47,6,60,67,,,,,,,,,,,,,,,,,,,38.9,36.4,35.6,35.9,39,37.9,36.3,23.9,21.77777777777778,19.25,20.25,20.428571428571427,27.285714285714285,29.857142857142858,32,31.142857142857142,35.42857142857143,39.857142857142854,41.75,37.111111111111114,40.22222222222222,40.9,34,36.3,37.9,41.44444444444444,41.625,40.285714285714285,37.833333333333336,45.4,45,44.333333333333336,63.5,67,,,,,,,,,,,,,
March,49,37,5,50,40,50,44,28,43,27,18,27,29,25,3,30,32,,,31,,64,54,46,11,96,37,6,0,48,106,41,50,40,,,,,,,,,,,,,,,,,,,37.3,34.2,33.2,35.6,33.1,29.4,27.4,26.2,26,23.875,24.375,25.285714285714285,30.571428571428573,34.142857142857146,37.142857142857146,38.285714285714285,47.714285714285715,48.42857142857143,43.125,38.333333333333336,40.22222222222222,46.8,44.5,44.1,43.5,47.111111111111114,41,41.57142857142857,47.5,57,59.25,43.666666666666664,45,40,,,,,,,,,,,,,
April,51,40,22,108,43,23,98,51,0,54,41,73,39,47,25,44,33,,,34,,40,71,40,59,70,79,69,64,69,117,118,53,48,,,,,,,,,,,,,,,,,,,49,48,51.3,53,46.9,45.1,47.2,40.7,39.55555555555556,44.5,42,42.142857142857146,37.42857142857143,42,41,45.857142857142854,49.57142857142857,56.142857142857146,57.75,58.44444444444444,62.333333333333336,67.8,75.6,73.8,74.6,76.33333333333333,77.125,76.85714285714286,78.16666666666667,81,84,73,50.5,48,,,,,,,,,,,,,
May,115,91,87,180,86,111,135,142,37,69,34,61,38,93,78,48,81,,,115,,114,75,100,108,102,155,91,99,109,156,80,102,71,,,,,,,,,,,,,,,,,,,105.3,97.2,94.2,89.3,80.6,79.8,73.5,68.1,59.888888888888886,62.75,68.5,73.42857142857143,81,86.28571428571429,87.28571428571429,91.57142857142857,99.28571428571429,109.85714285714286,107.5,106.55555555555556,105.88888888888889,110.9,107.5,110.2,107.3,107.22222222222223,107.875,101.14285714285714,102.83333333333333,103.6,102.25,84.33333333333333,86.5,71,,,,,,,,,,,,,
June,69,59,49,51,98,103,80,63,69,37,43,99,82,54,28,36,38,,,78,,78,84,120,100,109,52,133,96,135,121,86,88,64,,,,,,,,,,,,,,,,,,,67.8,65.2,69.2,72.5,72.8,65.8,59.1,54.9,54,52.125,57.25,59.285714285714285,56.285714285714285,56.57142857142857,66,76.28571428571429,86.71428571428571,88.71428571428571,94.25,94.44444444444444,100.77777777777777,102.8,103.6,104,98.4,98.22222222222223,96.875,103.28571428571429,98.33333333333333,98.8,89.75,79.33333333333333,76,64,,,,,,,,,,,,,
July,73,84,98,92,82,78,103,89,81,75,83,119,83,65,84,105,90,,,104,,93,71,181,104,174,162,149,147,82,146,93,88,98,,,,,,,,,,,,,,,,,,,85.5,86.5,90,88.5,85.8,86,88.7,87.4,87.22222222222223,88,91.625,92.85714285714286,89.14285714285714,87.42857142857143,104,106.85714285714286,116.71428571428571,127,129.75,131.66666666666666,129.22222222222223,130.9,130.9,132.6,124.3,126.55555555555556,120.625,114.71428571428571,109,101.4,106.25,93,93,98,,,,,,,,,,,,,
August,126,119,126,83,139,125,107,130,109,82,68,127,108,113,41,78,49,,,98,,137,109,203,147,133,178,109,177,184,106,89,125,114,,,,,,,,,,,,,,,,,,,114.6,108.8,109.6,107.8,110.8,101,96.3,90.5,86.11111111111111,83.25,85.25,87.71428571428571,89.14285714285714,89.28571428571429,102.14285714285714,117.28571428571429,125.14285714285714,143.57142857142858,139.25,143.44444444444446,153,148.3,143.5,145.1,136.2,135,135.25,129.14285714285714,132.5,123.6,108.5,109.33333333333333,119.5,114,,,,,,,,,,,,,
September,69,87,101,85,111,292,68,97,128,102,35,85,44,101,85,91,97,,,88,,56,81,123,92,97,125,130,152,220,97,93,130,36,,,,,,,,,,,,,,,,,,,114,110.6,110.4,104.7,106.3,103.7,83.6,86.5,85.33333333333333,80,78.25,84.42857142857143,80.28571428571429,85.57142857142857,88.71428571428571,89.71428571428571,90.57142857142857,94.57142857142857,99,104.88888888888889,119.55555555555556,117.3,121,125.9,117.2,120,122.875,122.57142857142857,121.33333333333333,115.2,89,86.33333333333333,83,36,,,,,,,,,,,,,
