Willowemoc Wild Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRICK POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,10 Year Rolling Averages,,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,10-YEAR-AVG-2015,10-YEAR-AVG-2016,10-YEAR-AVG-2017,10-YEAR-AVG-2018,10-YEAR-AVG 2019,10-YEAR-AVG-2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,Hodge Pond Sign-ins 2020
January,,1,18,4,9,9,19,7,35,0,5,22,16,26,33,50,21,,,,,,5,21,29,35,61,61,,75,111,42,61,53,,,,,,,,,,,,,,,,,,,11.333333333333334,10.7,12.8,12.6,14.8,17.2,21.3,21.5,23.11111111111111,21.625,24.714285714285715,28,29.2,27,26,25.2,22.2,30.2,35.333333333333336,35.333333333333336,41,49.75,48.888888888888886,55.111111111111114,58.666666666666664,62.375,66.28571428571429,67.16666666666667,68.4,68.4,66.75,52,57,53,,,,,,,,,,,,,,1
February,,6,11,2,26,12,41,36,10,37,25,40,30,26,14,23,28,,,,,,5,25,13,30,143,143,9,133,150,57,43,35,,,,,,,,,,,,,,,,,,,20.11111111111111,20.6,24,25.9,28.3,27.1,28.2,26.9,25.88888888888889,27.875,26.571428571428573,26.833333333333332,24.2,19.2,19,18.8,20.2,43.2,59.833333333333336,52.57142857142857,62.625,72.33333333333333,70.8,74.6,75.6,82.55555555555556,89.125,81.42857142857143,71.16666666666667,83.6,71.25,45,39,35,,,,,,,,,,,,,,7
March,,2,10,7,24,19,19,17,27,16,20,18,12,10,11,13,16,,,,,,23,13,43,56,49,49,80,122,150,42,58,45,,,,,,,,,,,,,,,,,,,15.666666666666666,16.1,17.7,17.9,18.2,16.9,16.3,16,15.88888888888889,14.5,14.285714285714286,13.333333333333334,12.4,14.6,15.2,21.6,30.2,36.8,38.833333333333336,44.714285714285715,54.375,65,62.7,66.2,69.4,72.33333333333333,74.375,78,82.83333333333333,83.4,73.75,48.333333333333336,51.5,45,,,,,,,,,,,,,,1
April,,4,7,31,11,40,29,54,5,51,35,32,24,32,26,28,32,,,,,,35,32,31,67,69,69,48,64,110,51,62,70,,,,,,,,,,,,,,,,,,,25.77777777777778,26.7,29.5,31.2,31.3,32.8,31.6,31.9,29.444444444444443,32.5,29.857142857142858,29,28.4,30.6,30.6,31.6,39.4,46.8,50.5,50.142857142857146,51.875,58.333333333333336,57.6,60.3,64.1,67.77777777777777,67.875,67.71428571428571,67.5,71.4,73.25,61,66,70,,,,,,,,,,,,,,1
May,,32,54,55,107,120,67,97,191,83,70,54,49,81,66,73,83,,,,,,50,89,113,75,101,159,172,120,184,110,113,125,,,,,,,,,,,,,,,,,,,89.55555555555556,87.6,89.8,89.3,91.9,87.8,83.1,84.7,83.33333333333333,69.875,68,67.66666666666667,70.4,70.6,72.2,81.6,82,85.6,97.83333333333333,108.42857142857143,109.875,118.11111111111111,117.3,123.6,127.2,128.77777777777777,135.5,140.42857142857142,137.33333333333334,130.4,133,116,119,125,,,,,,,,,,,,,,14
June,,34,50,50,204,117,107,106,109,63,75,90,80,98,68,29,83,,,,,,39,86,76,272,175,163,141,184,107,184,166,131,,,,,,,,,,,,,,,,,,,93.33333333333333,91.5,97.1,100.1,104.9,91.3,82.5,80.1,77.22222222222223,73.25,74.71428571428571,74.66666666666667,71.6,63.4,61,62.6,111.2,129.6,135.16666666666666,136,142,138.11111111111111,142.7,155.4,159.9,169.22222222222223,156.375,153.71428571428572,152.16666666666666,154.4,147,160.33333333333334,148.5,131,,,,,,,,,,,,,,12
July,,104,114,83,398,230,445,435,426,356,332,258,204,159,230,105,150,,,,,,212,217,208,308,346,201,391,292,237,271,204,209,,,,,,,,,,,,,,,,,,,287.8888888888889,292.3,307.7,316.7,324.3,307.5,295,265.5,246.66666666666666,224.25,205.42857142857142,184.33333333333334,169.6,171.2,182.8,178.4,219,258.2,248.66666666666666,269,271.875,268,268.3,267.5,266.7,273.22222222222223,268.875,257.85714285714283,267.3333333333333,242.6,230.25,228,206.5,209,,,,,,,,,,,,,,12
August,,129,149,388,357,415,451,575,394,166,275,237,213,122,193,201,180,,,,,,160,280,292,308,306,243,341,259,253,260,214,192,,,,,,,,,,,,,,,,,,,336,329.9,340.7,347.1,320.5,304.1,282.7,255.6,220.11111111111111,198.375,203,191,181.8,171.2,202.8,222.6,244,269.2,264.8333333333333,275.7142857142857,273.625,271.3333333333333,270.2,275.6,266.8,264,258.5,251.71428571428572,253.16666666666666,235.6,229.75,222,203,192,,,,,,,,,,,,,,13
September,,47,73,169,174,107,83,228,148,99,122,57,71,70,99,27,90,,,,,,117,150,122,138,152,93,192,304,131,117,115,200,,,,,,,,,,,,,,,,,,,125.33333333333333,125,126,125.8,115.9,108.4,100.4,101.1,87,79.375,76.57142857142857,69,71.4,80.6,96.6,101.2,123.4,135.8,128.66666666666666,137.71428571428572,158.5,155.44444444444446,151.6,151.4,156.4,160.22222222222223,163,164.57142857142858,176.5,173.4,140.75,144,157.5,200,,,,,,,,,,,,,,8
October,5,16,47,85,71,130,211,164,121,110,105,78,69,66,85,108,40,,,,,,42,148,182,174,106,100,151,192,189,206,149,6,,,,,,,,,,,,,,,,,,,96,106,112.2,114.4,112.5,113.9,111.7,94.6,86.88888888888889,82.625,78.71428571428571,74.33333333333333,73.6,68.2,84.6,104,117.2,130.4,125.33333333333333,129,136.875,142.66666666666666,149,159.7,145.5,141.44444444444446,137.375,141.85714285714286,148.83333333333334,148.4,137.5,120.33333333333333,77.5,6,,,,,,,,,,,,,,0
November,20,13,5,31,27,64,36,67,34,129,65,74,5,19,39,9,23,,,,,,,18,89,76,110,58,66,132,26,53,98,,,,,,,,,,,,,,,,,,,,42.6,47.1,53.2,53.2,52,53.2,47.7,46.4,44.111111111111114,45.375,33.42857142857143,28.166666666666668,19,22.5,22.25,34.75,51.5,73.25,70.2,69.5,78.42857142857143,71.875,69.77777777777777,72.6,78.66666666666667,77.375,77.57142857142857,72.16666666666667,75,77.25,59,75.5,98,,,,,,,,,,,,,,,7
December,18,10,18,29,10,16,18,23,17,22,24,20,0,11,15,26,17,,,,,,4,16,33,36,24,52,59,32,79,39,59,,,,,,,,,,,,,,,,,,,,18.1,18.7,19.7,17.9,16.1,16.6,17.6,17.5,16.88888888888889,16.875,16.142857142857142,14.833333333333334,13.8,14.6,15.6,19.2,21.2,22.6,27.5,32,32,37.22222222222222,37.4,42.9,45.888888888888886,47.5,49.142857142857146,53.333333333333336,53.6,52.25,59,49,59,,,,,,,,,,,,,,,0
Yearly Totals,43,398,556,934,1418,1279,1526,1809,1517,1132,1153,980,773,720,879,692,763,0,0,0,0,0,692,1095,1231,1575,1642,1391,1650,1909,1727,1432,1342,1066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,447.3,535.6,623.5,762.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76
