Slide Mountain Wilderness Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIANT LEDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,10 Year Rolling Averages,,,,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,10-YEAR-AVG-2014,10-YEAR-AVG-2015,10-YEAR-AVG-2016,10-YEAR-AVG-2017,10-YEAR-AVG-2018,10-YEAR-AVG 2019,10-YEAR-AVG-2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046
January,96,102,157,93,247,78,137,239,119,346,93,159,92,148,162,186,189,,,168,,260,280,237,329,244,435,242,365,454,532,300,503,253,268,,,,,,,,,,,,,,,,,,,,161.4,161.1,166.8,160.3,165.8,157.3,168.1,173.3,166,171.875,149.625,157.71428571428572,172.14285714285714,199,211.71428571428572,235.57142857142858,243.85714285714286,279,274.375,284.44444444444446,316.22222222222223,337.8,341.8,364.1,365.7,359.6,372.44444444444446,364.625,382.14285714285717,385,371.2,331,341.3333333333333,260.5,268,,,,,,,,,,,,
February,183,123,126,105,134,111,163,207,195,140,128,255,116,156,146,176,135,,,161,,314,150,178,192,188,378,327,338,429,349,294,317,333,184,,,,,,,,,,,,,,,,,,,,148.7,143.2,156.4,155.4,160.5,161.7,168.2,165.4,160.77777777777777,156.5,159.125,163.57142857142858,172,176.85714285714286,180,186.57142857142858,188.28571428571428,223,236,247.33333333333334,277.1111111111111,284.3,282.3,299,314.5,313.7,327.6666666666667,321.375,320.57142857142856,317.6666666666667,295.4,282,278,258.5,184,,,,,,,,,,,,
March,244,148,47,73,233,203,129,179,188,235,159,295,160,240,184,271,103,,,299,,297,326,246,297,261,273,324,371,497,548,310,257,,371,,,,,,,,,,,,,,,,,,,,167.9,159.4,174.1,185.4,202.1,197.2,204,201.4,203.88888888888889,205.875,213.875,221.71428571428572,222,245.71428571428572,246.57142857142858,262.7142857142857,261.2857142857143,285.57142857142856,290.375,299.3333333333333,321.3333333333333,344,345.3,338.4,348.6666666666667,356.8888888888889,368.875,382.57142857142856,392.3333333333333,396.6,371.5,312.6666666666667,314,371,371,,,,,,,,,,,,
April,304,180,143,171,422,246,240,317,484,273,196,294,233,350,195,456,165,,,430,,384,363,288,531,793,797,330,456,325,604,373,331,,341,,,,,,,,,,,,,,,,,,78273,,278,267.2,278.6,287.6,305.5,282.8,303.8,296.3,294,270.25,289.875,303.2857142857143,316.14285714285717,334.7142857142857,325.85714285714283,373.85714285714283,422,512.2857142857143,489.5,485.77777777777777,474.1111111111111,487.1,486,482.8,504.44444444444446,483.3333333333333,444.625,394.2857142857143,405,394.8,412.25,348.3333333333333,336,341,341,,,,,,,,,,,,
May,472,717,487,498,638,563,585,534,957,621,492,537,427,640,546,378,461,,,871,,634,601,703,1293,826,904,691,915,748,896,569,616,,403,,,,,,,,,,,,,,,,,,,,607.2,609.2,591.2,585.2,599.4,590.2,571.7,559.3,562.1111111111111,512.75,544,551.4285714285714,565.2857142857143,590.1428571428571,599.1428571428571,705.8571428571429,769.8571428571429,833.1428571428571,815.375,826.4444444444445,812.7777777777778,821.1,814.6,816.1,828.6666666666666,729.7777777777778,717.75,691.1428571428571,691.1666666666666,646.4,621,529.3333333333334,509.5,403,403,,,,,,,,,,,,
June,505,291,391,356,444,538,441,307,241,655,431,565,334,462,351,306,567,,,582,,633,399,927,835,1119,1038,951,1004,951,836,633,485,,629,,,,,,,,,,,,,,,,,,,,416.9,409.5,436.9,431.2,441.8,432.5,409.3,421.9,434.6666666666667,458.875,449.75,452.42857142857144,462.14285714285717,471.42857142857144,537.8571428571429,607,723.1428571428571,790.4285714285714,810.5,832,873,869.3,869.3,877.9,872.4444444444445,849.5555555555555,815.875,784.1428571428571,756.3333333333334,706.8,645.75,582.3333333333334,557,629,629,,,,,,,,,,,,
July,696,637,717,506,785,863,782,683,743,1003,833,799,767,710,678,759,610,,,939,,844,1026,1242,647,1553,1814,1203,1147,993,906,874,712,150,400,,,,,,,,,,,,,,,,,,,,741.5,755.2,771.4,776.4,796.8,786.1,775.7,758.5,766.8888888888889,769.875,761.875,751.7142857142857,758.1428571428571,795.1428571428571,871.1428571428571,866.7142857142857,980.1428571428571,1152.142857142857,1158.5,1157.2222222222222,1163.2222222222222,1137.5,1140.5,1109.1,999.9,975.2,911,798.125,740.2857142857143,672.5,608.4,534,420.6666666666667,275,400,,,,,,,,,,,,
August,721,826,649,842,955,746,1093,923,475,835,648,708,1087,658,613,667,786,,,942,,870,1397,1412,465,1517,1525,983,875,1093,835,735,660,,,,,,,,,,,,,,,,,,,,,,806.5,799.2,787.4,831.2,812.8,778.6,770.7,740,719.6666666666666,750.25,763.625,780.1428571428571,803.2857142857143,847.5714285714286,955.2857142857143,934.1428571428571,1055.5714285714287,1161.142857142857,1138.875,1109.5555555555557,1126.3333333333333,1097.2,1083.7,1010,965.3333333333334,1027.875,958,863.5,839.6,830.75,743.3333333333334,697.5,660,,,,,,,,,,,,,,
September,613,562,475,481,690,450,439,717,227,282,800,662,473,554,511,430,741,,,836,,794,723,1049,1246,1126,1322,948,1113,1217,609,602,509,116,,,,,,,,,,,,,,,,,,,,,493.6,512.3,522.3,522.1,529.4,511.5,509.5,539.7,520,556.625,625.875,601,619.8571428571429,655.5714285714286,726.2857142857143,831.2857142857143,930.7142857142857,1013.7142857142857,1005.5,1017.4444444444445,1059.7777777777778,1014.7,995.5,974.1,880.8,840.2222222222222,804.5,730.5714285714286,694.3333333333334,610.6,459,409,312.5,116,,,,,,,,,,,,,
