Big Indian Wilderness Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HARDENBURGH - Mongaup Hardernburgh Trail from Beaverkill Rd,,,Mongaup Hardenburgh Trail ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,10 Year Rolling Averages,,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,10-YEAR-AVG-2016,10-YEAR-AVG-2017,10-YEAR-AVG-2018,10-YEAR-AVG 2019,10-YEAR-AVG-2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046
January,0,0,0,0,2,6,2,5,3,3,0,1,0,4,0,0,8,,,0,,,,1,1,16,7,6,0,5,10,1,4,2,,,,,,,,,,,,,,,,,,,2.1,2.1,2.2,2.2,2.6,2.4,1.8,2.4,2.111111111111111,2,1.625,1.8571428571428572,2,2.4,1.8,2,5.2,5,5.166666666666667,4.428571428571429,5.142857142857143,5.75,5.222222222222222,5.1,5.2,5.666666666666667,4.375,4,3.6666666666666665,4.4,4.25,2.3333333333333335,3,2,,,,,,,,,,,,,
February,3,0,0,0,1,1,1,3,3,0,0,4,5,3,0,1,0,,,0,,,,0,0,9,1,2,0,16,1,3,3,17,,,,,,,,,,,,,,,,,,,1.2,0.9,1.3,1.8,2.1,2,2,1.9,1.7777777777777777,1.625,1.625,1.8571428571428572,1.5,0.8,0.2,0.2,1.8,2,2,1.7142857142857142,4,3.625,3.5555555555555554,3.5,5.2,5.777777777777778,5.375,6,6.666666666666667,8,6,7.666666666666667,10,17,,,,,,,,,,,,,
March,5,3,3,5,7,4,2,8,3,7,0,5,2,0,4,9,1,,,14,,,,0,2,4,1,4,0,9,2,2,0,4,,,,,,,,,,,,,,,,,,,4.7,4.2,4.4,4.3,3.8,3.5,4,3.9,3.4444444444444446,3.5,4.375,5,5,5.6,5.6,5.2,4.2,4.2,4.166666666666667,3.5714285714285716,2.857142857142857,2.75,2.6666666666666665,2.4,2.8,2.888888888888889,2.75,3,2.8333333333333335,3.4,2,2,2,4,,,,,,,,,,,,,
April,22,15,13,16,26,2,5,6,19,3,15,17,20,14,6,13,3,,,8,,,,7,6,15,16,6,24,8,11,15,1,1,,,,,,,,,,,,,,,,,,,12.7,12,12.2,12.9,12.7,10.7,11.8,11.6,12.222222222222221,11.375,12,11.571428571428571,10.666666666666666,8.8,7.4,7.4,7.8,10.4,9.666666666666666,11.714285714285714,11.714285714285714,11.625,12,10.9,10.3,10.777777777777779,10.25,9.428571428571429,10,7.2,7,5.666666666666667,1,1,,,,,,,,,,,,,
May,33,58,50,52,24,25,15,26,30,16,5,32,44,8,32,15,35,,,9,,,,18,30,6,19,1,8,24,7,1,12,23,,,,,,,,,,,,,,,,,,,32.9,30.1,27.5,26.9,22.5,23.3,22.3,24.3,24.11111111111111,23.375,22.5,25,23.833333333333332,19.8,21.8,21.4,19.6,16.4,13.833333333333334,13,15.142857142857142,14.125,12.666666666666666,12.6,13.1,11.222222222222221,11.875,10.857142857142858,12.5,13.4,10.75,12,17.5,23,,,,,,,,,,,,,
June,21,27,22,36,15,35,12,14,151,6,4,34,48,19,27,29,19,,,12,,,,19,2,12,6,20,12,25,15,7,5,17,,,,,,,,,,,,,,,,,,,33.9,32.2,32.9,35.5,33.8,35,34.4,35.1,37.44444444444444,23.25,24,26.857142857142858,25.666666666666668,21.2,21.2,16.2,12.8,10.2,11.833333333333334,11.857142857142858,13.714285714285714,13.875,13.11111111111111,12.3,12.1,13.222222222222221,13.375,14.428571428571429,13.5,13.8,11,9.666666666666666,11,17,,,,,,,,,,,,,
July,74,43,39,56,46,20,35,32,125,18,26,49,37,22,20,16,5,,,7,,,,6,7,16,28,9,9,16,13,18,10,16,,,,,,,,,,,,,,,,,,,48.8,44,44.6,44.4,41,38.4,38,35,35.333333333333336,24.125,22.75,22.285714285714285,17.833333333333332,14,10.8,8.2,8.2,12.8,12.166666666666666,11.714285714285714,13,13,13.555555555555555,13.2,14.2,15,14.875,13,13.666666666666666,14.6,14.25,14.666666666666666,13,16,,,,,,,,,,,,,
August,56,60,70,50,59,98,40,28,160,33,27,40,49,24,38,48,14,,,18,,,,11,11,38,13,8,31,25,19,4,4,9,,,,,,,,,,,,,,,,,,,65.4,62.5,60.5,58.4,55.8,53.7,48.7,46.1,48.111111111111114,34.125,32.25,33,31.833333333333332,28.4,25.8,20.4,18.4,18.2,16.5,18.571428571428573,19.571428571428573,19.5,17.77777777777778,16.4,16.2,16.77777777777778,14.125,14.285714285714286,15.333333333333334,12.2,9,5.666666666666667,6.5,9,,,,,,,,,,,,,
September,19,34,25,28,38,11,19,24,116,15,13,20,8,24,20,0,11,,,5,,,,4,1,1,12,8,21,33,6,8,8,13,,,,,,,,,,,,,,,,,,,32.9,32.3,30.9,29.2,28.8,27,25.9,25.1,25.22222222222222,13.875,12.625,12.571428571428571,11.333333333333334,12,8,4.2,4.4,4.6,5.166666666666667,7.428571428571429,11.428571428571429,10.75,10.444444444444445,10.2,11.1,12.222222222222221,13.625,13.857142857142858,14.833333333333334,13.6,8.75,9.666666666666666,10.5,13,,,,,,,,,,,,,
October,28,35,59,52,32,24,37,16,27,22,26,22,38,24,15,12,11,,,1,,,,3,11,10,16,5,4,5,19,8,8,,,,,,,,,,,,,,,,,,,,33.2,33,31.7,29.6,26.8,25.1,23.9,21.3,21.88888888888889,21.25,18.625,17.571428571428573,16.833333333333332,12.6,8.4,7.6,7.2,8.2,7.666666666666667,7.142857142857143,7.714285714285714,9.125,9,8.9,9.555555555555555,9.375,9.285714285714286,8.166666666666666,8.8,10,11.666666666666666,8,8,,,,,,,,,,,,,,
November,9,8,15,11,25,7,4,3,12,11,14,11,12,2,1,9,2,,,2,,,,0,9,10,6,17,3,3,8,5,4,,,,,,,,,,,,,,,,,,,,10.5,11,11.3,11,10.1,7.7,7.9,7.7,8.222222222222221,7.75,6.625,5.571428571428571,4.666666666666667,3.2,2.8,4.4,4.6,5.4,7.333333333333333,6.714285714285714,6.857142857142857,7,6.777777777777778,6.5,7.222222222222222,7,6.571428571428571,6.666666666666667,4.6,5,5.666666666666667,4.5,4,,,,,,,,,,,,,,
December,0,5,10,10,0,0,0,3,5,0,0,1,3,8,7,6,0,,,0,,,,0,2,8,6,7,0,0,10,5,0,,,,,,,,,,,,,,,,,,,,3.3,3.3,2.9,2.2,2,2.7,3.3,3.3,3.3333333333333335,3.125,3.125,3.5714285714285716,4,4.2,2.6,1.6,2,3.2,3.8333333333333335,3.2857142857142856,3.2857142857142856,4.125,4.222222222222222,3.8,4.222222222222222,4.5,4,3.6666666666666665,3,3.75,5,2.5,0,,,,,,,,,,,,,,
Yearly Totals,270,288,306,316,275,233,172,168,654,134,130,236,266,152,170,158,109,0,0,76,0,0,0,69,82,145,131,93,112,169,121,77,59,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,58.2,49.4,48.1,50.3,59.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
