Balsam Lake Mountain Wild Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KELLY HOLLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,10 Year Rolling Averages,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,10-YEAR-AVG-2016,10-YEAR-AVG-2017,10-YEAR-AVG-2018,10-YEAR-AVG-2019,10-YEAR-AVG-2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046
January,10,21,14,2,7,0,20,26,20,20,46,25,31,18,10,10,16,,,22,,41,23,20,19,65,52,39,51,40,108,72,85,44,,,,,,,,,,,,,,,,,,,14,17.6,18,19.7,21.3,21.6,22.6,22.2,21.77777777777778,22,22.25,18.857142857142858,21.142857142857142,20,20.285714285714285,21.571428571428573,29.428571428571427,34.57142857142857,35.125,36.888888888888886,38.888888888888886,45.8,48.9,55.1,57.5,61.77777777777778,61.375,62.714285714285715,66.66666666666667,69.8,77.25,67,64.5,44,,,,,,,,,,,,,
February,14,13,6,15,7,19,45,8,26,25,19,38,15,35,49,16,11,,,36,,61,27,9,9,33,36,28,45,31,79,95,114,70,,,,,,,,,,,,,,,,,,,17.8,18.3,20.8,21.7,23.7,27.9,27.6,24.2,26,26,27.375,28.571428571428573,31.857142857142858,33.57142857142857,29.857142857142858,24.142857142857142,26.571428571428573,30.142857142857142,29.875,31.555555555555557,31,35.8,39.2,47.9,54,59,62.25,66,72.33333333333333,77.8,89.5,93,92,70,,,,,,,,,,,,,
March,10,3,11,6,17,6,30,13,10,15,28,32,32,19,21,23,36,,,31,,39,44,10,16,61,7,26,34,121,200,89,74,96,,,,,,,,,,,,,,,,,,,12.1,13.9,16.8,18.9,20.2,20.6,22.3,22.9,24,25.75,27.75,27.714285714285715,28.714285714285715,30.428571428571427,29.142857142857142,28.428571428571427,33.857142857142854,29.714285714285715,29.25,29.77777777777778,39.77777777777778,55.8,60.8,63.8,72.4,78.66666666666667,80.875,91.42857142857143,102.33333333333333,116,114.75,86.33333333333333,85,96,,,,,,,,,,,,,
April,7,13,4,19,19,10,40,6,26,35,41,34,40,35,32,72,44,,,66,,73,41,49,58,73,66,43,116,97,229,233,139,127,,,,,,,,,,,,,,,,,,,17.9,21.3,23.4,27,28.6,29.9,36.1,36.5,39.888888888888886,41.625,45.5,46.142857142857146,51.714285714285715,51.857142857142854,53.857142857142854,57.57142857142857,57.714285714285715,60.857142857142854,58.625,65,68.44444444444444,84.5,100.5,110.3,118.1,124.77777777777777,131.25,140.57142857142858,156.83333333333334,165,182,166.33333333333334,133,127,,,,,,,,,,,,,
May,29,37,34,48,25,19,62,75,12,59,44,71,79,56,51,66,92,,,61,,160,122,90,111,86,44,113,136,186,252,261,158,182,,,,,,,,,,,,,,,,,,,40,41.5,44.9,49.4,50.2,52.8,57.5,60.5,58.888888888888886,64.75,65,68,80.71428571428571,86.85714285714286,91.71428571428571,100.28571428571429,103.14285714285714,96.28571428571429,98.375,102.55555555555556,116.44444444444444,130,140.1,143.7,152.9,157.55555555555554,166.5,184,195.83333333333334,207.8,213.25,200.33333333333334,170,182,,,,,,,,,,,,,
June,23,16,10,22,42,41,25,18,4,21,39,42,39,52,60,31,82,,,71,,107,77,82,66,101,79,128,118,243,277,224,151,156,,,,,,,,,,,,,,,,,,,22.2,23.8,26.4,29.3,32.3,34.1,33.1,38.8,41.111111111111114,45.75,52,53.857142857142854,63.142857142857146,68.57142857142857,72.85714285714286,73.71428571428571,83.71428571428571,83.28571428571429,88.875,92.11111111111111,111.22222222222223,127.8,139.5,146.9,154.3,164.11111111111111,172,185.28571428571428,194.83333333333334,210.2,202,177,153.5,156,,,,,,,,,,,,,
July,14,20,37,30,57,21,55,44,39,70,40,68,45,70,109,73,98,,,143,,84,96,130,84,146,132,131,203,249,273,375,279,215,,,,,,,,,,,,,,,,,,,38.7,41.3,46.1,46.9,50.9,56.1,61.3,65.6,68,71.625,80.75,86.57142857142857,88.85714285714286,96.14285714285714,104.71428571428571,101.14285714285714,111.57142857142857,116.42857142857143,118.25,127.66666666666667,139.44444444444446,152.8,181.9,200.2,208.7,222.55555555555554,232.125,246.42857142857142,265.6666666666667,278.2,285.5,289.6666666666667,247,215,,,,,,,,,,,,,
August,38,28,26,42,33,54,53,39,63,43,63,73,81,63,78,84,87,,,122,,143,131,120,150,110,144,142,166,323,279,342,289,248,,,,,,,,,,,,,,,,,,,41.9,44.4,48.9,54.4,56.5,61,64,67.4,70.55555555555556,71.5,81.375,84,94,101.14285714285714,109.28571428571429,119.57142857142857,123.28571428571429,131.42857142857142,132.75,136.44444444444446,158.77777777777777,170.8,190.7,206.5,219.3,227,241.625,255.57142857142858,274.5,296.2,289.5,293,268.5,248,,,,,,,,,,,,,
September,34,47,19,27,36,48,40,41,44,48,78,52,28,72,68,32,65,,,74,,65,48,71,111,114,131,115,119,211,202,191,169,125,,,,,,,,,,,,,,,,,,,38.4,42.8,43.3,44.2,48.7,51.9,50.3,52.8,54.111111111111114,55.375,58.625,55.857142857142854,57.714285714285715,60.57142857142857,60.42857142857143,66.57142857142857,78.28571428571429,87.71428571428571,91.125,94.22222222222223,109.44444444444444,118.7,131.3,143.4,148.8,153,157.875,161.71428571428572,169.5,179.6,171.75,161.66666666666666,147,125,,,,,,,,,,,,,
