Slide Mountain Wilderness Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LANE STREET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,10 Year Rolling Averages,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,10-YEAR-AVG-2014,2015,10-YEAR-AVG-2016,10-YEAR-AVG-2017,10-YEAR-AVG-2018,10-YEAR-AVG 2019,10-YEAR-AVG-2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046
January,,,,,,,,,,,,,,,,,,,,,,,,,19,19,21,10,6,22,53,,31,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,19,19.666666666666668,17.25,15,16.166666666666668,21.428571428571427,21.428571428571427,22.625,21.555555555555557,21.875,22.285714285714285,22.5,25,29.75,32.333333333333336,22,22,13,,,,,,,,,,,,,
February,,,,,,,,,,,,,,,,,,,,,,,,,6,6,13,11,8,22,25,17,22,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,8.333333333333334,9,8.8,11,13,13.5,14.444444444444445,15.7,16.77777777777778,18.125,18.857142857142858,20.166666666666668,22.6,22.75,22,24.5,27,,,,,,,,,,,,,
March,,,,,,,,,,,,,,,,,,,,,,,,,13,13,27,28,12,38,49,23,16,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,13,17.666666666666668,20.25,18.6,21.833333333333332,25.714285714285715,25.375,24.333333333333332,24.7,26,27.625,27.714285714285715,27.666666666666668,30.8,29,22.333333333333332,22,28,,,,,,,,,,,,,
April,,,,,,,,,,,,,,,,,,,,,,,,,48,48,64,46,27,42,58,40,34,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,48,53.333333333333336,51.5,46.6,45.833333333333336,47.57142857142857,46.625,45.22222222222222,44.3,43.888888888888886,43.375,40.42857142857143,39.5,42,42,36.666666666666664,35,36,,,,,,,,,,,,,
May,,,,,,,,,,,,,,,,,,,,,,,,,83,83,52,55,61,98,89,46,63,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,83,72.66666666666667,68.25,66.8,72,74.42857142857143,70.875,70,68.4,66.77777777777777,64.75,66.57142857142857,68.5,70,63,54.333333333333336,58.5,54,,,,,,,,,,,,,
June,,,,,,,,,,,,,,,,,,,,,,,,164,45,105,46,61,89,76,68,40,51,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,104.5,104.66666666666667,90,84.2,85,83.71428571428571,81.75,77.11111111111111,74.5,65.2,67.44444444444444,62.75,65.14285714285714,65.83333333333333,61.2,57.5,54,61,71,,,,,,,,,,,,,
July,,,,,,,,,,,,,,,,,,,,,,,,163,88,126,99,94,83,97,68,87,56,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163,125.5,125.66666666666667,119,114,108.83333333333333,107.14285714285714,102.25,100.55555555555556,96.1,87.9,87.88888888888889,83.125,80.85714285714286,78.66666666666667,77.8,73,74.66666666666667,68.5,81,,,,,,,,,,,,,
August,,,,,,,,,,,,,,,,,,,,,,,,107,55,81,76,61,84,90,39,51,78,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,81,81,79.75,76,77.33333333333333,79.14285714285714,74.125,71.55555555555556,72.2,67.1,68.44444444444444,66.875,65.57142857142857,66.33333333333333,62.8,56,61.666666666666664,67,56,,,,,,,,,,,,,
September,,,,,,,,,,,,,,,,,,,,,,,,104,90,97,95,70,100,102,59,61,54,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,97,97,96.5,91.2,92.66666666666667,94,89.625,86.44444444444444,83.2,76.7,75.22222222222223,72.5,69.28571428571429,69.16666666666667,63,53.25,51.333333333333336,46.5,39,,,,,,,,,,,,,
October,,,,,,,,,,,,,,,,,,,,,,,,133,48,73,58,46,103,100,67,108,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,90.5,84.66666666666667,78,71.6,76.83333333333333,80.14285714285714,78.5,81.77777777777777,76.4,70.11111111111111,72.875,72.85714285714286,75.33333333333333,81.2,75.75,67.66666666666667,68,28,,,,,,,,,,,,,,
