Willowemoc Wild Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LONG POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,10 Y+AE3:BC3ear Rolling Averages,,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,10-YEAR-AVG-2015,10-YEAR-AVG-2016,10-YEAR-AVG-2017,10-YEAR-AVG-2018,10-YEAR-AVG 2019,10-YEAR-AVG-2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046
January,5,19,7,48,3,36,36,41,30,13,41,26,31,6,1,5,22,,,12,,5,6,7,9,15,7,9,20,4,24,,,,,,,,,,,,,,,,,,,,,,23.8,27.4,28.1,30.5,26.3,26.1,23,21.6,19.444444444444443,18.125,18,14.714285714285714,11.714285714285714,8.142857142857142,8.285714285714286,9.428571428571429,10.857142857142858,8.714285714285714,8.75,10,9.11111111111111,10.6,11.222222222222221,11.875,12.571428571428571,13.166666666666666,12.8,14.25,16,14,24,,,,,,,,,,,,,,,,
February,37,13,64,123,103,65,73,19,63,64,56,20,11,41,19,12,9,,,6,,18,10,8,9,4,13,11,34,27,30,,,,,,,,,,,,,,,,,,,,,,62.4,64.3,65,59.7,51.5,43.1,37.8,31.4,32.77777777777778,29,21.75,16.857142857142858,16.571428571428573,16.428571428571427,11.714285714285714,10.285714285714286,9.142857142857142,9.714285714285714,9.875,12.555555555555555,14.88888888888889,16.4,16.22222222222222,17,18.285714285714285,19.833333333333332,23,25.5,30.333333333333332,28.5,30,,,,,,,,,,,,,,,,
March,11,5,57,128,27,45,60,12,43,14,107,4,12,7,46,6,7,,,25,,16,10,13,17,16,8,19,19,28,18,,,,,,,,,,,,,,,,,,,,,,40.2,49.8,49.7,45.2,33.1,35,31.1,25.8,27.333333333333332,25.375,26.75,15.285714285714286,17,16.714285714285715,17.571428571428573,13.428571428571429,14.857142857142858,15,15.5,15.88888888888889,16.22222222222222,16.4,16.444444444444443,17.25,17.857142857142858,18,18.4,21,21.666666666666668,23,18,,,,,,,,,,,,,,,,
April,42,21,8,11,63,25,21,45,2,14,12,21,18,2,19,15,16,,,16,,14,13,21,28,18,16,8,9,44,41,,,,,,,,,,,,,,,,,,,,,,25.2,22.2,22.2,23.2,22.3,17.9,16.9,16.4,13.222222222222221,14.625,14.875,15.285714285714286,14.285714285714286,13.571428571428571,16.285714285714285,17.571428571428573,18,18,16.75,15.88888888888889,19,21.2,22,23.125,23.428571428571427,22.666666666666668,23.6,25.5,31.333333333333332,42.5,41,,,,,,,,,,,,,,,,
May,41,27,53,51,75,45,39,57,55,44,26,25,35,35,37,31,15,,,9,,20,33,53,40,38,24,23,41,71,26,,,,,,,,,,,,,,,,,,,,,,48.7,47.2,47,45.2,43.6,39.8,38.4,36,33.666666666666664,31,26.625,26.714285714285715,26,25.714285714285715,28.285714285714285,28.714285714285715,29.714285714285715,31,30,31.22222222222222,38.111111111111114,36.9,38.77777777777778,39.5,37.57142857142857,37.166666666666664,37,40.25,46,48.5,26,,,,,,,,,,,,,,,,
June,67,17,33,27,27,30,53,37,36,76,24,35,21,37,60,14,26,,,0,,21,19,42,29,33,25,24,31,69,24,,,,,,,,,,,,,,,,,,,,,,40.3,36,37.8,36.6,37.6,40.9,39.3,36.6,36.55555555555556,36.625,27.125,27.571428571428573,25.571428571428573,25.285714285714285,26,21.571428571428573,24.285714285714285,24.142857142857142,24.125,24.88888888888889,32.55555555555556,31.7,32.888888888888886,34.625,33.57142857142857,34.333333333333336,34.6,37,41.333333333333336,46.5,24,,,,,,,,,,,,,,,,
July,136,75,119,151,59,100,37,55,77,248,78,38,54,62,56,16,75,,,9,,48,44,74,36,49,46,29,33,79,98,,,,,,,,,,,,,,,,,,,,,,105.7,99.9,96.2,89.7,80.8,80.5,72.1,75.9,78.22222222222223,78.375,48.5,44.285714285714285,45.714285714285715,44.285714285714285,46,43.142857142857146,47.857142857142854,43.714285714285715,41.875,40.888888888888886,48.666666666666664,53.6,54.22222222222222,55.5,52.857142857142854,55.666666666666664,57,59.75,70,88.5,98,,,,,,,,,,,,,,,,
August,53,74,93,49,88,70,105,164,95,61,47,74,52,58,53,71,50,,,89,,44,57,73,40,52,17,53,51,74,51,,,,,,,,,,,,,,,,,,,,,,85.2,84.6,84.6,80.5,81.4,77.9,78,72.5,62.333333333333336,58.25,61.75,63.857142857142854,59.57142857142857,60.285714285714285,62.42857142857143,60.57142857142857,57.857142857142854,53.142857142857146,53.125,52.888888888888886,51.22222222222222,51.2,52,51.375,48.285714285714285,49.666666666666664,49.2,57.25,58.666666666666664,62.5,51,,,,,,,,,,,,,,,,
September,31,47,91,78,88,60,53,28,41,38,64,33,16,32,35,27,67,,,12,,14,47,22,30,48,41,26,32,101,42,,,,,,,,,,,,,,,,,,,,,,55.5,58.8,57.4,49.9,45.3,40,36.7,38.1,39.22222222222222,39,35.75,31.714285714285715,29,33.42857142857143,32,31.285714285714285,34.285714285714285,30.571428571428573,30,30.22222222222222,40.111111111111114,40.3,43.22222222222222,42.75,45.714285714285715,48.333333333333336,48.4,50.25,58.333333333333336,71.5,42,,,,,,,,,,,,,,,,
October,48,70,53,50,34,39,71,34,56,103,38,32,19,22,19,35,18,,,0,,25,36,61,32,39,65,37,49,55,55,,,,,,,,,,,,,,,,,,,,,,55.8,54.8,51,47.6,44.8,43.3,42.9,37.6,38,35.75,22.875,20.714285714285715,19.714285714285715,22.142857142857142,27.714285714285715,29.571428571428573,30.142857142857142,36.857142857142854,36.875,38.22222222222222,44.333333333333336,45.4,47.666666666666664,49.125,47.42857142857143,50,52.2,49,53,55,55,,,,,,,,,,,,,,,,
November,33,31,12,16,28,14,10,47,24,70,28,35,22,13,8,11,14,,,9,,19,37,17,16,18,14,4,22,39,17,,,,,,,,,,,,,,,,,,,,,,28.5,28,28.4,29.4,29.1,27.1,26.8,27.2,25,25.125,17.5,16,13.714285714285714,15.857142857142858,16.428571428571427,17.571428571428573,18.571428571428573,18.571428571428573,16.75,17.333333333333332,20.666666666666668,20.3,20.444444444444443,18.375,18.571428571428573,19,19.2,20.5,26,28,17,,,,,,,,,,,,,,,,
December,7,24,2,14,90,5,7,21,21,26,15,17,9,6,18,9,12,,,2,,12,15,7,20,12,8,12,10,4,16,,,,,,,,,,,,,,,,,,,,,,21.7,22.5,21.8,22.5,21.7,14.5,14.9,15.4,14.777777777777779,14,11,10.428571428571429,9.714285714285714,10.571428571428571,10.714285714285714,11,11.428571428571429,10.857142857142858,11,10.88888888888889,11.11111111111111,11.6,11.555555555555555,11.125,11.714285714285714,10.333333333333334,10,10.5,10,10,16,,,,,,,,,,,,,,,,
Yearly Totals,511,423,592,746,685,534,565,560,543,771,536,360,300,321,371,252,331,0,0,189,0,256,327,398,306,342,284,255,351,595,442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,205.9,214.9,210.2,235.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
