Balsam Lake Mountain Wild Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MILLBROOK (Dry Brook Parking Area To Fire Tower - Millbrook Road),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,10 Year Rolling Averages,,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,10-YEAR-AVG-2016,10-YEAR-AVG-2017,10-YEAR-AVG-2018,10-YEAR-AVG 2019,10-YEAR-AVG-2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046
January,29,25,29,40,96,34,25,77,50,67,72,75,24,68,38,45,66,,,22,,54,58,71,108,197,168,116,101,166,185,132,221,122,143,,,,,,,,,,,,,,,,,,47.2,51.5,56.5,56,58.8,53,54.1,58.2,56.111111111111114,56.875,51.25,48.285714285714285,45.285714285714285,50.142857142857146,50.57142857142857,60.57142857142857,82.28571428571429,96.85714285714286,99.25,99.44444444444444,115.44444444444444,122.4,130.2,146.5,151.6,155.1,150.44444444444446,148.25,152.85714285714286,161.5,160.6,154.5,162,132.5,143,,,,,,,,,,,,
February,66,23,28,25,50,19,35,83,75,48,75,81,22,60,89,61,59,,,36,,63,103,119,99,141,169,141,177,160,106,205,167,178,139,,,,,,,,,,,,,,,,,,45.2,46.1,51.9,51.3,54.8,58.7,62.9,65.3,63.333333333333336,61.875,60.375,58.285714285714285,55.714285714285715,67.28571428571429,75.71428571428571,77.14285714285714,88.57142857142857,104.28571428571429,108.875,116.44444444444444,130.22222222222223,127.8,142,148.4,154.3,158.3,160.22222222222223,159.125,161.71428571428572,159.16666666666666,159,172.25,161.33333333333334,158.5,139,,,,,,,,,,,,
March,14,35,12,42,51,55,30,28,59,40,56,54,26,39,54,57,65,,,31,,45,112,69,90,192,96,86,69,182,174,129,139,215,131,,,,,,,,,,,,,,,,,,36.6,40.8,42.7,44.1,43.8,44.1,44.3,47.8,50,48.875,47.75,46.57142857142857,45.285714285714285,57.57142857142857,61.857142857142854,67,86.28571428571429,90.71428571428571,90.125,87.77777777777777,104.55555555555556,111.5,119.9,122.6,137.2,141.3,135.66666666666666,140.625,148.42857142857142,161.66666666666666,157.6,153.5,161.66666666666666,173,131,,,,,,,,,,,,
April,15,56,20,36,85,85,28,80,110,55,34,60,46,121,64,106,65,,,66,,72,117,87,105,225,246,138,115,150,200,215,124,143,173,,,,,,,,,,,,,,,,,,57,58.9,59.3,61.9,70.4,68.3,70.4,74.1,73.44444444444444,68.875,70.25,75.42857142857143,77.14285714285714,87.28571428571429,82.42857142857143,88.28571428571429,105.28571428571429,131.14285714285714,132,130.11111111111111,139.44444444444446,145.5,159.8,160.5,166.1,172.9,167.11111111111111,157.25,160,167.5,171,163.75,146.66666666666666,158,173,,,,,,,,,,,,
May,168,87,116,115,119,63,109,161,139,115,130,143,54,115,121,123,148,,,61,,126,169,133,227,182,185,210,239,205,227,252,273,289,277,,,,,,,,,,,,,,,,,,119.2,115.4,121,114.8,114.8,115,121,124.9,120.88888888888889,118.625,111.875,109.28571428571429,106.85714285714286,123.28571428571429,125.85714285714286,141,149.42857142857142,154.71428571428572,161.625,170.22222222222223,186.22222222222223,190.3,202.9,213.3,228.9,233.9,239.66666666666666,246.5,251.71428571428572,253.83333333333334,263.6,272.75,279.6666666666667,283,277,,,,,,,,,,,,
June,81,36,62,43,86,106,126,121,135,155,113,177,166,108,106,88,153,,,71,,129,120,238,176,226,291,183,285,221,288,315,260,303,231,,,,,,,,,,,,,,,,,,95.1,98.3,112.4,122.8,129.3,131.3,129.5,132.2,133.44444444444446,133.25,122.75,124.14285714285714,117.28571428571429,110.71428571428571,129.28571428571428,139.28571428571428,159,178.71428571428572,179.25,191,207.66666666666666,215.7,234.3,248.3,254.8,260.3,264.1111111111111,260.75,271.85714285714283,269.6666666666667,279.4,277.25,264.6666666666667,267,231,,,,,,,,,,,,
July,91,166,176,231,106,137,178,121,227,295,172,154,165,159,84,178,124,,,143,,171,211,244,256,289,109,224,384,356,291,423,373,363,340,,,,,,,,,,,,,,,,,,172.8,180.9,179.7,178.6,171.4,169.2,173.3,167.9,173.11111111111111,166.375,147.375,143.85714285714286,146.28571428571428,152.85714285714286,165,189.57142857142858,205.42857142857142,203.28571428571428,205.875,225.66666666666666,249.33333333333334,253.5,278.7,294.9,306.8,315.2,318.1111111111111,344.25,361.42857142857144,357.6666666666667,358,374.75,358.6666666666667,351.5,340,,,,,,,,,,,,
August,112,164,132,150,88,116,125,163,91,119,177,120,209,150,179,221,138,,,122,,160,252,318,288,316,268,273,509,429,269,429,394,392,354,,,,,,,,,,,,,,,,,,126,132.5,128.1,135.8,135.8,144.9,155.4,156.7,156,164.125,164.5,162.71428571428572,168.42857142857142,174.57142857142858,198.57142857142858,214.14285714285714,227.71428571428572,246.28571428571428,249.625,278.44444444444446,312.55555555555554,308.2,335.1,349.3,356.7,363.3,368.55555555555554,381.125,396.57142857142856,377.8333333333333,367.6,392.25,380,373,354,,,,,,,,,,,,
September,139,67,109,154,157,56,83,64,186,137,213,175,54,188,171,141,131,,,74,,143,174,150,224,170,241,247,499,401,248,346,331,347,14,,,,,,,,,,,,,,,,,,115.2,122.6,133.4,127.9,131.3,132.7,141.2,146,155.11111111111111,151.25,143.375,133.42857142857142,128.85714285714286,146,140.57142857142858,148.14285714285714,152.28571428571428,168,177.875,213.55555555555554,249.88888888888889,249.7,270,285.7,305.4,284.4,297.1111111111111,304.125,312.2857142857143,281.1666666666667,257.2,259.5,230.66666666666666,180.5,14,,,,,,,,,,,,
