Big Indian Wilderness Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONGAUP POND - Out of Campground ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,10 Year Rolling Averages,,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,10-YEAR-AVG-2014,10-YEAR-AVG-2015,10-YEAR-AVG2016,10-YEAR-AVG-2017,10-YEAR-AVG-2018,10-YEAR-AVG 2019,10-YEAR-AVG-2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046
January,0,0,0,0,0,0,26,2,28,15,0,1,1,3,0,0,0,,,150,,,0,0,2,1,4,0,0,6,3,,,,,,,,,,,,,,,,,,,,,,7.1,7.1,7.2,7.3,7.6,7.6,7.6,5,5.333333333333333,2.5,19.375,22.142857142857142,25.666666666666668,25.5,25,25.333333333333332,25.5,26.166666666666668,22.428571428571427,19.625,1.625,1.7777777777777777,1.7777777777777777,2,2.2857142857142856,2.3333333333333335,2.6,2.25,3,4.5,3,,,,,,,,,,,,,,,,
February,0,0,0,0,0,0,0,0,68,35,0,1,0,0,0,1,0,,,135,,,0,0,0,9,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,10.3,10.3,10.4,10.4,10.4,10.4,10.5,10.5,11.666666666666666,4.625,17.125,19.571428571428573,22.666666666666668,22.666666666666668,22.666666666666668,22.666666666666668,24,24,20.571428571428573,18,1.375,1.375,1.375,1.5714285714285714,1.8333333333333333,2.2,0.5,0.6666666666666666,1,2,,,,,,,,,,,,,,,,,
March,0,0,0,22,0,3,0,0,35,25,0,4,2,5,0,1,0,,,298,,,0,0,0,6,3,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,8.5,8.5,8.9,9.1,7.4,7.4,7.2,7.2,8,4.625,38.75,44.285714285714285,51,50.666666666666664,49.833333333333336,49.833333333333336,50.666666666666664,51.166666666666664,43.857142857142854,38.375,1.25,1.3333333333333333,1.3333333333333333,1.5,1.7142857142857142,2,1.2,0.75,1,1.5,2,,,,,,,,,,,,,,,,
April,5,5,5,9,5,2,3,3,43,43,1,0,2,0,0,7,0,,,731,,,0,6,1,5,10,0,4,0,5,,,,,,,,,,,,,,,,,,,,,,12.3,11.9,11.4,11.1,10.2,9.7,10.2,9.9,10.666666666666666,6.625,92.625,105.71428571428571,123.33333333333333,123,124,124.16666666666667,123.83333333333333,125.5,107.57142857142857,94.625,3.25,3.4444444444444446,3.4444444444444446,3.875,3.5714285714285716,4,3.8,2.25,3,2.5,5,,,,,,,,,,,,,,,,
May,40,40,50,23,25,36,21,25,23,18,50,45,51,50,60,2,30,,,763,,,15,35,22,5,8,30,3,3,23,,,,,,,,,,,,,,,,,,,,,,30.1,31.1,31.6,31.7,34.4,37.9,34.5,35.4,36.55555555555556,38.25,131.375,143,159.33333333333334,153.33333333333334,150.83333333333334,144.5,145,141.33333333333334,125.42857142857143,110.125,15.125,16,16,16.125,13.428571428571429,12,13.4,14.75,9.666666666666666,13,23,,,,,,,,,,,,,,,,
June,30,30,30,35,30,36,21,25,14,13,38,53,75,57,32,5,28,,,915,,,27,38,20,42,40,45,12,15,17,,,,,,,,,,,,,,,,,,,,,,26.4,27.2,29.5,34,36.2,36.4,33.3,34,35,37.625,150.375,166.42857142857142,185.33333333333334,177.33333333333334,174.16666666666666,172.16666666666666,178.33333333333334,180.33333333333334,161,142.375,29.875,28.444444444444443,28.444444444444443,28.625,27.285714285714285,28.5,25.8,22.25,14.666666666666666,16,17,,,,,,,,,,,,,,,,
July,40,40,50,57,40,50,66,55,38,45,155,123,128,95,55,44,50,,,833,,36,45,18,63,35,44,45,67,35,28,,,,,,,,,,,,,,,,,,,,,,48.1,59.6,67.9,75.7,79.5,81,80.4,78.8,81.44444444444444,86.875,185.375,189.71428571428572,177.28571428571428,165.42857142857142,154.42857142857142,155.57142857142858,154.28571428571428,153.42857142857142,139.875,131.77777777777777,43.111111111111114,41.6,42.22222222222222,41.875,45.285714285714285,42.333333333333336,43.8,43.75,43.333333333333336,31.5,28,,,,,,,,,,,,,,,,
August,40,40,75,68,50,59,170,60,33,130,102,138,71,48,67,85,78,,,996,,50,69,55,79,27,58,42,25,47,6,,,,,,,,,,,,,,,,,,,,,,72.5,78.7,88.5,88.1,86.1,87.8,90.4,81.2,83.55555555555556,89.875,198.125,211.85714285714286,199.28571428571428,199,200,201.71428571428572,193.42857142857142,190.57142857142858,172,155.66666666666666,50.22222222222222,45.8,45.333333333333336,42.375,40.57142857142857,34.166666666666664,35.6,30,26,26.5,6,,,,,,,,,,,,,,,,
September,25,25,25,0,25,19,39,79,116,94,64,47,59,74,43,36,39,,,1083,,54,35,23,58,53,43,46,38,75,31,,,,,,,,,,,,,,,,,,,,,,44.7,48.6,50.8,54.2,61.6,63.4,65.1,65.1,63.55555555555556,57,180.625,197.28571428571428,198.28571428571428,194.85714285714286,187.57142857142858,189.71428571428572,192.14285714285714,192.71428571428572,174.375,159.22222222222223,47.22222222222222,45.6,44.666666666666664,45.875,49.142857142857146,47.666666666666664,46.6,47.5,48,53,31,,,,,,,,,,,,,,,,
October,25,25,30,0,15,33,47,68,35,38,29,23,30,26,5,42,26,,,1357,,16,42,8,23,16,7,15,17,34,27,,,,,,,,,,,,,,,,,,,,,,31.6,32,31.8,31.8,34.4,33.4,34.3,32.2,28.22222222222222,27.375,192.25,215.57142857142858,214.57142857142858,216.28571428571428,213.71428571428572,216.28571428571428,212.57142857142858,209.85714285714286,185.5,166.77777777777777,19.77777777777778,20.5,21,18.375,19.857142857142858,19.333333333333332,20,23.25,26,30.5,27,,,,,,,,,,,,,,,,
November,20,20,38,0,10,12,10,36,17,4,4,4,12,13,10,17,15,,,491,,10,0,8,9,1,0,0,6,7,1,,,,,,,,,,,,,,,,,,,,,,16.7,15.1,13.5,10.9,12.2,12.2,12.7,13.2,10.666666666666666,9.875,70.75,80.28571428571429,81.14285714285714,79.42857142857143,78.71428571428571,78.57142857142857,76.28571428571429,74.14285714285714,64.875,58.333333333333336,4.555555555555555,4.2,3.5555555555555554,4,3.4285714285714284,2.5,2.8,3.5,4.666666666666667,4,1,,,,,,,,,,,,,,,,
December,2,2,2,0,0,6,2,3,7,3,7,10,0,6,0,12,0,,,185,,4,0,6,0,1,6,9,,0,2,,,,,,,,,,,,,,,,,,,,,,2.7,3.2,4,3.8,4.4,4.4,5,4.8,5,4.75,27.5,30.428571428571427,29.571428571428573,29.571428571428573,29.571428571428573,29.571428571428573,28,28.857142857142858,26.375,26.375,3.25,3.111111111111111,3,3.4285714285714284,3,3.6,4.25,3.6666666666666665,1,1,2,,,,,,,,,,,,,,,,
Yearly Totals,227,227,305,214,200,256,405,356,457,463,450,449,431,377,272,252,266,0,0,7937,0,170,233,197,277,201,223,232,172,225,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,932.7,933.2,928.1,923.8,947,,,,,,,,,,,,,,,,,,,,,,,,,,,,
