Phoenicia-Mount Tobias Wild Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOUNT TREMPER (Fire Tower),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,10 Year Rolling Averages,,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,10-YEAR-AVG-2015,10-YEAR-AVG-2016,10-YEAR-AVG-2017,10-YEAR-AVG-2018,10-YEAR-AVG 2019,10-YEAR-AVG-2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046
January,50,57,62,19,51,13,53,61,41,72,12,118,42,39,18,90,83,,,117,,88,48,129,153,110,160,95,122,153,123.33333333333333,143,67,107,,,,,,,,,,,,,,,,,,,47.9,44.1,50.2,48.2,50.2,46.9,54.6,57.6,57.22222222222222,59.25,64.875,72.42857142857143,68.14285714285714,69,81.85714285714286,101.14285714285714,104,115,112.5,113.55555555555556,117.55555555555556,118.13333333333333,123.63333333333333,125.53333333333333,123.33333333333334,120.03703703703705,121.29166666666667,115.76190476190474,119.22222222222221,118.66666666666666,110.08333333333333,105.66666666666667,87,107,,,,,,,,,,,,,
February,48,67,16,9,48,43,44,85,76,36,32,171,25,64,49,93,50,,,59,,106,109,56,63,76,127,158,134,184,158.66666666666666,122,244,103,,,,,,,,,,,,,,,,,,,47.2,45.6,56,56.9,62.4,62.5,67.5,68.1,66.22222222222223,65,67.875,73,63.714285714285715,75.71428571428571,74.57142857142857,76.57142857142857,74.14285714285714,85.14285714285714,94.25,98.66666666666667,112.55555555555556,117.16666666666667,118.76666666666668,132.26666666666665,136.96666666666664,145.18518518518516,153.83333333333331,157.66666666666666,157.61111111111111,162.33333333333331,156.91666666666666,156.33333333333334,173.5,103,,,,,,,,,,,,,
March,122,89,20,19,162,69,102,95,121,135,62,286,94,79,76,116,89,,,110,,171,150,79,105,111.33333333333333,78,170,134,229,177.66666666666666,123,117,123,,,,,,,,,,,,,,,,,,,93.4,87.4,107.1,114.5,120.5,111.9,116.6,115.3,117.55555555555556,117.125,114,121.42857142857143,105,113,113,117.14285714285714,116.47619047619048,114.90476190476191,121.79166666666667,123.14814814814817,136.37037037037038,140.50000000000003,135.7,132.4,136.8,140.33333333333334,143.95833333333331,153.38095238095235,150.61111111111111,153.93333333333334,135.16666666666666,121,120,123,,,,,,,,,,,,,
April,93,193,102,117,127,117,130,95,123,27,119,192,125,147,172,156,142,,,263,,265,194,266,207,222.333333333333,380,252,259,124,211.66666666666666,364,203,64,,,,,,,,,,,,,,,,,,,112.4,115,114.9,117.2,120.2,124.7,128.6,129.8,133.66666666666666,135,164.5,171,181.42857142857142,191.28571428571428,208.28571428571428,213.28571428571428,222.76190476190473,256.7619047619047,256.16666666666663,256.48148148148147,241.037037037037,238.09999999999997,247.99999999999994,248.9,228.7,231.11111111111111,232.20833333333334,211.09523809523807,204.27777777777774,193.33333333333331,210.66666666666666,210.33333333333334,133.5,64,,,,,,,,,,,,,
May,125,143,161,222,189,119,176,177,185,157,176,225,213,261,286,174,274,,,311,,204,276,330,352,319.3333333333333,217,301,298,193,309,389,297,19,,,,,,,,,,,,,,,,,,,165.4,170.5,178.7,183.9,187.8,197.5,203,212.8,216.77777777777777,220.75,240,249.14285714285714,246.14285714285714,255.14285714285714,265,274.42857142857144,295.1904761904762,287.04761904761904,288.79166666666663,289.8148148148148,276.7037037037037,279.9333333333333,298.4333333333333,300.5333333333333,269.4333333333333,260.25925925925924,252.875,258,250.83333333333334,241.4,253.5,235,158,19,,,,,,,,,,,,,
June,121,117,108,107,162,153,124,102,155,120,238,232,220,200,154,136,252,,,221,,242,233,287,314,278,256,393,315,249,240,340,288,22,,,,,,,,,,,,,,,,,,,126.9,138.6,150.1,161.3,170.6,169.8,168.1,180.9,189.66666666666666,194,206.625,202.14285714285714,203.57142857142858,205.42857142857142,217.85714285714286,240.71428571428572,261,261.57142857142856,278,282.1111111111111,285.22222222222223,280.7,290.5,296,269.5,264.55555555555554,262.875,263.85714285714283,242.33333333333334,227.8,222.5,216.66666666666666,155,22,,,,,,,,,,,,,
July,201,129,209,226,251,161,177,256,226,219,434,330,299,324,284,303,309,,,418,,396,368,396,416,393.3333333333333,430,456,465,247,325,523,257,35,,,,,,,,,,,,,,,,,,,205.5,228.8,248.9,257.9,267.7,271,285.2,298.4,303.1111111111111,312.75,337.625,323.85714285714283,333.2857142857143,343.14285714285717,353.42857142857144,372.2857142857143,385.1904761904762,402.4761904761905,409.1666666666667,415.3703703703704,396.3703703703703,389.2333333333333,401.9333333333333,390.8333333333333,354.7333333333333,347.92592592592587,342.25,329.7142857142857,308.6666666666667,277.4,285,271.6666666666667,146,35,,,,,,,,,,,,,
August,182,216,190,144,145,158,183,249,284,218,394,370,273,286,290,306,307,,,310,,341,463,484,517,488,297,469,445,415,262,341,334,587,,,,,,,,,,,,,,,,,,,196.9,218.1,233.5,241.8,256,270.5,285.3,297.7,303.1111111111111,305.5,317,306,301.85714285714283,329,357.2857142857143,389.7142857142857,415.7142857142857,414.2857142857143,421.125,423.77777777777777,435.44444444444446,418.1,418.1,405.2,415.5,404.22222222222223,393.75,407.57142857142856,397.3333333333333,387.8,381,420.6666666666667,460.5,587,,,,,,,,,,,,,
September,157,109,221,342,270,94,126,227,246,146,396,110,160,270,227,232,337,,,360,,301,365,244,422,343.6666666666667,430,439,800,378,248,58,214,,,,,,,,,,,,,,,,,,,,193.8,217.7,217.8,211.7,204.5,200.2,214,235.1,236,234.75,261.5,242.28571428571428,269.57142857142856,298.85714285714283,295.14285714285717,323,338.9523809523809,352.2380952380953,363.08333333333337,411.6296296296297,413.6296296296297,397.0666666666667,372.7666666666667,357.6666666666667,370.2962962962963,363.83333333333337,366.7142857142857,356.1666666666667,339.6,224.5,173.33333333333334,136,214,,,,,,,,,,,,,,
October,260,258,225,262,253,118,218,358,269,201,402,141,279,295,175,255,282,,,330,,320,121,344,430,298.3333333333333,394,313,620,523,435,526,367,,,,,,,,,,,,,,,,,,,,242.2,256.4,244.7,250.1,253.4,245.6,259.3,265.7,255.44444444444446,253.75,269.875,251,276.57142857142856,254,261,297.42857142857144,303.61904761904765,319.6190476190476,318.79166666666663,352.25925925925924,373.7037037037037,379.8333333333333,400.4333333333333,425.0333333333333,434.037037037037,434.54166666666663,454,464,494.2,462.75,442.6666666666667,446.5,367,,,,,,,,,,,,,,
November,108,48,70,88,84,69,71,258,139,151,236,124,171,136,131,260,157,,,173,,215,179,196,368,235,215,243,512,389,194,365,269,,,,,,,,,,,,,,,,,,,,108.6,121.4,129,139.1,143.9,148.6,167.7,176.3,167.22222222222223,170.75,173.5,164.57142857142858,177.57142857142858,178.71428571428572,187.28571428571428,221.14285714285714,217.57142857142858,225.85714285714286,228,259.55555555555554,283.55555555555554,274.6,289.6,298.6,310,302.75,312.42857142857144,328.6666666666667,345.8,304.25,276,317,269,,,,,,,,,,,,,,
December,61,39,43,45,21,28,41,105,60,88,68,153,106,128,60,131,96,,,10,,109,100,117,207,92,112,207,531,283.3333333333333,124,312.77777777777777,176,,,,,,,,,,,,,,,,,,,,53.1,53.8,65.2,71.5,79.8,83.7,94,99.5,98.88888888888889,103.75,94,97.71428571428571,91.42857142857143,90.57142857142857,89,110,104.42857142857143,106.71428571428571,119.25,165,195.37037037037035,188.23333333333332,208.6111111111111,216.21111111111114,227.23456790123456,229.76388888888889,249.44444444444443,272.35185185185185,285.4222222222222,224.02777777777777,204.25925925925927,244.38888888888889,176,,,,,,,,,,,,,,
Yearly Totals,1528,1465,1427,1600,1763,1142,1445,2068,1925,1570,2569,2452,2007,2229,1922,2252,2378,0,0,2682,0,2758,2606,2928,3554,2967.333333333333,3096,3496,4635,3367.3333333333335,2808.333333333333,3606.777777777778,2833,1060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1915.8,1987.3333333333333,,2059.133333333333,2408.733333333333,2872.233333333333,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Register Sheets lost for most of 2016.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,3 year average used for 2016 estimations ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
