Balsam Lake Mountain Wild Forest,,,,,,,BLM TH BEAVERKILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"QUAKER CLEARING - NEVERSINK/
HARDENBURGH TRAIL from BEAVERKILL ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,10 Year Rolling Averages,,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,10-YEAR-AVG-2016,10-YEAR-AVG-2017,10-YEAR-AVG-2018,10-YEAR-AVG 2019,10-YEAR-AVG-2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046
January,5,9,5,1,3,1,0,4,3,4,6,1,0,2,1,0,2,,,,,,,9,9,3,3,4,20,4,7,1,0,0,,,,,,,,,,,,,,,,,,,3.5,3.6,2.8,2.3,2.4,2.2,2.1,2.3,2.111111111111111,2,1.7142857142857142,1,1,1.25,3,5,5.75,6,5.6,8,7.428571428571429,7.375,6.666666666666667,6,5.1,4.666666666666667,4.875,5.142857142857143,5.333333333333333,2.4,2,0.3333333333333333,0,0,,,,,,,,,,,,,
February,1,3,14,8,9,1,2,3,0,0,11,6,0,0,0,1,2,,,,,,,0,0,2,2,2,18,0,0,0,1,1,,,,,,,,,,,,,,,,,,,4.1,5.1,5.4,4,3.2,2.3,2.3,2.3,2.2222222222222223,2.5,2.857142857142857,1.5,0.6,0.75,0.75,0.75,1,1,1.2,4,3.4285714285714284,3,2.6666666666666665,2.5,2.6,2.888888888888889,3,3.142857142857143,3.3333333333333335,0.4,0.5,0.6666666666666666,1,1,,,,,,,,,,,,,
March,3,1,0,10,9,2,5,12,4,0,0,1,2,1,3,11,4,,,,,,,0,0,13,1,0,24,2,11,0,0,4,,,,,,,,,,,,,,,,,,,4.6,4.3,4.3,4.5,3.6,3,3.9,3.8,2.888888888888889,2.75,3.142857142857143,3.6666666666666665,4.2,4.75,4.5,3.75,4.25,3.5,2.8,6.333333333333333,5.714285714285714,6.375,5.666666666666667,5.1,5.5,6.111111111111111,5.25,5.857142857142857,6.833333333333333,3.4,3.75,1.3333333333333333,2,4,,,,,,,,,,,,,
April,15,7,5,16,8,11,14,9,26,24,8,3,10,12,8,11,13,,,,,,,3,2,30,26,7,10,17,8,6,13,4,,,,,,,,,,,,,,,,,,,13.5,12.8,12.4,12.9,12.5,12.5,12.5,12.4,12.777777777777779,11.125,9.285714285714286,9.5,10.8,11,8.75,7.25,12,15.25,13.6,13,13.571428571428571,12.875,12.11111111111111,12.2,12.3,13.444444444444445,11.375,9.285714285714286,9.666666666666666,9.6,7.75,7.666666666666667,8.5,4,,,,,,,,,,,,,
May,31,20,48,35,28,57,32,44,43,30,20,18,0,20,36,26,29,,,,,,,30,23,22,43,30,26,32,17,19,26,34,,,,,,,,,,,,,,,,,,,36.8,35.7,35.5,30.7,29.2,30,26.9,26.6,24.666666666666668,22.375,21.285714285714285,21.5,22.2,27.75,30.25,27,26,29.5,29.6,29,29.428571428571427,27.875,26.88888888888889,26.8,27.2,27.666666666666668,28.375,26.285714285714285,25.666666666666668,25.6,24,26.333333333333332,30,34,,,,,,,,,,,,,
June,29,17,10,26,27,25,31,42,11,34,36,6,12,11,14,13,27,,,,,,,22,16,7,50,47,46,29,23,19,11,13,,,,,,,,,,,,,,,,,,,25.2,25.9,24.8,25,23.5,22.2,21,20.6,18.22222222222222,19.125,17,13.833333333333334,15.4,16.25,19,19.5,18,23.75,28.4,31.333333333333332,31,30,28.77777777777778,27,26.1,27.22222222222222,29.75,26.857142857142858,23.5,19,16.5,14.333333333333334,12,13,,,,,,,,,,,,,
July,38,63,83,74,71,63,72,45,29,88,23,20,15,47,44,42,45,,,,,,,11,33,35,36,40,21,35,47,34,15,21,,,,,,,,,,,,,,,,,,,62.6,61.1,56.8,50,47.3,44.6,42.5,39.8,39.22222222222222,40.5,33.714285714285715,35.5,38.6,44.5,35.5,32.75,31,28.75,31,29.333333333333332,30.142857142857142,32.25,32.44444444444444,30.7,31.7,31.555555555555557,31.125,30.428571428571427,28.833333333333332,30.4,29.25,23.333333333333332,18,21,,,,,,,,,,,,,
August,79,85,101,117,63,69,63,52,52,21,42,57,22,20,38,26,50,,,,,,,28,65,31,14,34,70,4,33,36,38,11,,,,,,,,,,,,,,,,,,,70.2,66.5,63.7,55.8,46.1,43.6,39.3,38,36.44444444444444,34.5,36.42857142857143,35.5,31.2,33.5,35.5,42.25,43.5,34.5,34.4,40.333333333333336,35.142857142857146,34.875,35,35.3,33.6,30.11111111111111,30,32.285714285714285,32,24.4,29.5,28.333333333333332,24.5,11,,,,,,,,,,,,,
September,12,6,26,35,49,24,31,31,26,19,37,9,8,44,34,15,19,,,,,,,30,30,36,36,18,16,23.333333333333332,11,13,18,17,,,,,,,,,,,,,,,,,,,25.9,28.4,28.7,26.9,27.8,26.3,25.4,24.2,23.444444444444443,23.125,23.714285714285715,21.5,24,28,24.5,23.5,28.75,33,30,27.666666666666668,27.047619047619047,25.041666666666668,23.703703703703706,23.133333333333333,21.833333333333336,20.925925925925927,19.041666666666664,16.619047619047617,16.38888888888889,16.466666666666665,14.75,16,17.5,17,,,,,,,,,,,,,
October,38,22,24,28,25,12,18,38,23,51,41,18,12,33,15,23,17,,,,,,,15,35,16,15,6,25,15.333333333333334,14,20,17,31,,,,,,,,,,,,,,,,,,,27.9,28.2,27.8,26.6,27.1,26.1,27.2,27.1,25.88888888888889,26.25,22.714285714285715,19.666666666666668,20,22,17.5,22.5,20.75,20.25,17.4,18.666666666666668,18.19047619047619,17.666666666666664,17.925925925925924,17.833333333333332,19.43333333333333,17.703703703703702,17.916666666666668,18.333333333333336,20.38888888888889,19.46666666666667,20.5,22.666666666666668,24,31,,,,,,,,,,,,,
November,8,4,9,20,9,13,16,33,24,18,12,15,16,10,4,14,5,,,,,,,5,14,10,5,8,0,4.333333333333333,10,12,12,,,,,,,,,,,,,,,,,,,,15.4,15.8,16.9,17.6,16.6,16.1,16.2,15.1,13.11111111111111,11.75,10.857142857142858,10.666666666666666,9.8,8.25,7,9.5,8.5,8.5,8.4,7,6.6190476190476195,7.041666666666667,7.5925925925925934,8.033333333333335,8.370370370370372,7.666666666666666,7.333333333333333,7.722222222222221,7.666666666666666,9.583333333333332,11.333333333333334,12,12,,,,,,,,,,,,,,
December,0,4,2,4,4,0,7,9,2,0,4,0,3,4,0,2,0,,,,,,,2,10,1,4,7,0,3.6666666666666665,6,5,10,,,,,,,,,,,,,,,,,,,,3.2,3.6,3.2,3.3,3.3,2.9,3.1,2.4,1.6666666666666667,1.625,1.8571428571428572,1.5,1.8,1.5,1,3.5,3.25,4.25,4.8,4,3.9523809523809526,4.208333333333334,4.296296296296297,4.866666666666667,5.185185185185186,4.583333333333333,5.095238095238095,5.277777777777778,4.933333333333333,6.166666666666666,7,7.5,10,,,,,,,,,,,,,,
