Bluestone Wild Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ONTEORA LAKE (Interior Register),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,10 Year Rolling Averages,,,,,,,,,,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2024,10-YEAR-AVG-2015,10-YEAR-AVG-2016,10-YEAR-AVG-2017,10-YEAR-AVG-2018,10-YEAR-AVG 2019,10-YEAR-AVG-2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046
January,,,,,,,,,,,,58,,,,,105,,,79,,133,47,79,91,262,215,130,146,163.666666666667,,,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,58,58,58,58,81.5,81.5,81.5,80.66666666666667,80.66666666666667,105.66666666666667,91,88.6,114,89,113.71428571428571,129.42857142857142,129.5,131.33333333333334,140.74074074074076,140.74074074074076,141.70833333333337,149.45833333333337,159.52380952380958,170.94444444444449,152.7333333333334,137.16666666666674,139.55555555555566,136.33333333333348,109,109,,,,,,,,,,,,,,,
February,,,,,,,,,,,,114,,,,,74,,,129,,202,76,62,98,230,196,174,155,175,,122,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,114,114,114,114,94,94,94,105.66666666666667,105.66666666666667,135,120.25,108.6,162,106.83333333333333,124.42857142857143,141.85714285714286,145.875,146.88888888888889,152,152,143.11111111111111,150.88888888888889,162,171.14285714285714,161.33333333333334,154.4,149.5,147.66666666666666,134,134,,,,,,,,,,,,,,,
March,,,,,,,,,,,,63,,,,,103,,,157,,239,196,93,92,430,113,359,282,251.33333333333334,,106,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,63,63,63,63,83,83,83,107.66666666666667,107.66666666666667,166.33333333333334,173.75,157.6,120,146.66666666666666,187.14285714285714,188.57142857142858,209.875,217.88888888888889,228.37037037037038,228.37037037037038,213.59259259259258,206.48148148148147,220.66666666666666,239.04761904761904,207.22222222222226,226.0666666666667,192.83333333333334,163.11111111111111,119,119,,,,,,,,,,,,,,,
April,,,,,,,,,,,,67,,,,,259,,,188,,238,388,283,257,393,386,368,425,393,,149,254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,67,67,67,67,163,163,163,171.33333333333334,171.33333333333334,228.33333333333334,268.25,271.2,259,268.8333333333333,286.57142857142856,304.7142857142857,312.625,325.1111111111111,347.8888888888889,347.8888888888889,338,323.1111111111111,328.125,338.2857142857143,329.1666666666667,317.8,305.25,265.3333333333333,201.5,201.5,,,,,,,,,,,,,,,
May,,,,,,,,,,,,76,,,,,235,,,140,,194,253,225,308,219,305,306,321,310.6666666666667,,165,221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,76,76,76,76,155.5,155.5,155.5,150.33333333333334,150.33333333333334,189.66666666666666,205.5,209.4,192,225.83333333333334,224.85714285714286,234.85714285714286,243.75,252.33333333333334,271.2962962962963,271.2962962962963,268.0740740740741,264.51851851851853,269.45833333333337,263.95238095238096,271.44444444444446,264.73333333333335,254.41666666666669,232.22222222222226,193,193,,,,,,,,,,,,,,,
June,,,,,,,,,,,,81,,,,96,155,,,124,,160,112,245,281,205,256,319,339,304.6666666666667,,187,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,81,81,81,88.5,110.66666666666667,110.66666666666667,110.66666666666667,114,114,133.75,129.4,148.66666666666666,125,167.57142857142858,183.14285714285714,197.57142857142858,212.75,226.77777777777777,246.85185185185185,246.85185185185185,249.85185185185185,253.74074074074076,254.83333333333334,251.0952380952381,258.77777777777777,259.33333333333337,244.41666666666669,212.8888888888889,167,167,,,,,,,,,,,,,,,
July,,,,,,,,,,,,61,,,,120,140,,,105,,202,309,194,171,234,304,410,259,324.3333333333333,,195,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,61,61,61,90.5,107,107,107,106.5,106.5,141.75,175.2,178.33333333333334,152,177.28571428571428,193.57142857142858,217,241.125,243.11111111111111,267.4814814814815,267.4814814814815,266.7037037037037,242.25925925925924,248.29166666666666,259.3333333333333,263.55555555555554,255.46666666666664,216.83333333333331,202.77777777777774,142,142,,,,,,,,,,,,,,,
August,,,,,,,,,,,,0,,,,148,150,,,115,,210,218,219,299,249,364,184,395,314.3333333333333,,190,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,74,99.33333333333333,99.33333333333333,99.33333333333333,103.25,103.25,155.75,168.2,176.66666666666666,242,194.14285714285714,208.57142857142858,239.14285714285714,232.25,250.33333333333334,272.4814814814815,272.4814814814815,270.2592592592593,257.1481481481481,261.91666666666663,256.6190476190476,257.88888888888886,236.66666666666666,249.83333333333331,201.44444444444443,145,145,,,,,,,,,,,,,,,
September,,,,,,,,,,,,2,,,,204,225,,,104,,203,161,296,262,297,440,300,370,370,,186,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,103,143.66666666666666,143.66666666666666,143.66666666666666,133.75,133.75,184,179.4,198.83333333333334,151,207.85714285714286,221.14285714285714,251.85714285714286,257.875,270.3333333333333,299.8888888888889,299.8888888888889,298,292.6666666666667,292.25,296.57142857142856,296.5,267.8,259.75,223,149.5,149.5,,,,,,,,,,,,,,,
