Slide Mountain Wilderness Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEEKAMOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,10 Year Rolling Averages,,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,10-YEAR-AVG-2014,10-YEAR-AVG-2015,10-YEAR-AVG-2016,10-YEAR-AVG-2017,10-YEAR-AVG-2018,10-YEAR-AVG 2019,10-YEAR-AVG-2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046
January,28,29,64,40,85,19,44,115,27,57,76,54,33,39,53,89,89,,,87,,110,84,62,121,138,95,49,69,101,143,53,139,,,,,,,,,,,,,,,,,,,,50.8,55.6,58.1,55,54.9,51.7,58.7,63.2,57.44444444444444,61.25,65,63.42857142857143,71.42857142857143,78.71428571428571,82,91.71428571428571,98.71428571428571,99.57142857142857,93.25,90.55555555555556,92.11111111111111,97.2,91.5,97,100.88888888888889,98.375,92.71428571428571,92.33333333333333,101,109,111.66666666666667,96,139,,,,,,,,,,,,,,
February,58,43,43,41,62,56,71,80,61,33,77,81,33,56,69,70,35,,,51,,138,55,47,33,133,77,106,94,126,81,104,90,,,,,,,,,,,,,,,,,,,,54.8,56.7,60.5,59.5,61,61.7,63.1,59.5,57.22222222222222,56.75,59,56.42857142857143,64.57142857142857,67.71428571428571,66.42857142857143,61.285714285714285,70.28571428571429,76.28571428571429,80,81.55555555555556,89.88888888888889,89,85.6,89.1,93.77777777777777,101.375,96.85714285714286,100.16666666666667,99,100.25,91.66666666666667,97,90,,,,,,,,,,,,,,
March,86,42,18,32,110,70,69,69,63,82,35,123,46,64,39,83,35,,,40,,122,97,86,54,187,66,74,106,185,149,77,63,,,,,,,,,,,,,,,,,,,,64.1,59,67.1,69.9,73.1,66,67.3,63.9,63.333333333333336,63.375,58.125,61.42857142857143,61.285714285714285,68.57142857142857,71.71428571428571,73.85714285714286,88.71428571428571,93.14285714285714,90.75,92.44444444444444,108.55555555555556,112.6,108.1,104.7,106.77777777777777,113.375,102.85714285714286,109,116,118.5,96.33333333333333,70,63,,,,,,,,,,,,,,
April,104,85,82,94,115,100,138,125,83,118,109,131,75,109,115,206,107,,,123,,155,126,136,133,266,227,173,188,146,144,168,92,,,,,,,,,,,,,,,,,,,,104.4,104.9,109.5,108.8,110.3,110.3,120.9,117.8,117,121.25,121.875,123.71428571428571,127.14285714285714,134.42857142857142,138.28571428571428,140.85714285714286,149.42857142857142,166.57142857142858,167.375,169.66666666666666,172.22222222222223,169.4,170.7,167.3,170.77777777777777,175.5,162.57142857142858,151.83333333333334,147.6,137.5,134.66666666666666,130,92,,,,,,,,,,,,,,
May,151,139,305,185,172,288,158,214,263,148,197,140,137,150,195,143,185,,,256,,298,161,307,315,312,290,219,306,452,237,113,234,,,,,,,,,,,,,,,,,,,,202.3,206.9,207,190.2,186.7,189,174.5,177.2,173.11111111111111,161.875,175.375,172.28571428571428,194.85714285714286,198.28571428571428,220.71428571428572,237.85714285714286,262,277,269.75,273.77777777777777,295.55555555555554,289.7,271.2,278.5,275.3333333333333,270.375,264.42857142857144,260.1666666666667,268.4,259,194.66666666666666,173.5,234,,,,,,,,,,,,,,
June,144,146,141,152,152,177,360,131,181,149,154,163,117,183,127,93,166,,,162,,191,239,266,253,366,367,282,330,444,163,175,49,,,,,,,,,,,,,,,,,,,,173.3,174.3,176,173.6,176.7,174.2,165.8,146.4,148.11111111111111,144,145.625,144.42857142857142,148.42857142857142,165.85714285714286,177.71428571428572,195.71428571428572,234.71428571428572,263.42857142857144,265.75,272.8888888888889,304.22222222222223,290.1,288.5,269.5,269.8888888888889,272,258.57142857142856,240.5,232.2,207.75,129,112,49,,,,,,,,,,,,,,
July,165,136,166,213,261,201,200,268,91,196,222,268,152,188,234,197,269,,,272,,279,340,419,389,445,478,410,319,474,170,206,,,,,,,,,,,,,,,,,,,,,189.7,195.4,208.6,207.2,204.7,202,201.6,208.5,201.88888888888889,215.75,225.25,225.71428571428572,227.28571428571428,254.14285714285714,287.14285714285717,309.2857142857143,344.7142857142857,374.57142857142856,379,372.3333333333333,394.77777777777777,372.3,365,367.77777777777777,361.375,357.42857142857144,342.8333333333333,315.8,292.25,283.3333333333333,188,206,,,,,,,,,,,,,,,
August,174,189,239,226,142,259,312,301,263,272,227,237,204,182,145,258,226,,,250,,366,409,504,636,441,441,295,447,412,128,135,,,,,,,,,,,,,,,,,,,,,237.7,243,247.8,244.3,239.9,240.2,240.1,231.5,223.77777777777777,218.875,216.125,214.57142857142858,233,262.2857142857143,308.2857142857143,378.42857142857144,404.57142857142856,435.2857142857143,417.75,421,439,407.9,384.8,382.1111111111111,366.875,328.42857142857144,309.6666666666667,283.4,280.5,225,131.5,135,,,,,,,,,,,,,,,
September,91,189,189,257,209,128,168,204,224,161,219,118,172,193,175,336,191,,,207,,242,242,262,331,380,350,316,369,347,130,163,,,,,,,,,,,,,,,,,,,,,182,194.8,187.7,186,179.6,176.2,197,199.3,198.77777777777777,195.625,201.375,198.85714285714286,216.57142857142858,226.57142857142858,236.42857142857142,258.7142857142857,265,287.7142857142857,291.25,299.8888888888889,315.44444444444446,296.9,289,294.22222222222223,298.25,293.57142857142856,279.1666666666667,265,252.25,213.33333333333334,146.5,163,,,,,,,,,,,,,,,
October,205,225,261,264,242,246,266,234,156,256,166,127,199,240,210,349,191,,,234,,172,191,213,323,255,229,234,252,418,219,211,,,,,,,,,,,,,,,,,,,,,235.5,231.6,221.8,215.6,213.2,210,220.3,212.8,210.44444444444446,217.25,214.5,221.42857142857142,227.85714285714286,226.71428571428572,222.85714285714286,239,225.57142857142858,231,231.375,233.66666666666666,254.11111111111111,250.6,254.5,261.55555555555554,267.625,259.7142857142857,260.5,266.8,275,282.6666666666667,215,211,,,,,,,,,,,,,,,
November,91,118,68,80,97,106,55,114,63,91,160,113,118,105,156,68,74,,,69,,135,,105,157,176,118,102,168,215,122,88,,,,,,,,,,,,,,,,,,,,,88.3,95.2,94.7,99.7,102.2,108.1,104.3,106.2,105.33333333333333,110.625,107.875,100.42857142857143,103.57142857142857,101.16666666666667,101.16666666666667,101.33333333333333,119.33333333333333,126.66666666666667,123.14285714285714,128.75,147,144.22222222222223,139,139,143.25,141.28571428571428,135.5,139,148.25,141.66666666666666,105,88,,,,,,,,,,,,,,,
December,55,36,46,62,35,15,35,48,29,23,63,65,67,66,32,107,70,,,54,,11,,57,121,69,76,74,65,76,127,58,,,,,,,,,,,,,,,,,,,,,38.4,39.2,42.1,44.2,44.6,44.3,53.5,57,58,61.625,65.5,65.85714285714286,58.142857142857146,56.666666666666664,55.166666666666664,70,63.666666666666664,64.66666666666667,66,65.875,68.625,75.11111111111111,80.33333333333333,80.33333333333333,83.25,77.85714285714286,79.33333333333333,80,81.5,87,92.5,58,,,,,,,,,,,,,,,
Yearly Totals,1352,1377,1622,1646,1682,1665,1876,1903,1504,1586,1705,1620,1353,1575,1550,1999,1638,0,0,1805,0,2219,1944,2464,2866,3168,2814,2334,2713,3396,1813,1551,667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1493.5,1610.4,1728,1961.4,2232.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
