Sundown Wild Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RED HILL (Fire Tower),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,10 Year Rolling Averages,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,10-YEAR-AVG-2015,10-YEAR-AVG-2016,10-YEAR-AVG-2017,10-YEAR-AVG-2018,10-YEAR-AVG 2019,10-YEAR-AVG-2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046
January,,,,,,,,,,,,,4,6,12,16,35,,,3,,29,29,24,21,44,36,46,53,43,89,,112,79,,,,,,,,,,,,,,,,,,,,,4,5,7.333333333333333,9.5,14.6,14.6,14.6,12.666666666666666,12.666666666666666,15,18.571428571428573,21.142857142857142,22.428571428571427,26.428571428571427,26.571428571428573,29,31.666666666666668,36.111111111111114,41.4,42.77777777777778,52,58.111111111111114,62.75,65.42857142857143,70.33333333333333,75.2,80.75,93.33333333333333,95.5,95.5,79,,,,,,,,,,,,,
February,,,,,,,,,,,,,2,5,17,10,19,,,10,,35,11,24,18,75,57,43,33,72,8,,76,100,,,,,,,,,,,,,,,,,,,,,2,3.5,8,8.5,10.6,10.6,10.6,10.5,10.5,14,15.285714285714286,18,18.142857142857142,27.428571428571427,32.857142857142854,34.125,34,40.888888888888886,37.6,37.888888888888886,45.111111111111114,53.55555555555556,58,55.57142857142857,55.333333333333336,57.8,64,61.333333333333336,88,88,100,,,,,,,,,,,,,
March,,,,,,,,,,,,,7,33,5,16,7,,,28,,60,28,24,24,130,43,61,61,131,53,61,114,21,,,,,,,,,,,,,,,,,,,,,7,20,15,15.25,13.6,13.6,13.6,16,16,22.285714285714285,25.285714285714285,24,26.714285714285715,43,48.142857142857146,49.75,51,62.44444444444444,61.5,61.6,70.2,69.9,75,68.125,71.71428571428571,73.5,76,62.25,65.33333333333333,67.5,21,,,,,,,,,,,,,
April,,,,,,,,,,,,,30,48,59,70,45,,,78,,104,97,94,78,186,147,122,142,53,227,213,124,,,,,,,,,,,,,,,,,,,,,,30,39,45.666666666666664,51.75,50.4,50.4,50.4,55,55,62,71.57142857142857,78.14285714285714,80.85714285714286,97.42857142857143,112,113.25,116.44444444444444,113.66666666666667,125,135.9,138.6,143.55555555555554,151.75,146.85714285714286,146.83333333333334,151.8,154.25,188,168.5,124,,,,,,,,,,,,,,
May,,,,,,,,,,,,,72,101,100,102,51,,,66,,80,120,189,187,197,188,184,237,204,248,190,186,,,,,,,,,,,,,,,,,,,,,,72,86.5,91,93.75,85.2,85.2,85.2,82,82,81.71428571428571,88.57142857142857,101.14285714285714,113.57142857142857,127.14285714285714,146.71428571428572,151.375,160.88888888888889,176.22222222222223,183.4,194.4,201,202.33333333333334,204.25,205.28571428571428,208.16666666666666,213,207,208,188,186,,,,,,,,,,,,,,
June,,,,,,,,,,,,94,62,92,64,64,65,,,112,,122,185,182,168,201,219,256,231,253,269,170,195,,,,,,,,,,,,,,,,,,,,,94,78,82.66666666666667,78,75.2,73.5,73.5,73.5,79,79,83,100.57142857142857,113.42857142857143,128.28571428571428,147.85714285714286,169.85714285714286,180.625,186.22222222222223,201.88888888888889,208.6,213.4,214.4,218,224.25,227.57142857142858,229,223.6,221.75,211.33333333333334,182.5,195,,,,,,,,,,,,,,
July,,,,,,,,,,,,139,88,151,130,119,217,,,274,,170,225,273,189,307,393,439,563,518,329,250,291,,,,,,,,,,,,,,,,,,,,,139,113.5,126,127,125.4,140.66666666666666,140.66666666666666,140.66666666666666,159.71428571428572,159.71428571428572,164.14285714285714,183.71428571428572,201.14285714285714,209.57142857142858,236.42857142857142,261.57142857142856,283.75,314.77777777777777,341.8888888888889,340.6,348.6,355.2,364.3333333333333,386.25,397.57142857142856,398.3333333333333,390.2,347,290,270.5,291,,,,,,,,,,,,,,
August,,,,,,,,,,,,152,131,127,121,93,199,,,213,,132,324,432,454,372,390,395,931,673,314,308,238,,,,,,,,,,,,,,,,,,,,,152,141.5,136.66666666666666,132.75,124.8,137.16666666666666,137.16666666666666,137.16666666666666,148,148,145.14285714285714,172.71428571428572,216.28571428571428,263.85714285714283,303.7142857142857,331,339,404.77777777777777,455.8888888888889,441.7,459.3,450.7,452.77777777777777,452.625,464.14285714285717,476.5,492.8,383.25,286.6666666666667,273,238,,,,,,,,,,,,,,
September,,,,,,,,,,,,82,64,129,104,77,112,,,243,,160,18,154,184,210,322,296,725,575,232,263,172,,,,,,,,,,,,,,,,,,,,,82,73,91.66666666666667,94.75,91.2,94.66666666666667,94.66666666666667,94.66666666666667,115.85714285714286,115.85714285714286,127,120.42857142857143,124,135.42857142857142,154.42857142857142,184.42857142857142,198.375,256.8888888888889,293.77777777777777,287.6,297.9,313.3,331,349.375,369.2857142857143,377.1666666666667,393.4,310.5,222.33333333333334,217.5,172,,,,,,,,,,,,,,
