Big Indian Wilderness Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIDER HOLLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,10 Year Rolling Averages,,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,10-YEAR-AVG-2015,10-YEAR-AVG-2016,10-YEAR-AVG-2017,10-YEAR-AVG-2018,10-YEAR-AVG 2019,10-YEAR-AVG-2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046
January,26,24,35,20,40,13,23,54,51,34,67,72,39,55,38,61,49,,,69,,101,46,82,179,168,0,72,149,228,388,148,228,118,,,,,,,,,,,,,,,,,,,32,36.1,40.9,41.3,44.8,44.6,49.4,52,51.77777777777778,51.875,56.25,54.714285714285715,58.857142857142854,59.857142857142854,63.714285714285715,83.85714285714286,99.14285714285714,92.14285714285714,89.625,96.22222222222223,113.88888888888889,141.3,146,164.2,167.8,166.55555555555554,166.375,190.14285714285714,209.83333333333334,222,220.5,164.66666666666666,173,118,,,,,,,,,,,,,
February,21,47,17,12,43,23,27,40,70,47,37,45,35,57,48,52,79,,,70,,102,104,107,78,187,0,124,154,195,187,198,189,189,,,,,,,,,,,,,,,,,,,34.7,36.3,36.1,37.9,42.4,42.9,45.8,51,52.22222222222222,50,52.875,55.142857142857146,63.285714285714285,73.14285714285714,80.28571428571429,84.57142857142857,103.85714285714286,92.57142857142857,96.5,102.88888888888889,116.77777777777777,123.8,133.4,141.9,150.1,158.11111111111111,154.5,176.57142857142858,185.33333333333334,191.6,190.75,192,189,189,,,,,,,,,,,,,
March,26,43,7,3,37,35,64,43,31,78,45,50,45,63,49,57,38,,,19,,95,92,65,79,149,88,93,146,253,164,155,130,166,,,,,,,,,,,,,,,,,,,36.7,38.6,39.3,43.1,49.1,50.3,52.5,49.9,50.666666666666664,53.125,45.75,45.857142857142854,52.285714285714285,59,59.285714285714285,63.57142857142857,76.71428571428571,83.85714285714286,85,91.77777777777777,117.77777777777777,122.4,128.4,132.2,142.3,149.33333333333334,149.375,158.14285714285714,169,173.6,153.75,150.33333333333334,148,166,,,,,,,,,,,,,
April,28,25,28,37,45,40,53,47,42,59,20,45,40,48,29,97,41,,,39,,124,67,74,80,141,100,53,114,116,94.33333333333333,112,103,103,,,,,,,,,,,,,,,,,,,40.4,39.6,41.6,42.8,43.9,42.3,48,46.8,46.77777777777778,47.375,44.875,48.42857142857143,59.714285714285715,63.57142857142857,67.28571428571429,74.57142857142857,80.85714285714286,89.28571428571429,84.75,88,96.55555555555556,96.33333333333334,95.13333333333334,98.73333333333333,101.63333333333334,104.03703703703704,99.41666666666666,99.33333333333333,107.05555555555554,105.66666666666666,103.08333333333333,106,103,103,,,,,,,,,,,,,
May,66,55,78,108,80,60,112,89,140,89,82,102,78,91,120,77,125,,,150,,83,75,121,113,142,146,115,220,302,212.33333333333334,195,224,98,,,,,,,,,,,,,,,,,,,87.7,89.3,94,94,92.3,96.3,98,99.3,100.44444444444444,95.5,103.125,106.14285714285714,103.42857142857143,103,107.28571428571429,106.28571428571429,115.57142857142857,118.57142857142857,118.125,129.44444444444446,146.33333333333334,152.93333333333334,164.13333333333333,179.03333333333333,176.73333333333332,183.8148148148148,189.04166666666669,195.1904761904762,208.55555555555557,206.2666666666667,182.33333333333334,172.33333333333334,161,98,,,,,,,,,,,,,
June,59,43,45,78,128,70,83,64,107,58,66,73,67,79,74,62,129,,,90,,82,141,155,72,129,112,112,168,248,176,151,77,93,,,,,,,,,,,,,,,,,,,73.5,74.2,77.2,79.4,79.5,74.1,73.3,77.9,79.44444444444444,76,80,82,83.28571428571429,93.85714285714286,104.71428571428571,104.42857142857143,114,111.57142857142857,111.625,117.88888888888889,135.44444444444446,139.5,146.4,140,133.8,140.66666666666666,142.125,146.42857142857142,152.16666666666666,149,124.25,107,85,93,,,,,,,,,,,,,
July,73,88,103,114,193,131,132,80,98,90,141,142,113,121,135,88,128,,,118,,119,115,207,147,125,173,137,213,320,223.33333333333334,231,182,128,,,,,,,,,,,,,,,,,,,110.2,117,122.4,123.4,124.1,118.3,114,113.6,117.33333333333333,119.75,123.25,120.71428571428571,117.42857142857143,117.71428571428571,130,131.71428571428572,137,143.42857142857142,142.625,150.44444444444446,172.88888888888889,177.93333333333334,189.13333333333333,195.83333333333331,187.93333333333334,192.48148148148147,200.91666666666666,204.90476190476193,216.22222222222226,216.8666666666667,191.08333333333334,180.33333333333334,155,128,,,,,,,,,,,,,
August,79,73,89,87,78,93,107,110,88,70,71,104,95,113,181,126,160,,,109,,118,180,228,205,231,179,241,207,314,254,147,161,150,,,,,,,,,,,,,,,,,,,87.4,86.6,89.7,90.3,92.9,103.2,106.5,111.8,112,115,119.875,126.85714285714286,128.85714285714286,141,157.42857142857142,160.85714285714286,175.85714285714286,178.57142857142858,186.375,188.66666666666666,211.44444444444446,215.7,218.6,216.7,208.9,209.33333333333334,206.625,210.57142857142858,205.5,205.2,178,152.66666666666666,155.5,150,,,,,,,,,,,,,
September,33,37,49,60,102,103,75,106,76,76,73,74,97,90,94,84,107,,,107,,154,125,135,146,178,182,221,160,386,255.66666666666666,223,89,91,,,,,,,,,,,,,,,,,,,71.7,75.7,79.4,84.2,87.2,86.4,84.5,87.7,85.66666666666667,86.875,90.75,93.28571428571429,104.71428571428571,108.71428571428571,115.14285714285714,122.57142857142857,136,146.71428571428572,156,156.44444444444446,187.44444444444446,194.26666666666668,201.16666666666669,197.56666666666666,193.16666666666669,198.40740740740742,200.95833333333334,203.66666666666666,200.77777777777774,208.9333333333333,164.66666666666666,134.33333333333334,90,91,,,,,,,,,,,,,
