Big Indian Wilderness Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAGER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,10 Year Rolling Averages,,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,10-YEAR-AVG-2015,10-YEAR-AVG-2016,10-YEAR-AVG-2017,10-YEAR-AVG-2018,10-YEAR-AVG 2019,10-YEAR-AVG-2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046
January,13,12,10,9,5,2,23,52,39,38,48,46,83,49,29,57,49,,,35,,66,66,52,100,160,196,102,96,110,18,10,15,24,,,,,,,,,,,,,,,,,,,20.3,23.8,27.2,34.5,38.5,40.9,46.4,49,48.666666666666664,49.875,49.5,49.714285714285715,52.57142857142857,50.142857142857146,50.57142857142857,60.714285714285715,75.42857142857143,96.42857142857143,97.125,97,105.33333333333333,96.6,91,85.9,83.1,81.22222222222223,71.375,53.57142857142857,45.5,35.4,16.75,16.333333333333332,19.5,24,,,,,,,,,,,,,
February,6,9,1,14,9,6,70,52,57,31,63,60,67,63,70,53,53,,,34,,76,51,65,21,96,126,77,49,135,23,29,27,31,,,,,,,,,,,,,,,,,,,25.5,31.2,36.3,42.9,47.8,53.9,58.6,56.9,57.44444444444444,57.5,57.875,57.142857142857146,59.42857142857143,57.142857142857146,57.42857142857143,50.42857142857143,56.57142857142857,67,68.25,66.11111111111111,77.33333333333333,71.9,67.2,64.8,61.4,65.88888888888889,62.125,53,49,49,27.5,29,29,31,,,,,,,,,,,,,
March,14,9,3,9,25,9,58,42,30,36,31,35,51,47,40,52,24,,,32,,48,60,80,32,163,42,58,73,119,33,20,23,15,,,,,,,,,,,,,,,,,,,23.5,25.2,27.8,32.6,36.4,37.9,42.2,38.8,38.44444444444444,39.5,39,40.142857142857146,42,43.285714285714285,48,46.857142857142854,62.714285714285715,65.28571428571429,64.375,65.33333333333333,75,70.8,68,64.3,57.8,60.666666666666664,47.875,48.714285714285715,47.166666666666664,42,22.75,19.333333333333332,19,15,,,,,,,,,,,,,
April,3,0,5,2,35,2,54,61,50,55,40,46,27,42,55,66,29,,,58,,88,83,20,52,108,106,52,63,16,38,50,48,40,,,,,,,,,,,,,,,,,,,26.7,30.4,35,37.2,41.2,43.2,49.6,47.1,45.55555555555556,45,45.375,46.142857142857146,52.142857142857146,60.142857142857146,57,56.57142857142857,62.57142857142857,73.57142857142857,70.875,70,65.33333333333333,62.6,58.8,55.3,57.3,57.888888888888886,51.625,43.857142857142854,42.5,38.4,44,46,44,40,,,,,,,,,,,,,
May,9,15,27,27,26,22,100,52,121,70,52,63,58,107,111,103,93,,,73,,84,81,110,99,104,111,88,145,89,43,77,70,53,,,,,,,,,,,,,,,,,,,46.9,51.2,56,59.1,67.1,75.6,83.7,83,86.44444444444444,82.125,82.5,86.85714285714286,89.85714285714286,93.14285714285714,93.57142857142857,91.85714285714286,92,94.57142857142857,93.75,99.44444444444444,101.22222222222223,95.4,94.7,93.6,87.9,86.66666666666667,84.5,80.71428571428571,79.5,66.4,60.75,66.66666666666667,61.5,53,,,,,,,,,,,,,
June,4,9,18,3,25,20,89,79,96,100,78,48,51,104,75,38,77,,,16,,94,80,120,79,165,88,165,103,113,82,62,61,73,,,,,,,,,,,,,,,,,,,44.3,51.7,55.6,58.9,69,74,75.8,74.6,74.11111111111111,71.375,60.875,58.42857142857143,65,69.14285714285714,71.42857142857143,72,90.14285714285714,91.71428571428571,100.875,101.11111111111111,111.88888888888889,108.9,105.7,103.8,99.1,101.33333333333333,93.375,94.14285714285714,82.33333333333333,78.2,69.5,65.33333333333333,67,73,,,,,,,,,,,,,
July,8,42,35,48,45,78,98,92,77,70,121,129,153,68,154,176,147,,,222,,168,229,187,138,245,260,225,252,137,123,119,101,78,,,,,,,,,,,,,,,,,,,59.3,70.6,79.3,91.1,93.1,104,113.8,118.7,121.66666666666667,127.25,146.25,149.85714285714286,155.42857142857142,166.28571428571428,183.28571428571428,181,190.85714285714286,207,209.25,214,204.55555555555554,196.4,191.5,178.7,167.8,171.11111111111111,161.875,147.85714285714286,135,111.6,105.25,99.33333333333333,89.5,78,,,,,,,,,,,,,
August,43,29,40,27,35,97,117,100,59,89,99,109,147,110,139,156,192,,,158,,245,147,214,237,250,188,162,278,204,126,119,122,63,,,,,,,,,,,,,,,,,,,63.6,69.2,77.2,87.9,96.2,106.6,112.5,120,122.22222222222223,130.125,138.75,144.42857142857142,163.85714285714286,163.85714285714286,178.71428571428572,192.71428571428572,206.14285714285714,205.57142857142858,200.125,208.77777777777777,213.88888888888889,205.1,192.5,190,174.9,168,157.75,153.42857142857142,152,126.8,107.5,101.33333333333333,92.5,63,,,,,,,,,,,,,
September,22,14,20,31,38,50,69,108,87,87,115,58,60,70,162,81,135,,,137,,138,146,99,166,99,181,148,128,141,126,46,36,,,,,,,,,,,,,,,,,,,,52.6,61.9,66.3,70.3,74.2,86.6,89.7,96.3,95,96,102.25,100.42857142857143,111.85714285714286,124.14285714285714,128.28571428571428,128.85714285714286,131.42857142857142,138,139.25,138,138.44444444444446,137.2,128,117,119,113.125,115.14285714285714,104.16666666666667,95.4,87.25,69.33333333333333,41,36,,,,,,,,,,,,,,
