Slide Mountain Wilderness Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLIDE MOUNTAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,10 Year Rolling Averages,,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,10-YEAR-AVG-2015,10-YEAR-AVG-2016,10-YEAR-AVG-2017,10-YEAR-AVG-2018,10-YEAR-AVG 2019,10-YEAR-AVG-2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046
January,145,180,207,148,196,108,172,316,143,304,210,296,287,127,179,269,226,,,366,,471,398,255,321,340,409,337,234,375,831,338,478,,,,,,,,,,,,,,,,,,,,191.9,198.4,210,218,215.9,214.2,230.3,235.7,226.77777777777777,237.25,245,250,275,290.85714285714283,309.14285714285717,329.42857142857144,339.57142857142856,365.7142857142857,362.125,347.8888888888889,348.8888888888889,397.1,383.8,391.8,407,417.75,428.85714285714283,432.1666666666667,451.2,505.5,549,408,478,,,,,,,,,,,,,,
February,200,234,180,114,188,192,194,336,188,260,211,236,194,323,288,200,179,,,213,,264,191,211,227,214,372,272,253,421,443,459,220,,,,,,,,,,,,,,,,,,,,208.6,209.7,209.9,211.3,232.2,242.2,243,241.5,231,236.375,230.5,233.28571428571428,237.28571428571428,236.85714285714286,220.85714285714286,212.14285714285714,214.14285714285714,241.71428571428572,245.5,246.33333333333334,269.44444444444446,286.8,306.3,309.2,320.1111111111111,331.75,348.57142857142856,344.6666666666667,359.2,385.75,374,339.5,220,,,,,,,,,,,,,,
March,164,220,71,176,285,198,141,191,192,326,194,239,187,153,223,182,180,,,116,,343,299,274,265,246,266,323,335,528,571,328,277,,,,,,,,,,,,,,,,,,,,196.4,199.4,201.3,212.9,210.6,204.4,202.8,206.7,208.44444444444446,210.5,184.25,182.85714285714286,197.71428571428572,213.71428571428572,231,237,246.14285714285714,258.42857142857144,266.5,274.1111111111111,319.8888888888889,345,343.5,341.3,348.77777777777777,359.25,375.42857142857144,393.6666666666667,407.8,426,392,302.5,277,,,,,,,,,,,,,,
April,443,260,211,310,427,302,177,360,320,230,206,212,269,287,200,410,168,,,225,,488,291,290,281,728,466,245,278,240,430,331,307,,,,,,,,,,,,,,,,,,,,304,280.3,275.5,281.3,279,256.3,267.1,266.2,255.77777777777777,247.75,247.125,253,292.42857142857144,295.57142857142856,296,307.57142857142856,353,395.57142857142856,376.75,365.77777777777777,367.44444444444446,373.7,358,359.6,367.3333333333333,378.125,328.14285714285717,305.1666666666667,317.2,327,356,319,307,,,,,,,,,,,,,,
May,714,661,793,425,537,544,595,687,965,772,507,463,470,600,535,348,622,,,496,,481,506,553,686,632,572,568,593,778,589,680,691,,,,,,,,,,,,,,,,,,,,669.3,648.6,628.8,596.5,614,613.8,594.2,596.9,586.8888888888889,539.625,505.125,504.85714285714283,507.42857142857144,512.5714285714286,505.85714285714283,527.4285714285714,568,560.8571428571429,561.75,565.2222222222222,596.5555555555555,595.8,615.7,634.2,643.2222222222222,637.875,638.7142857142857,649.8333333333334,666.2,684.5,653.3333333333334,685.5,691,,,,,,,,,,,,,,
June,556,518,680,744,620,524,605,384,530,484,588,423,412,312,392,350,565,,,522,,510,502,583,570,777,640,687,692,829,624,758,587,593,,,,,,,,,,,,,,,,,,,564.5,567.7,558.2,531.4,488.2,465.4,448,444,450.6666666666667,440.75,445.5,425.14285714285717,437.57142857142856,450.42857142857144,489.14285714285717,514.5714285714286,575.5714285714286,586.2857142857143,598.875,609.2222222222222,643.3333333333334,641.4,666.2,674.7,675.7,687.4444444444445,676.25,681.4285714285714,680.5,678.2,640.5,646,590,593,,,,,,,,,,,,,
July,579,835,785,908,830,730,772,840,552,650,780,701,737,682,682,525,624,,,679,,483,362,721,704,832,876,443,708,814,835,816,794,868,,,,,,,,,,,,,,,,,,,748.1,768.2,754.8,750,727.4,712.6,692.1,677.3,659.2222222222222,672.625,676.25,661.4285714285714,630.2857142857143,576.7142857142857,582.2857142857143,585.4285714285714,629.2857142857143,665.2857142857143,637.5,645.3333333333334,660.3333333333334,677.8,711.1,754.3,769,776.2222222222222,769.25,754,805.8333333333334,825.4,828.25,826,831,868,,,,,,,,,,,,,
August,720,930,1067,896,1059,921,1115,1081,647,1006,543,606,842,681,652,541,617,,,737,,669,530,792,863,762,891,507,693,939,764,801,606,1077,,,,,,,,,,,,,,,,,,,944.2,926.5,894.1,871.6,850.1,809.4,771.4,721.6,681.6666666666666,686,652.375,668,677,632.4285714285714,648.2857142857143,678.4285714285714,710,749.1428571428571,718.875,716,738.4444444444445,741,754.2,761.8,790.3,782.2222222222222,784.75,769.5714285714286,813.3333333333334,837.4,812,828,841.5,1077,,,,,,,,,,,,,
September,745,522,655,1061,570,474,589,607,680,616,698,562,469,575,539,443,588,,,639,,536,619,556,684,653,774,498,795,988,708,735,,783,,,,,,,,,,,,,,,,,,,651.9,647.2,651.2,632.6,584,580.9,577.8,577.7,574.4444444444445,561.25,564.125,545,541.2857142857143,562.7142857142857,560,580.7142857142857,610.7142857142857,637.2857142857143,619.875,639.3333333333334,678.1111111111111,681.1,701,710.1111111111111,735.3333333333334,741.75,754.4285714285714,751.1666666666666,801.8,803.5,742,759,783,783,,,,,,,,,,,,,
