Sundown Wild Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trails End Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,10 Year Rolling Averages,,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,10-YEAR-AVG-2015,10-YEAR-AVG-2016,10-YEAR-AVG-2017,10-YEAR-AVG-2018,10-YEAR-AVG 2019,10-YEAR-AVG-2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046
January,,,,,,10,26,87,71,53,53,114,51,99,53,42,46,,,0,,,,,,,,,,,,,58,,,,,,,,,,,,,,,,,,,,49.4,50,59.142857142857146,58.125,62.666666666666664,61.7,64.9,66.9,64.66666666666667,63.875,57.25,57.857142857142854,48.5,48,35.25,29.333333333333332,23,0,0,0,,,,58,58,58,58,58,58,58,58,58,58,,,,,,,,,,,,,,
February,,,,,,10,45,89,62,60,23,100,50,85,60,71,45,,,0,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,53.2,48.166666666666664,55.57142857142857,54.875,58.22222222222222,58.4,64.5,64.5,61.77777777777778,61.75,54.25,58.714285714285715,51.833333333333336,52.2,44,38.666666666666664,22.5,0,0,0,,,,38,38,38,38,38,38,38,38,38,38,,,,,,,,,,,,,,
March,,,,,,10,67,93,73,107,52,108,46,43,65,73,59,,,0,,,,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,70,67,72.85714285714286,69.5,66.55555555555556,66.4,72.7,71.9,69.55555555555556,69.125,55.75,56.285714285714285,47.666666666666664,48,49.25,44,29.5,0,0,0,,,,43,43,43,43,43,43,43,43,43,43,,,,,,,,,,,,,,
April,,,,,,50,153,168,157,70,139,128,130,144,72,160,94,,,37,,,,,,,,,,,,,115,,,,,,,,,,,,,,,,,,,,119.6,122.83333333333333,123.57142857142857,124.375,126.55555555555556,121.1,132.1,126.2,121.55555555555556,117.125,113,109.28571428571429,106.16666666666667,101.4,90.75,97,65.5,37,37,37,,,,115,115,115,115,115,115,115,115,115,115,,,,,,,,,,,,,,
May,,,,,,50,240,255,187,101,206,175,187,194,219,122,193,,,218,,,,,,,,,,,,,224,,,,,,,,,,,,,,,,,,,,166.6,173.16666666666666,173.42857142857142,175.125,177.22222222222223,181.4,188.6,183.9,176,174.625,189.25,186.85714285714286,188.83333333333334,189.2,188,177.66666666666666,205.5,218,218,218,,,,224,224,224,224,224,224,224,224,224,224,,,,,,,,,,,,,,
June,,,,,,132,197,177,72,80,109,228,112,161,112,149,170,,,25,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,131.6,127.83333333333333,142.14285714285714,138.375,140.88888888888889,138,139.7,137,132.55555555555554,140.125,133.25,136.71428571428572,121.5,123.4,114,114.66666666666667,97.5,25,25,25,,,,34,34,34,34,34,34,34,34,34,34,,,,,,,,,,,,,,
July,,,,,,269,200,301,119,179,241,289,314,207,279,243,263,,,216,,,,,,,,,,,,186,,,,,,,,,,,,,,,,,,,,,213.6,218.16666666666666,228.28571428571428,239,235.44444444444446,239.8,237.2,243.5,237.11111111111111,251.875,256.5,258.7142857142857,253.66666666666666,241.6,250.25,240.66666666666666,239.5,216,216,216,,,186,186,186,186,186,186,186,186,186,186,,,,,,,,,,,,,,,
August,,,,,,193,254,268,208,235,140,186,213,216,136,214,226,,,257,,,,,,,,,,,,301,,,,,,,,,,,,,,,,,,,,,231.6,216.33333333333334,212,212.125,212.55555555555554,204.9,207,204.2,197.11111111111111,195.75,198.5,206.85714285714286,210.33333333333334,209.8,208.25,232.33333333333334,241.5,257,257,257,,,301,301,301,301,301,301,301,301,301,301,,,,,,,,,,,,,,,
September,,,,,,155,137,207,243,160,186,188,163,190,153,206,194,,,213,,,,,,,,,,,,149,,,,,,,,,,,,,,,,,,,,,180.4,181.33333333333334,182.28571428571428,179.875,181,178.2,183.3,189,187,180,186.625,186.71428571428572,186.5,191.2,191.5,204.33333333333334,203.5,213,213,213,,,149,149,149,149,149,149,149,149,149,149,,,,,,,,,,,,,,,
