Sundown Wild Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper Cherrytown Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,,,,,,,,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046
January,,,,,,10,26,87,71,53,53,114,51,99,53,42,46,,,0,,,,,,,,,,,,32,81,,,,,,,,,,,,,,,,,,,,,,,,,,32,56.5,56.5,56.5,56.5,56.5,56.5,56.5,56.5,56.5,,,,,,,,,,,,,,
February,,,,,,10,45,89,62,60,23,100,50,85,60,71,45,,,0,,,,,,,,,,,,16,75,,,,,,,,,,,,,,,,,,,,,,,,,,16,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,,,,,,,,,,,,,,
March,,,,,,10,67,93,73,107,52,108,46,43,65,73,59,,,0,,,,,,,,,,,,46,62,,,,,,,,,,,,,,,,,,,,,,,,,,46,54,54,54,54,54,54,54,54,54,,,,,,,,,,,,,,
April,,,,,,50,153,168,157,70,139,128,130,144,72,160,94,,,37,,,,,,,,,,,152,174,168,,,,,,,,,,,,,,,,,,,,,,,,,152,163,164.66666666666666,164.66666666666666,164.66666666666666,164.66666666666666,164.66666666666666,164.66666666666666,164.66666666666666,164.66666666666666,171,,,,,,,,,,,,,,
May,,,,,,50,240,255,187,101,206,175,187,194,219,122,193,,,218,,,,,,,,,,,90,364,136,,,,,,,,,,,,,,,,,,,,,,,,,90,227,196.66666666666666,196.66666666666666,196.66666666666666,196.66666666666666,196.66666666666666,196.66666666666666,196.66666666666666,196.66666666666666,250,,,,,,,,,,,,,,
June,,,,,,132,197,177,72,80,109,228,112,161,112,149,170,,,25,,,,,,,,,,,121,251,143,,,,,,,,,,,,,,,,,,,,,,,,,121,186,171.66666666666666,171.66666666666666,171.66666666666666,171.66666666666666,171.66666666666666,171.66666666666666,171.66666666666666,171.66666666666666,197,,,,,,,,,,,,,,
July,,,,,,269,200,301,119,179,241,289,314,207,279,243,263,,,216,,,,,,,,,,,154,704,329,,,,,,,,,,,,,,,,,,,,,,,,,154,429,395.6666666666667,395.6666666666667,395.6666666666667,395.6666666666667,395.6666666666667,395.6666666666667,395.6666666666667,395.6666666666667,516.5,,,,,,,,,,,,,,
August,,,,,,193,254,268,208,235,140,186,213,216,136,214,226,,,257,,,,,,,,,,,175,341,197,,,,,,,,,,,,,,,,,,,,,,,,,175,258,237.66666666666666,237.66666666666666,237.66666666666666,237.66666666666666,237.66666666666666,237.66666666666666,237.66666666666666,237.66666666666666,269,,,,,,,,,,,,,,
September,,,,,,155,137,207,243,160,186,188,163,190,153,206,194,,,213,,,,,,,,,,,97,170,2,,,,,,,,,,,,,,,,,,,,,,,,,97,133.5,89.66666666666667,89.66666666666667,89.66666666666667,89.66666666666667,89.66666666666667,89.66666666666667,89.66666666666667,89.66666666666667,86,,,,,,,,,,,,,,
October,,,,,,247,254,288,215,238,234,181,199,247,170,344,244,,,380,,,,,,,,,,,115,237,16,,,,,,,,,,,,,,,,,,,,,,,,,115,176,122.66666666666667,122.66666666666667,122.66666666666667,122.66666666666667,122.66666666666667,122.66666666666667,122.66666666666667,122.66666666666667,126.5,,,,,,,,,,,,,,
November,,,,,,113,62,146,91,130,112,104,90,62,136,157,118,,,123,,,,,,,,,,,70,86,1,,,,,,,,,,,,,,,,,,,,,,,,,70,78,52.333333333333336,52.333333333333336,52.333333333333336,52.333333333333336,52.333333333333336,52.333333333333336,52.333333333333336,52.333333333333336,43.5,,,,,,,,,,,,,,
December,,,,,,35,70,62,81,48,54,88,33,55,47,125,53,,,75,,,,,,,,,,,51,68,7,,,,,,,,,,,,,,,,,,,,,,,,,51,59.5,42,42,42,42,42,42,42,42,37.5,,,,,,,,,,,,,,
Yearly Totals,0,0,0,0,0,1274,1705,2141,1579,1461,1549,1889,1588,1703,1502,1906,1705,0,0,1544,0,0,0,0,0,0,0,0,0,0,1025,1025,1217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,515.5,324.9,154.4,154.4,154.4,,,,,,,,,,,,,,,,,,,,,,,,,,
