Sundown Wild Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VERNOOY KILL FALLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,10 Year Rolling Averages,,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2023,10-YEAR-AVG-2015,10-YEAR-AVG-2016,10-YEAR-AVG-2017,10-YEAR-AVG-2018,10-YEAR-AVG 2019,10-YEAR-AVG-2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046
January,67,33,34,25,64,17,27,70,33,59,25,75,19,5,29,22,26,,,14,,56,50,44,29,88,12,78,20,36.666666666666664,,,,,,,,,,,,,,,,,,,,,,,42.9,38.7,42.9,41.4,39.4,35.9,36.4,36.3,32.55555555555556,32.5,26.875,27.142857142857142,24.428571428571427,28.857142857142858,34.42857142857143,32,34.42857142857143,43.857142857142854,41.857142857142854,46.375,43.44444444444444,45.96296296296296,45.96296296296296,44.708333333333336,43.952380952380956,43.94444444444445,46.93333333333333,36.666666666666664,44.888888888888886,28.333333333333332,36.666666666666664,,,,,,,,,,,,,,,,,
February,45,14,34,62,43,33,29,66,53,21,77,69,47,19,48,35,43,,,48,,79,44,22,21,70,86,96,39,73.66666666666667,,,,,,,,,,,,,,,,,,,,,,,40,43.2,48.7,50,45.7,46.2,46.4,47.8,45.77777777777778,44.875,48.25,44.142857142857146,45.57142857142857,45.142857142857146,45.57142857142857,16,41.714285714285715,46.714285714285715,52.857142857142854,58.25,56.111111111111114,58.96296296296296,58.96296296296296,56.458333333333336,58.23809523809524,64.27777777777779,72.93333333333334,73.66666666666667,69.55555555555556,56.333333333333336,73.66666666666667,,,,,,,,,,,,,,,,,
March,55,1,15,42,60,84,45,93,111,55,54,54,33,50,39,37,65,,,53,,128,64,57,22,178,46,98,81,75,,,,,,,,,,,,,,,,,,,,,,,56.1,56,61.3,63.1,63.9,61.8,57.1,59.1,55.333333333333336,48.375,48.125,47.285714285714285,57.857142857142854,62.285714285714285,63.285714285714285,44,60.857142857142854,81,78.28571428571429,80.75,80.77777777777777,83.22222222222223,83.22222222222223,77.625,79.57142857142857,83.33333333333333,95.6,75,84.66666666666667,78,75,,,,,,,,,,,,,,,,,
April,122,66,89,121,179,169,56,105,98,89,211,94,132,128,89,124,95,,,63,,117,139,182,122,196,313,190,211,238,,152,,,,,,,,,,,,,,,,,,,,,109.4,118.3,121.1,125.4,126.1,117.1,112.6,116.5,117.77777777777777,120.25,117,103.57142857142857,106.85714285714286,107.85714285714286,115.57142857142857,75,120.28571428571429,130.57142857142858,161.71428571428572,165.25,170.33333333333334,189.77777777777777,189.77777777777777,193.66666666666666,200.5,203.14285714285714,216.66666666666666,220.8,197.75,200.33333333333334,195,152,152,,,,,,,,,,,,,,,
May,130,72,218,270,265,247,274,171,225,242,141,177,83,274,162,267,179,,,251,,191,186,275,276,327,291,151,328,256.6666666666667,,90,,,,,,,,,,,,,,,,,,,,,211.4,212.5,223,209.5,209.9,199.6,201.6,192.1,194.44444444444446,190.625,191.75,199,201,215.71428571428572,215.85714285714286,147,232.14285714285714,240.71428571428572,256.7142857142857,243.5,252.88888888888889,253.5185185185185,253.5185185185185,242.29629629629628,249.33333333333334,245.66666666666669,240.61111111111111,223.33333333333334,206.41666666666669,224.8888888888889,173.33333333333334,90,90,,,,,,,,,,,,,,,
June,195,99,88,109,257,191,213,168,185,161,102,201,124,192,158,175,227,,,82,,182,198,259,177,440,382,382,363,375.6666666666667,,121,,,,,,,,,,,,,,,,,,,,,166.6,157.3,167.5,171.1,179.4,169.5,167.9,169.3,169.44444444444446,167.5,157.625,165.57142857142858,162.85714285714286,173.42857142857142,183,135,185.71428571428572,223.57142857142858,245.71428571428572,262.75,273.8888888888889,306.5185185185185,306.5185185185185,299.7407407407407,312.4583333333333,320.0952380952381,343.9444444444445,324.73333333333335,310.4166666666667,286.5555555555556,248.33333333333334,121,121,,,,,,,,,,,,,,,
July,192,155,208,301,465,349,471,480,390,125,347,412,278,305,316,304,351,,,0,,366,269,289,482,837,1004,759,647,803.3333333333334,,154,,,,,,,,,,,,,,,,,,,,,313.6,329.1,354.8,361.8,362.2,347.3,342.8,330.8,314.22222222222223,304.75,289.125,280.85714285714283,274.2857142857143,273,270.7142857142857,124,294.42857142857144,370.57142857142856,463.85714285714283,500.75,517,606.2592592592592,606.2592592592592,582.7037037037037,621.9166666666666,669.4761904761905,700.7222222222223,673.4666666666667,590.8333333333334,534.7777777777778,478.6666666666667,154,154,,,,,,,,,,,,,,,
August,169,84,200,276,437,351,489,493,308,288,282,230,290,205,233,294,507,,,,,433,490,406,458,568,730,730,719,726.3333333333334,,175,,,,,,,,,,,,,,,,,,,,,309.5,320.8,335.4,344.4,337.3,316.9,311.2,313,293,291.125,291.57142857142856,293.1666666666667,327,360.3333333333333,393.8333333333333,,431.3333333333333,477,514.1666666666666,545,566.75,584.4814814814814,584.4814814814814,555.8148148148148,564.0416666666666,586.6190476190477,608.0555555555555,616.0666666666667,587.5833333333334,540.1111111111112,450.6666666666667,175,175,,,,,,,,,,,,,,,
September,130,157,174,247,208,225,128,255,171,147,229,14,119,110,233,143,421,,,284,,188,212,173,205,411,503,503,278,428,,97,,,,,,,,,,,,,,,,,,,,,184.2,194.1,179.8,174.3,160.6,163.1,154.9,184.2,176.33333333333334,177,194.125,189.14285714285714,214,227.28571428571428,236.28571428571428,,232.28571428571428,270.57142857142856,282.2857142857143,309.875,306.3333333333333,322.3333333333333,322.3333333333333,312.22222222222223,324.75,346.42857142857144,370,361.8,326.5,267.6666666666667,262.5,97,97,,,,,,,,,,,,,,,
October,169,117,256,309,131,180,253,272,212,180,148,47,162,151,114,194,201,,,6,,48,209,177,226,205,292,292,253,279,,115,,,,,,,,,,,,,,,,,,,,,207.9,205.8,198.8,189.4,173.6,171.9,173.3,168.1,156.55555555555554,149.625,127.875,125,125.14285714285714,131.85714285714286,135.57142857142858,,151.57142857142858,153.14285714285714,166.14285714285714,181.875,189.77777777777777,220.11111111111111,220.11111111111111,227.55555555555554,229.875,237.42857142857142,239.33333333333334,246.2,234.75,215.66666666666666,197,115,115,,,,,,,,,,,,,,,
November,83,28,78,64,74,81,60,106,541,89,60,32,97,50,85,156,92,,,23,,39,47,99,129,89,145,145,186,158.66666666666666,,70,,,,,,,,,,,,,,,,,,,,,120.4,118.1,118.5,120.4,119,120.1,127.6,130.8,133.55555555555554,82.625,74.375,76.42857142857143,77.42857142857143,70.28571428571429,77.28571428571429,,83.57142857142857,74,81.57142857142857,89.5,100.22222222222223,115.2962962962963,115.2962962962963,118.74074074074072,127.70833333333333,131.8095238095238,132.27777777777777,140.93333333333334,139.91666666666666,138.2222222222222,114.33333333333333,70,70,,,,,,,,,,,,,,,
December,32,2,25,66,29,21,33,26,93,39,47,21,69,18,26,67,13,,,12,,24,4,78,105,32,68,68,45,60.333333333333336,,51,,,,,,,,,,,,,,,,,,,,,36.6,38.1,40,44.4,39.6,39.3,43.9,41.9,43.666666666666664,37.5,34.125,32.285714285714285,32.714285714285715,23.428571428571427,32,,43.285714285714285,38.285714285714285,46.142857142857146,48.875,48.44444444444444,53.81481481481481,53.81481481481481,56.81481481481481,63.416666666666664,61.33333333333333,54.05555555555555,58.466666666666676,56.083333333333336,52.111111111111114,55.66666666666667,51,51,,,,,,,,,,,,,,,
Yearly Totals,1389,828,1419,1892,2212,1948,2078,2305,2420,1495,1723,1426,1453,1507,1532,1818,2220,0,0,836,0,1851,1912,2061,2252,3441,3872,3492,3170,3511.3333333333335,0,1025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,573,1295,1457.3,1622.5,1971.7,2288.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
