Region 3 Catskill Forest Preserve Trailhead Tally - Wild Forest Areas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,10 YEAR MOVING AVERAGE ,,,,,,,,,,,,,,,,,,,,,,,,,10 YEAR MOVING AVERAGE ,,,,,,,,,,,,,,,,,,,,,,,,,
Balsam Lake Mountain Wild Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041
Alder Lake,1348,823,1170,826,1296,1151,1250,2013,2135,1472,1579,1828,1630,1440,1368,1608,1616,,,1760,,1691,0,1622,1824,2678,2316,2058,2242,2476,2283,1723,1734,1441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1348.4,1371.5,1472,1518,1579.4,1586.6,1632.3,1668.9,1630.6666666666667,1567.625,1603.625,1607.142857142857,1587.5714285714287,1580.5,1610.8333333333333,1686.8333333333333,1865.1666666666667,1981.8333333333333,1992.7142857142858,2023.875,2113.375,2132.222222222222,2135.777777777778,2095.6,2077.5,2105.6666666666665,2034.125,1993.857142857143,1983.1666666666667,1931.4,1795.25,1632.6666666666667,1587.5,1441,,,,,,,,
Beaverkill (Toward Fire Tower) ,,,,671,830,617,871,1076,946,944,1003,895,1059,1060,954,1021,1088,,,1398,,1641,0,1193,1307,1732,1326,1340,2123.3333333333335,1960,1973,1956,1788,1289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,850.7142857142857,869.75,872.5555555555555,891.2,930.1,942.5,982.9,1004.6,996.6666666666666,1003,1059.75,1067.857142857143,1174.4285714285713,1193.6666666666667,1215.8333333333333,1274.6666666666667,1393.1666666666667,1432.8333333333333,1419.5714285714287,1507.5416666666667,1577.7916666666667,1621.7037037037037,1656.7037037037037,1669.8333333333335,1679.4333333333336,1720.8148148148148,1719.4166666666667,1775.6190476190477,1848.2222222222224,1793.2,1751.5,1677.6666666666667,1538.5,128.9,0,0,0,0,0,0,0,0
Dry Brook Ridge (Toward Lean-to),,,,349,457,313,270,271,257,263,230,243,162,236,313,153,152,,,126,,260,161,227,196,251,209,320,362,296.99999999999994,343,299,235,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,311.42857142857144,301.25,294.77777777777777,281.5,270.2,255.8,239.8,228,223.22222222222223,219,201.875,197.85714285714286,200.28571428571428,200.14285714285714,198.85714285714286,182.14285714285714,196.14285714285714,204.28571428571428,218.75,234.66666666666666,253.66666666666666,262.6,266.5,273.9,269.8,278,281.375,291.7142857142857,287,272,265.75,240,210.5,18.6,0,0,0,0,0,0,0,0
Kelly Hollow,242,275,223,327,345,290,428,393,379,423,468,544,511,525,595,598,687,,,916,,901,733,714,760,952,901,974,1229,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,332.5,355.1,382,410.8,430.6,455.6,486.4,512.3,525.5555555555555,543.875,605.5,625.1428571428571,676.1428571428571,707.8571428571429,734.8571428571429,758.4285714285714,809,839.5714285714286,856.375,897.7777777777778,1019.7777777777778,1019.7777777777778,1034.625,1077.7142857142858,1138.3333333333333,1214,1279.5,1405.6666666666667,1621.5,2014,,,,0,0,0,0,0,0,0,0,0
Millbrook (Toward Fire Tower) ,861,765,891,1156,972,813,927,1168,1359,1316,1534,1328,1131,1341,1152,1339,1183,,,916,,1261,1662,1932,2033,2525,2375,2186,3316,3158,2705,3212,3048,3198,1802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1022.8,1090.1,1146.4,1170.4,1188.9,1206.9,1259.5,1285.1,1298.111111111111,1290.5,1240.5,1198.5714285714287,1189,1264.857142857143,1349.2857142857142,1475.142857142857,1644.5714285714287,1814.857142857143,1861.25,2022.888888888889,2272,2315.3,2510.4,2649,2775.6,2752.5,2777.777777777778,2828.125,2919.8571428571427,2853.8333333333335,2793,2815,2682.6666666666665,500,180.2,0,0,0,0,0,0,0
Quaker Clearing (Neversink-Hardenburgh),259,241,327,374,305,278,291,322,243,289,240,154,100,204,197,184,213,,,,,,,155,237,206,235,203,276,169.66666666666669,187,165,161,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,292.9,291,282.3,259.6,242.6,231.8,222.4,214.6,202.66666666666666,197.625,184.57142857142858,175.33333333333334,179.6,199.5,187.25,197.25,202.75,208.25,207.2,218.66666666666666,211.66666666666669,208.58333333333334,203.74074074074076,199.46666666666667,197.56666666666666,193.1851851851852,191.58333333333334,185.38095238095238,182.44444444444446,163.73333333333335,162.25,154,148.5,13.6,0,0,0,0,0,0,0,0
BLM WF TOTALS,2710,2104,2611,3703,4205,3462,4037,5243,5319,4707,5054,4992,4593,4806,4579,4903,4939,,,5116,,5754,2556,5843,6357,8344,7362,7081,9548.333333333334,10074.666666666666,7491,7355,6966,6250,1802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,3810.1,4044.5,4333.3,4531.5,4641.8,4679.2,4823.3,4913.5,4876.888888888889,4821.625,4872.75,4846.857142857143,4955.714285714285,4664.714285714285,4812.857142857143,5066.857142857143,5558.428571428572,5904.571428571428,6051.625,6440.148148148149,6991.111111111111,7041.1,7201.2,7642.2,7682.9,7227.4,7103.333333333333,7071,7069.571428571428,6656.444444444444,5972.8,5593.25,5006,805.2,180.2,0,0,0,0,0,0,0
Bluestone Wild Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onteora Lake,,,,,,,,,,,,567,,,,1102,1887,,,1711,,2359,2084,2016,2933,3467,3449,3184,3590,3407.666666666667,0,1836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,567,567,567,567,834.5,1185.3333333333333,1185.3333333333333,1185.3333333333333,1316.75,1316.75,1764.75,1828.6,1859.8333333333333,2013.142857142857,2351,2574.1428571428573,2650.375,2754.777777777778,2943.2962962962965,2943.2962962962965,2885.185185185185,2985.3333333333335,3123.809523809524,3155.6111111111113,3093.3333333333335,3004.416666666667,2944.555555555556,2621.8333333333335,1836,1836,,,,,,,,,,
