Region 3 Catskill Forest Preserve Trail Head Tally - Wilderness Areas ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Indian Wilderness Area ,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,10 YEAR MOVING AVERAGE ,,,,,,,,,,,,,,,,,,,,,,,,,10 Year Moving Average ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041
Biscuit Brook,794,747,832,741,790,802,735,1001,741,882,782,867,587,782,696,723,744,,,562,,928,890,954,1096,1283,1014,1039,1206,1842,1592,1347,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,806.5,805.3,817.3,792.8,796.9,787.5,779.6,780.5,756,757.875,717.875,708.7142857142857,717.4285714285714,760.7142857142857,785.2857142857143,842.4285714285714,922.4285714285714,961,970.75,996.8888888888889,1139.111111111111,1184.4,1226.3,1214.1,1243,1261.375,1258.2857142857142,1299,1351,1387.25,1235.6666666666667,1057.5,768,,,,,,,,,
Hardenburgh (Beaverkill Road),270,288,306,316,275,233,172,168,654,134,130,236,266,152,170,158,109,,,76,,,,69,82,145,131,93,112,169,121,77,59,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,281.6,267.6,262.4,258.4,242,231.5,224,217.7,223.22222222222223,169.375,162.125,166.71428571428572,155.16666666666666,133,116.4,98.8,96.2,100.6,99.33333333333333,101.14285714285714,114.42857142857143,115.25,111,105.8,109.1,112.11111111111111,108,104.71428571428571,106.66666666666667,105.6,89.75,79.33333333333333,80.5,102,,,,,,,,
McKenley Hollow,1233,1271,1260,1582,1608,1111,1329,1310,1128,1266,1258,1285,1063,911,952,1249,849,,,879,,675,783,988,985,1166,835,907,1026,1388,1266,994,1244,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1309.8,1312.3,1313.7,1294,1226.9,1161.3,1175.1,1127.1,1106.7777777777778,1104.125,1055.75,1026.857142857143,939.7142857142857,899.7142857142857,910.7142857142857,915.4285714285714,903.5714285714286,901.5714285714286,902.25,916,972.5555555555555,1001.9,1033.8,1079.9,984.1,984,961.25,979.2857142857143,991.3333333333334,984.4,883.5,756,637,30,,,,,,,,
Mongaup Pond (From Campground),227,227,305,214,200,256,405,356,457,463,450,449,431,377,272,252,266,,,7937,,170,233,197,277,201,223,232,172,225,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,311,333.3,355.5,368.1,384.4,391.6,391.2,377.3,379.6666666666667,370,1304.25,1426.2857142857142,1386.4285714285713,1358.142857142857,1332.4285714285713,1333.142857142857,1325.857142857143,1319.7142857142858,1183.75,1071.3333333333333,214.44444444444446,207.5,211.66666666666666,209,210.71428571428572,199.66666666666666,199.4,193.5,180.66666666666666,185,145,,,,,,,,,,,
Rider Hollow,512,524,574,687,862,755,885,837,898,754,865,939,869,903,946,987,1092,,,,,1244,1092,1469,1491,1884,1317,1497,2040,3101,2573,2022,1807,1136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,728.8,764.1,805.6,835.1,856.7,865.1,888.3,909,917,919.375,943,956,1006.8333333333334,1044,1138.3333333333333,1229.1666666666667,1378.6666666666667,1416.1666666666667,1427.7142857142858,1504.25,1681.6666666666667,1770.8,1848.6,1920.1,1886.8,1930.7777777777778,1936.625,2025.142857142857,2113.1666666666665,2127.8,1884.5,1655,1471.5,1136,,,,,,,,
Seager,171,158,188,235,293,401,790,831,787,782,815,706,889,856,976,1101,994,,,,,1203,1217,1216,1321,1666,1580,1333,1446,1293,814,628,604,377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,463.6,528,582.8,652.9,715,783.3,853.3,873.7,878.4444444444445,889.875,905.2857142857143,920.3333333333334,1003.1666666666666,1057.8333333333333,1117.8333333333333,1175.3333333333333,1269.5,1367.1666666666667,1362.2857142857142,1372.75,1363.888888888889,1308.9,1251.4,1190.1,1106.2,1082.3333333333333,1009.375,927.8571428571429,860.3333333333334,743.2,605.75,536.3333333333334,490.5,377,,,,,,,,
Big Indian WA TOTALS,3207,3215,3465,3775,4028,3558,4316,4503,4665,4281,4300,4482,4105,3981,4012,4470,4054,,,9454,,4220,4215,4893,5252,6345,5100,5101,6002,8018,6511,5068,4482,1645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,3901.3,4010.6,4137.3,4201.3,4221.9,4220.3,4311.5,4285.3,4261.111111111111,4210.625,4857.25,4936.857142857143,4899.428571428572,4915.142857142857,5045.428571428572,5222.571428571428,5490.428571428572,5639.857142857143,5572.5,5620.222222222223,5460.666666666667,5565.7,5650.5,5677.2,5352.4,5363.555555555556,5240.875,5261,5287.666666666667,5144.8,4426.5,3731.6666666666665,3063.5,1645,,,,,,,,
Slide Mountain Wilderness Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denning,2076,1986,2214,1890,2028,1630,1773,2113,2021,1674,865,1482,1354,1280,1375,1227,1452,,,1586,,2078,2107,1988,2388,2568,2565,2075,2504,3533,2848,2641,2321,2336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1940.5,1819.4,1769,1683,1622,1556.7,1516.4,1484.3,1414.4444444444443,1338.625,1327.625,1393.7142857142858,1478.857142857143,1586.4285714285713,1687.5714285714287,1832.2857142857142,2023.857142857143,2182.8571428571427,2169.375,2206.5555555555557,2422.8888888888887,2465.4,2521.7,2543.1,2577.9,2599,2602.875,2608.285714285714,2697.1666666666665,2735.8,2536.5,2432.6666666666665,2328.5,2336,,,,,,,,
Fox Hollow,770,802,746,872,794,1021,997,866,956,712,574,783,629,697,502,632,643,,,804,,917,818,1084,927,1154,1237,1012,1010,1354,1320,879,976,558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,853.6,834,832.1,820.4,802.9,773.7,734.8,699.4,680.8888888888889,646.5,658,670,689.1428571428571,716.1428571428571,771.4285714285714,832.1428571428571,906.7142857142857,991.5714285714286,994.125,995.8888888888889,1057,1083.3,1079.5,1095.3,1042.7,1055.5555555555557,1043.25,1015.5714285714286,1016.1666666666666,1017.4,933.25,804.3333333333334,767,558,,,,,,,,
Giant Ledge,4760,4535,4439,4617,5516,5120,5444,5695,3944,5499,5093,5210,4848,5171,4206,4884,4815,,,6837,,6143,7004,8318,8540,10325,11456,8129,9093,8906,8435,6661,5962,2874,2596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,4956.9,4990.2,5057.7,5098.6,5154,5023,4999.4,4936.5,4852.222222222223,4965.75,5133,5138.714285714285,5272,5580,6029.571428571428,6648.714285714285,7426,8374.714285714286,8344,8427.222222222223,8657.111111111111,8634.9,8686.7,8582.5,8038.1,7443.7,7123.555555555556,6582,6361,5905.666666666667,5305.6,4523.25,3810.6666666666665,2735,2596,,,,,,,
Peekamoose,1352,1377,1622,1646,1682,1665,1876,1903,1504,1586,1705,1620,1353,1575,1550,1999,1638,,,1805,,2219,1944,2464,2866,3168,2814,2334,2713,3396,1813,1551,667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1621.3,1656.6,1680.9,1654,1646.9,1633.7,1667.1,1643.3,1614.4444444444443,1628.25,1655.625,1648.5714285714287,1734.142857142857,1818.5714285714287,1945.5714285714287,2133.5714285714284,2300.5714285714284,2468.5714285714284,2451.75,2480.777777777778,2657.5555555555557,2573.1,2506.3,2378.6,2369.1111111111113,2307,2184,2079,2028,1856.75,1343.6666666666667,1109,667,,,,,,,,,
Slide Mt,5637,5879,6024,6499,5896,5276,5873,6258,5568,5862,5399,4890,5119,4884,4614,4505,4789,,,5236,,5163,4992,5536,6330,6522,6665,4913,5702,7953,7556,6706,3960,4078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,5877.2,5853.4,5754.5,5664,5502.5,5374.3,5297.2,5188.8,5070,5007.75,4929.5,4862.428571428572,4901.428571428572,4883.285714285715,4976.428571428572,5221.571428571428,5509.714285714285,5777.714285714285,5669.625,5673.222222222223,5975.111111111111,6133.2,6287.5,6184.3,6038.5,6006.111111111111,5941.625,5838.285714285715,5992.5,6050.6,5575,4914.666666666667,4019,4078,,,,,,,,
Wittenberg,3109,3243,3594,3684,3894,3625,3742,3991,3191,2823,3240,3456,3028,3522,3101,3084,3692,,,3850,,3944,4106,4936,5074,5750,5788,5949,5418,5480,4675,3599,3983,3887,3773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,3489.6,3502.7,3524,3467.4,3451.2,3371.9,3317.8,3312.8,3237.4444444444443,3243.25,3371.625,3390.4285714285716,3460.1428571428573,3614.1428571428573,3816.1428571428573,4098,4478.857142857143,4778.285714285715,4924.625,4979.444444444444,5160.555555555556,5112,5077.5,5065.2,4960.3,4830.2,4728,4595.5,4402.142857142857,4232.833333333333,3983.4,3810.5,3881,3830,3773,,,,,,,
Woodland Valley,1789,1722,1899,2145,2471,2136,2191,2452,1738,1393,2237,1782,1473,1789,1499,1909,1529,,,,,1617,1656,1682,2079,2208,2095,1476,1530,1337,1193,1260,1022,648,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1993.6,2038.4,2044.4,2001.8,1966.2,1869,1846.3,1780.1,1705.4444444444443,1701.375,1745.4285714285713,1663.5,1636,1666.5,1648.6666666666667,1745.3333333333333,1795.1666666666667,1889.5,1830.4285714285713,1792.875,1742.2222222222222,1687.3,1651.6,1588.2,1484.8,1291.5,1189.6666666666667,1076.5,1019.4285714285714,934.3333333333334,853.8,769,605.3333333333334,397,146,,,,,,,
Lane Street,,,,,,,,,,,,,,,,,,,,,,,,776,604,760,591,563,623,788,654,545,514,405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,776,690,713.3333333333334,682.75,658.8,652.8333333333334,672.1428571428571,669.875,656,641.8,604.7,604.7777777777778,585.375,584.5714285714286,588.1666666666666,581.2,529.5,488,459.5,405,,,,,,,,
Slide Mt WA TOTALS,19493,19544,20538,21353,22281,20473,21896,23278,18922,19549,19113,19223,17804,18918,16847,18240,18558,,,20118,,22081,22627,26784,28808,32455,33211,26451,28593,32747,28494,23842,19405,14786,6515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,20732.7,20694.7,20662.6,20389.2,20145.7,19602.3,19379,19045.2,18574.88888888889,18531.5,18602.625,18529.714285714286,18938,19627,20750.714285714286,22459.428571428572,24490.14285714286,26583.428571428572,26566.875,26792,28195.222222222223,28225.1,28401.2,28079,26879.2,24649.9,23782.666666666668,22604.125,22054.571428571428,20964.833333333332,18608.4,16137,13568.666666666666,10650.5,6515,,,,,,,
WILDERNESS AREA TOTALS,22700,22759,24003,25128,26309,24031,26212,27781,23587,23830,23413,23705,21909,22899,20859,22710,22612,,,29572,,26301,26842,31677,34060,38800,38311,31552,34595,40765,35005,28910,23887,16431,6515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,24634,24705.3,24799.9,24590.5,24367.6,23822.6,23690.5,23330.5,22836,22742.125,23459.875,23466.571428571428,23837.428571428572,24542.14285714286,25796.14285714286,27682,29980.571428571428,32223.285714285714,32139.375,32412.222222222223,33655.88888888889,33790.8,34051.7,33756.2,32231.6,29477.1,28441.222222222223,27207.5,26586.85714285714,25252.166666666668,22149.6,18935.75,15611,11473,6515,,,,,,,
,,,,,,,,,Big Indian WA ,,10 Year Moving Average,,,,,,,,,10 Year Moving Average,,,,,,10 Year Moving Average ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Biscuit Brook,806.5,805.3,817.3,792.8,796.9,787.5,779.6,780.5,756,757.875,717.875,708.7142857142857,717.4285714285714,760.7142857142857,785.2857142857143,842.4285714285714,922.4285714285714,961,970.75,996.8888888888889,1139.111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
