Slide Mountain Wilderness Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WITTENBERG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,10 Year Rolling Averages,,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,10-YEAR-AVG-2016,10-YEAR-AVG-2017,10-YEAR-AVG-2018,10-YEAR-AVG 2019,10-YEAR-AVG-2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,
January,44,54,70,64,134,15,64,121,21,82,64,103,51,66,44,64,117,,,100,,194,58,103,77,193,169,75,73,141,251,43,216,57,103,,,,,,,,,,,,,,,,,,66.9,68.9,73.8,71.9,72.1,63.1,68,73.3,68,73.875,76.125,77.85714285714286,90.85714285714286,91.85714285714286,97.14285714285714,101.85714285714286,120.28571428571429,127.71428571428571,121.125,115.77777777777777,120.33333333333333,133.4,118.3,134.1,129.5,132.1,125.33333333333333,119.875,126.28571428571429,135.16666666666666,134,104.75,125.33333333333333,80,103,,,,,,,,,,,,,`
February,63,104,58,43,82,50,77,142,57,55,73,113,23,87,79,120,26,,,194,,105,94,126,57,123,152,62,136,167,136,128,123,140,55,,,,,,,,,,,,,,,,,,73.1,74.1,75,71.5,75.9,75.6,82.6,77.5,70.33333333333333,72,89.375,91.71428571428571,90.57142857142857,100.71428571428571,106.28571428571429,103.14285714285714,103.57142857142857,121.57142857142857,114.125,116.55555555555556,113.55555555555556,115.8,118.1,121,122.4,122.2,122.11111111111111,118.375,126.42857142857143,124.83333333333333,116.4,111.5,106,97.5,55,,,,,,,,,,,,,
March,113,98,46,85,96,101,91,114,76,99,69,183,89,81,77,67,62,,,113,,252,164,140,67,278,75,301,131,108,262,93,118,193,126,,,,,,,,,,,,,,,,,,91.9,87.5,96,100.3,99.9,98,94.6,91.7,89.22222222222223,90.875,92.625,96,105.85714285714286,116.57142857142857,125,123.57142857142857,153.71428571428572,155.57142857142858,173.75,169,168.44444444444446,177.8,161.9,157.3,162.6,168.5,156.33333333333334,166.5,147.28571428571428,150,158.4,132.5,145.66666666666666,159.5,126,,,,,,,,,,,,,
April,248,129,151,140,274,181,150,200,105,135,114,161,127,225,143,237,104,,,247,,248,220,215,192,395,326,164,212,116,286,181,146,215,47,,,,,,,,,,,,,,,,,,171.3,157.9,161.1,158.7,167.2,154.1,159.7,155.1,150.11111111111111,155.75,169.75,177.71428571428572,190.14285714285714,203.42857142857142,202,209,231.57142857142858,263.2857142857143,250.875,246.55555555555554,232,237.4,230.7,223.3,223.3,208.8,188.11111111111111,170.875,171.85714285714286,165.16666666666666,175,147.25,136,131,47,,,,,,,,,,,,,
May,495,423,610,606,613,421,576,600,468,376,286,411,307,457,376,393,442,,,458,,477,382,596,673,534,441,418,629,508,530,393,592,408,477,,,,,,,,,,,,,,,,,,518.8,497.9,496.7,466.4,451.5,427.8,425,411.6,390.6666666666667,381,391.25,406.2857142857143,415.7142857142857,426.42857142857144,446.2857142857143,488.7142857142857,508.85714285714283,508.7142857142857,497.375,512,517.5555555555555,518.8,510.4,531.4,512.6,493,488.44444444444446,494.375,505.2857142857143,484.6666666666667,480,467.5,492.3333333333333,442.5,477,,,,,,,,,,,,,
June,456,297,370,364,383,427,395,331,399,394,385,395,255,449,428,263,471,,,238,,480,624,695,554,840,686,751,952,545,596,424,469,469,532,,,,,,,,,,,,,,,,,,381.6,374.5,384.3,372.8,381.3,385.8,369.4,377,382.1111111111111,380,360.5,357,369.14285714285717,421.85714285714283,457,475,557.4285714285714,588.1428571428571,608.5,646.6666666666666,680.7777777777778,672.3,666.7,651.2,628.6,626.4,602.6666666666666,592.25,569.5714285714286,505.8333333333333,498,473.5,490,500.5,532,,,,,,,,,,,,,
July,384,534,570,254,528,565,568,466,332,358,485,579,459,609,488,505,503,,,567,,592,600,809,988,833,1046,783,771,542,609,469,585,520,587,,,,,,,,,,,,,,,,,,455.9,466,470.5,459.4,494.9,490.9,484.9,478.4,479.77777777777777,498.25,524.375,530,531.8571428571429,552,580.5714285714286,652,698.8571428571429,776.4285714285714,777.25,776.5555555555555,773.7777777777778,757.3,745,743.5,714.6,674.5,656.8888888888889,608.25,583.2857142857143,552,554,540.25,564,553.5,587,,,,,,,,,,,,,
August,472,532,587,543,739,672,660,614,506,222,325,533,510,427,452,427,693,,,660,,486,626,745,656,813,901,541,745,937,513,520,505,429,751,,,,,,,,,,,,,,,,,,554.7,540,540.1,532.4,520.8,492.1,467.6,470.9,455,448.625,503.375,528.8571428571429,522.1428571428571,538.7142857142857,584.1428571428571,613.2857142857143,668.4285714285714,698.1428571428571,678.5,685.8888888888889,716.6666666666666,696.3,699.7,687.6,656,665.5,649.1111111111111,617.625,628.5714285714286,609.1666666666666,543.6,551.25,561.6666666666666,590,751,,,,,,,,,,,,,
September,194,411,399,478,425,372,287,514,506,311,527,474,334,387,389,317,542,,,495,,478,570,579,710,655,800,747,653,813,621,439,410,414,506,,,,,,,,,,,,,,,,,,389.7,423,429.3,422.8,413.7,410.1,404.6,430.1,420.77777777777777,410.125,433.125,419.7142857142857,420.2857142857143,454,481.42857142857144,527.2857142857143,575.5714285714286,612.4285714285714,629.25,631.8888888888889,667.2222222222222,662.6,658.7,642.7,626.2,605.8,600.3333333333334,575.375,550.8571428571429,533.8333333333334,478,442.25,443.3333333333333,460,506,,,,,,,,,,,,,
