Belleayre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woodchuck Hollow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,10 Year Rolling Averages,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,10-YEAR-AVG-2016,10-YEAR-AVG-2017,10-YEAR-AVG-2018,10-YEAR-AVG 2019,10-YEAR-AVG-2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,
January,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,11,3,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,5.666666666666667,5,5,5,4.5,4.5,4.5,4.5,4.2,5.25,3.3333333333333335,3.5,2,2,,,,,,,,,,,,,,,`
February,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5,2,4,6,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,6.5,5,4.75,5,5,4.333333333333333,4.333333333333333,4.333333333333333,4.333333333333333,3.6,3.25,3.6666666666666665,3.5,1,1,,,,,,,,,,,,,,,
March,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,5,15,5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,3.6666666666666665,6.5,6.2,6.2,6.2,5.333333333333333,5.333333333333333,5.333333333333333,6,6.5,7,3,1,1,1,,,,,,,,,,,,,,
April,,,,,,,,,,,,,,,,,,,,,,,,,,,5,38,4,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,21.5,15.666666666666666,13.75,12.4,12.4,12.4,12.4,12.4,12.4,14.25,6.333333333333333,7.5,7,,,,,,,,,,,,,,,,,
May,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,19,28,8,2,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,8.333333333333334,13.25,12.2,10.5,9.857142857142858,8.75,8.75,8.75,9.285714285714286,10.666666666666666,9,4.25,3,3.5,1,,,,,,,,,,,,,,
June,,,,,,,,,,,,,,,,,,,,,,,,,,,4,12,36,11,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,8,17.333333333333332,15.75,13.8,12,12,12,12,12,13.6,14,6.666666666666667,4.5,3,,,,,,,,,,,,,,,,
July,,,,,,,,,,,,,,,,,,,,,,,,,,,16,8,13,30,6,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,12,12.333333333333334,16.75,14.6,14.6,14.6,13,13,13,12.4,13.5,13.666666666666666,5.5,5,5,5,,,,,,,,,,,,,,
August,,,,,,,,,,,,,,,,,,,,,,,,,,,32,14,18,6,,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,23,21.333333333333332,17.5,17.5,14.6,12.333333333333334,10.857142857142858,10.857142857142858,10.857142857142858,7.333333333333333,6,3,2,2,1.5,2,,,,,,,,,,,,,,
September,,,,,,,,,,,,,,,,,,,,,,,,,,,36,16,16,19,1,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,26,22.666666666666668,21.75,17.6,14.833333333333334,12.857142857142858,11.75,11.75,11.75,8.285714285714286,7,5.2,1.75,2,2.5,4,,,,,,,,,,,,,,
October,,,,,,,,,,,,,,,,,,,,,,,,,,,27,10,10,21,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,18.5,15.666666666666666,17,17,17,13.8,12.166666666666666,12.166666666666666,12.166666666666666,9.2,9,8.666666666666666,2.5,2.5,2.5,4,,,,,,,,,,,,,,
November,,,,,,,,,,,,,,,,,,,,,,,,,,5,9,8,4,11,2,3,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,7,7.333333333333333,6.5,7.4,6.5,6,5.875,5.666666666666667,5.666666666666667,5.75,5.285714285714286,4.833333333333333,5,3.5,4,4.5,4,,,,,,,,,,,,,,
December,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1.5,2,2.25,3.4,3.4,3.4,3.4,3.4,3.4,3.5,4.666666666666667,5.5,8,,,,,,,,,,,,,,,,,,
Yearly Totals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,150,119,141,164,46,12,17,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0.8,15.8,27.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
