Slide Mountain Wilderness Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOODLAND VALLEY - to Giant Ledge ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,10 Year Rolling Averages,,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,10-YEAR-AVG-2015,10-YEAR-AVG-2016,10-YEAR-AVG-2017,10-YEAR-AVG-2018,10-YEAR-AVG 2019,10-YEAR-AVG-2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046
January,27,40,24,5,35,6,19,14,21,37,17,16,18,7,27,26,27,,,,,79,21,23,28,47,79,12,21,24,23,15,18,13,15,,,,,,,,,,,,,,,,,,22.8,21.8,19.4,18.8,19,18.2,20.2,21,21.77777777777778,21.875,19.714285714285715,20.166666666666668,30.666666666666668,31.166666666666668,33.833333333333336,34,37.5,46.166666666666664,41.285714285714285,38.75,37.111111111111114,35.7,29.3,29,28,26.7,24.444444444444443,17.625,18.428571428571427,18,16.8,15.25,15.333333333333334,14,15,,,,,,,,,,,,
February,38,33,20,10,33,16,26,40,27,30,14,78,22,23,12,18,16,,,,,34,6,21,25,41,58,24,17,15,14,23,40,24,30,,,,,,,,,,,,,,,,,,27.3,24.9,29.4,29.6,30.9,28.8,29,28,26.666666666666668,26.625,26.142857142857142,28.166666666666668,20.833333333333332,18.166666666666668,17.833333333333332,20,23.833333333333332,30.833333333333332,29.857142857142858,28.25,26.77777777777778,25.5,24.4,27.8,28.1,28.6,27.22222222222222,23.375,23.285714285714285,24.333333333333332,26.2,29.25,31.333333333333332,27,30,,,,,,,,,,,,
March,67,27,14,15,65,51,40,45,40,30,22,57,31,28,16,30,15,,,,,72,47,16,27,112,39,37,24,36,31,18,19,42,41,,,,,,,,,,,,,,,,,,39.4,34.9,37.9,39.6,40.9,36,33.9,31.4,29.88888888888889,28.625,28.428571428571427,29.5,32,34.666666666666664,32.666666666666664,34.5,48.166666666666664,52.166666666666664,50,46.75,45.55555555555556,44.1,38.7,35.9,38.5,39.9,31.88888888888889,31,30.142857142857142,31.166666666666668,30.2,30,34,41.5,41,,,,,,,,,,,,
April,108,82,86,67,129,81,44,156,94,25,70,71,83,89,57,107,38,,,,,50,47,83,103,138,122,42,50,49,62,85,55,49,47,,,,,,,,,,,,,,,,,,87.2,83.4,82.3,82,84.2,77,79.6,79,70.44444444444444,67.5,73.57142857142857,74.16666666666667,70.66666666666667,64.66666666666667,63.666666666666664,71.33333333333333,76.5,90.5,83.57142857142857,79.375,76,74.6,78.1,78.9,75.5,69.9,62.333333333333336,54.875,56.714285714285715,57.833333333333336,59.6,59,50.333333333333336,48,47,,,,,,,,,,,,
May,285,200,234,299,376,274,193,306,197,34,207,200,167,249,187,170,186,,,,,200,99,238,262,280,168,159,143,99,119,157,108,99,13,,,,,,,,,,,,,,,,,,239.8,232,232,225.3,220.3,201.4,191,190.3,177.44444444444446,175,195.14285714285714,193.16666666666666,193.16666666666666,181.83333333333334,180,192.5,210.83333333333334,207.83333333333334,200.85714285714286,193.625,183.11111111111111,176.7,172.4,173.3,159.4,134.5,118.33333333333333,112.125,105.42857142857143,99.16666666666667,99.2,94.25,73.33333333333333,56,13,,,,,,,,,,,,
June,223,132,190,182,226,191,324,227,201,40,194,279,129,182,179,186,161,,,,,177,256,240,237,311,283,252,231,125,183,165,119,70,,,,,,,,,,,,,,,,,,,193.6,190.7,205.4,199.3,199.3,194.6,194.1,177.8,172.33333333333334,168.75,187.14285714285714,186,169,190.16666666666666,199.83333333333334,209.5,230.33333333333334,250.66666666666666,250.85714285714286,248.375,234.66666666666666,229.5,228.3,214.6,197.6,193.22222222222223,178.5,163.57142857142858,148.83333333333334,132.4,134.25,118,94.5,70,,,,,,,,,,,,,
July,144,260,390,343,473,413,411,432,321,34,505,321,257,271,313,446,325,,,,,293,506,290,302,267,389,260,324,176,210,221,186,12,,,,,,,,,,,,,,,,,,,322.1,358.2,364.3,351,343.8,327.8,331.1,322.5,310.3333333333333,309,348.2857142857143,322.1666666666667,317.5,359,362.1666666666667,360.3333333333333,330.5,341.1666666666667,329.57142857142856,328.875,311.8888888888889,301.7,294.5,262.5,234.7,227.22222222222223,222.25,198.42857142857142,188.16666666666666,161,157.25,139.66666666666666,99,12,,,,,,,,,,,,,
August,306,320,395,379,481,431,517,445,372,243,392,273,236,326,228,322,242,,,,,315,168,318,363,253,341,245,322,234,133,186,153,9,,,,,,,,,,,,,,,,,,,388.9,397.5,392.8,376.9,371.6,346.3,335.4,307.9,292.6666666666667,282.75,288.42857142857144,271.1666666666667,278.1666666666667,266.8333333333333,265.5,288,276.5,293,286.14285714285717,290.625,284.3333333333333,269.2,256.3,254.8,223.9,208.44444444444446,202.875,183.14285714285714,172.83333333333334,143,120.25,116,81,9,,,,,,,,,,,,,
September,282,259,182,284,349,222,130,376,187,490,332,203,192,252,251,213,262,,,,,221,268,163,301,346,237,241,182,240,157,141,139,35,,,,,,,,,,,,,,,,,,,276.1,281.1,275.5,276.5,273.3,263.5,262.6,275.8,264.6666666666667,274.375,243.57142857142858,228.83333333333334,231.83333333333334,244.5,229.66666666666666,238,260.1666666666667,256,253.85714285714286,244.875,244.33333333333334,235.6,227.6,214.7,201.9,190.88888888888889,171.5,162.14285714285714,149,142.4,118,105,87,35,,,,,,,,,,,,,
October,243,293,299,387,217,361,427,279,171,336,297,183,210,259,121,276,163,,,,,114,166,178,264,264,272,158,154,238,166,169,113,182,,,,,,,,,,,,,,,,,,,301.3,306.7,295.7,286.8,274,264.4,255.9,229.5,224,230.625,215.57142857142858,202,190.5,183.16666666666666,169.66666666666666,193.5,191.5,209.66666666666666,202.28571428571428,196.25,200.88888888888889,197.4,202.9,197.6,198,190.66666666666666,181.5,168.57142857142858,170.33333333333334,173.6,157.5,154.66666666666666,147.5,182,,,,,,,,,,,,,
November,51,58,51,106,78,68,36,99,81,67,136,77,68,79,81,64,74,,,,,37,61,63,121,107,75,31,40,81,44,50,47,88,,,,,,,,,,,,,,,,,,,69.5,78,79.9,81.6,78.9,79.2,78.8,82.6,80.77777777777777,80.75,82.71428571428571,73.83333333333333,67.16666666666667,66,63.333333333333336,70,77.16666666666667,77.33333333333333,70.71428571428571,66.875,68.44444444444444,66,67.3,65.9,68.4,62.55555555555556,57,54.42857142857143,58.333333333333336,62,57.25,61.666666666666664,67.5,88,,,,,,,,,,,,,
December,15,18,14,68,9,22,24,33,26,27,51,24,60,24,27,51,20,,,,,25,11,49,46,42,32,15,22,20,51,30,25,25,,,,,,,,,,,,,,,,,,,25.6,29.2,29.8,34.4,30,31.8,34.7,34.3,34.44444444444444,35.5,36.714285714285715,34.333333333333336,34.5,26.333333333333332,30.5,33.666666666666664,32.166666666666664,34.166666666666664,31.428571428571427,30.25,29.11111111111111,31.3,31.8,33.2,30.8,29.11111111111111,27.5,26.857142857142858,28.833333333333332,30.2,32.75,26.666666666666668,25,25,,,,,,,,,,,,,
Yearly Totals,1789,1722,1899,2145,2471,2136,2191,2452,1738,1393,2237,1782,1473,1789,1499,1909,1529,0,0,0,0,1617,1656,1682,2079,2208,2095,1476,1530,1337,1193,1260,1022,648,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1047.2,1077.1,1133.7,1281.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
