Region 3 Catskill Forest Preserve Trail Head Tally - Annual/Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10 Year Moving Average ,,,,,,,,,,,,,,,,,,,,,,,,,
,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,10 YEAR MOVING AVERAGES ---------------------------------,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041
January,863,1054,1242,735,1410,477,1035,1855,1066,1830,1304,1694,1287,1149,1124,1539,1764,,,1559,,2493,1862,1806,2333,2974.0333333333333,3141,2260,2005.3333333333335,3229.5555555555557,4363.333333333334,1794,3346,1411,922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1156.7,1200.8,1264.8,1269.3,1310.7,1282.1,1388.3,1461.2,1417.4444444444443,1461.375,1427.5,1445.142857142857,1559.2857142857142,1641.4285714285713,1735.2857142857142,1908,2113.004761904762,2309.7190476190476,2303.5041666666666,2270.374074074074,2455.991358024691,2646.7255555555553,2576.825555555556,2725.2255555555557,2685.7255555555557,2544.625555555556,2496.913580246914,2416.402777777778,2438.746031746032,2510.9814814814818,2367.266666666667,1868.25,1893,1166.5,922,,,,,,,
February,1463,1261,979,829,1206,930,1491,1942,1665,1299,1226,2165,1236,1647,1615,1432,1271,,,1517,,2518,1536,1720,1427,2547.133333333333,3060,2815,2180,3528.555555555555,2810.6666666666665,2734,2788,2233,617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1306.5,1282.8,1373.2,1398.9,1480.7,1521.6,1571.8,1549.8,1506.2222222222222,1486.375,1513.625,1554.7142857142858,1605.142857142857,1648,1658.4285714285713,1631.5714285714287,1790.8761904761905,2046.4476190476191,2142.5166666666664,2146.681481481481,2370.1876543209873,2414.2355555555555,2435.835555555556,2561.0355555555557,2612.3355555555554,2531.3355555555554,2529.5802469135797,2463.2777777777774,2413.0317460317456,2451.8703703703704,2236.5333333333333,2093,1879.3333333333333,1425,617,,,,,,,
March,1660,1209,493,915,1864,1402,1435,1656,1824,1951,1265,2391,1513,1487,1512,1788,1423,,,1858,,3220,2679,1916,1974,3713.233333333333,1945,3122,2785,4599.888888888889,3932.6666666666665,2571,2406,2075,1178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1440.9,1401.4,1519.6,1621.6,1678.8,1643.6,1682.2,1681,1683.7777777777778,1666.25,1654.625,1710.2857142857142,1828.7142857142858,1995.2857142857142,2056.5714285714284,2122.5714285714284,2397.6047619047617,2472.1761904761906,2553.4041666666667,2579.137037037037,2883.7913580246914,2988.6788888888887,2923.778888888889,2896.478888888889,2912.378888888889,2832.778888888889,2734.9506172839506,2833.6944444444443,2792.5079365079364,2793.759259259259,2432.5333333333333,2057.5,1886.3333333333333,1626.5,1178,,,,,,,
April,2695,1762,1507,1985,3210,2169,2231,2982,2831,2209,2235,2497,2251,2685,2074,3516,2396,,,3913,,3992,3469,3562,4018,5820.066666666667,6402,4236,3596,3619,4663,4577,3730,2134,1273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2358.1,2312.1,2385.6,2460,2530,2416.4,2551.1,2567.6,2521.5555555555557,2482.875,2695.875,2761.714285714286,2975.285714285714,3149.285714285714,3274.5714285714284,3552.285714285714,3881.4380952380952,4453.723809523809,4426.508333333333,4334.22962962963,4301.562962962963,4337.706666666667,4396.206666666667,4422.306666666666,4279.506666666666,4005.0066666666667,3803.3333333333335,3478.5,3370.285714285714,3332.6666666666665,3275.4,2928.5,2379,1703.5,1273,,,,,,,
May,4517,4516,5182,5005,5073,4349,5160,5295,5911,4369,3913,4454,3735,4767,4566,3986,5030,,,5793,,4898,4841,6776,8241,6970.416666666663,7138,6602,7879,7625.666666666667,6402.333333333334,6115,6493,3199,2070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,4937.7,4877.3,4871.1,4726.4,4702.6,4651.9,4615.6,4602.6,4525.666666666667,4352.5,4530.5,4618.714285714285,4682.142857142857,4840.142857142857,5127.142857142857,5652.142857142857,6078.4880952380945,6379.630952380952,6407.427083333333,6570.935185185185,6774.564814814814,6737.341666666665,6859.041666666666,7024.241666666666,6666.541666666666,6049.441666666667,5947.111111111111,5798.25,5683.428571428572,5317.5,4855.866666666667,4469.25,3920.6666666666665,2634.5,2070,,,,,,,
June,3983,3021,3469,3751,3890,4108,4452,3611,4398,3597,4011,4970,3812,4248,3746,3277,4726,,,5043,,4978,4965,7120,6022,8235.5,7841,7989,8776,8160.000000000001,6746,6437,5385,3767,2406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,3828,3830.8,4025.7,4060,4109.7,4095.3,4012.2,4039.6,4087.222222222222,4048.375,4229.125,4260.285714285715,4261.428571428572,4426.142857142857,4836.428571428572,5161.571428571428,5869.928571428572,6314.928571428572,6524.1875,6774.388888888889,7120.722222222223,7083.25,7229.15,7271.15,6935.85,6574.25,6389.666666666667,6208.25,5953.857142857143,5483.5,4948.2,4498.75,3852.6666666666665,3086.5,2406,,,,,,,
July,4611,5053,6043,5680,6199,6210,6808,6819,5820,6089,7265,7208,6321,6394,6364,6073,6841,,,7180,,6434,6862,9073,8795,10782.250000000002,12931,10907,10540,9781,7864.333333333334,8355,6757,4888,2625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,5933.2,6198.6,6414.1,6441.9,6513.3,6529.8,6516.1,6519.4,6486.111111111111,6569.375,6705.75,6625.857142857143,6515.285714285715,6592.571428571428,6975.285714285715,7322.571428571428,7995.321428571428,8865.32142857143,9120.53125,9278.25,9567.25,9396.958333333332,9589.058333333332,9578.558333333332,9160.058333333332,8543.058333333334,8294.259259259261,7714.666666666667,7258.619047619048,6711.722222222223,6097.866666666667,5656.25,4756.666666666667,3756.5,2625,,,,,,,
August,5360,5857,6279,7133,6875,6898,8073,7744,6059,5810,5675,6326,6812,5774,5595,6340,6968,,,7456,,7194,8201,10417,10180,10614.8,11436,9661,12405,10916.333333333334,6615,7435,6785,5435,1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,6608.8,6640.3,6687.2,6740.5,6604.6,6476.6,6420.8,6310.3,6151,6162.5,6368.25,6467.285714285715,6591.285714285715,6789.714285714285,7453,8108,8718.685714285715,9356.971428571429,9394.975,9729.422222222223,10113.903703703703,9764.013333333332,9788.113333333333,9646.513333333332,9148.313333333334,8327.913333333334,8073.814814814816,7653.541666666667,7366.7619047619055,6527.055555555556,5649.2,5407.75,4732,3705.5,1976,,,,,,,
September,4330,3936,4238,6150,5217,3864,3775,5648,4941,4506,5422,4402,3415,5060,5117,4653,6257,,,6576,,5673,5803,6647,8356,8082.733333333334,9575,8788,10536,11035.333333333332,6175.666666666666,5874,4170,3832,648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,4660.5,4769.7,4816.3,4734,4625,4615,4693.9,4942.1,4863.666666666667,4854,5112.75,5068.571428571428,5250.142857142857,5591.285714285715,5818,6280.714285714285,6770.676190476191,7244.676190476191,7437.591666666667,7781.8592592592595,8277.340740740741,8067.173333333334,8087.2733333333335,7923.973333333333,7642.473333333333,6871.673333333334,6737.11111111111,6382.375,6038.714285714285,5289.166666666667,4139.9333333333325,3631,2883.3333333333335,2240,648,,,,,,,
