evaluation,model,n_train,n_test,n_candidate_edges,n_selected_edges,R2,MAE,RMSE,bias
Ashokan High Point Trail,Seasonal historical baseline,43,15,100.0,0.0,0.5255174395741993,40.988888888888894,49.45084540340146,16.055555555555557
Ashokan High Point Trail,Mean of top 10 edges,43,15,100.0,10.0,0.48147725020976917,42.18188523391215,51.69487637400187,23.197627070557907
Ashokan High Point Trail,Best single statewide edge,43,15,100.0,1.0,0.2867858448506563,50.86278634407812,60.628045844872794,22.691238333099598
Ashokan High Point Trail,Ridge screened statewide edges,43,15,100.0,100.0,0.2517407887247022,48.73909973212112,62.09971817548075,33.63809203077067
Ashokan High Point Trail,Elastic Net selected statewide edges,43,15,100.0,95.0,0.1659262611354302,53.19956998049885,65.56405668021027,39.186637560879234
Ashokan High Point Trail,Existing 30 m trail-buffer edge model,43,15,,,0.10584715030939107,56.43374014204793,67.88432059557489,5.374903375314035
Ashokan High Point Trail,Historical mean baseline,43,15,100.0,0.0,-0.01632888470687721,61.76899224806201,72.3736919673512,9.173643410852703
Pine Hill West Branch Trail,Elastic Net selected statewide edges,24,8,100.0,95.0,0.41829213327456893,25.891237948429463,29.157607021482704,16.88840962480218
Pine Hill West Branch Trail,Ridge screened statewide edges,24,8,100.0,100.0,0.050725270574998094,31.312726982406005,37.24734912788614,23.471159603920455
Pine Hill West Branch Trail,Mean of top 10 edges,24,8,100.0,10.0,-0.17392821877663311,38.112389746641874,41.42096198474933,16.219102287386782
Pine Hill West Branch Trail,Best single statewide edge,24,8,100.0,1.0,-0.4637807894618806,37.85049019607843,46.252736392548044,26.45833333333333
Pine Hill West Branch Trail,Historical mean baseline,24,8,100.0,0.0,-0.4789896700497964,40.479166666666664,46.492401559585815,26.45833333333333
Pine Hill West Branch Trail,Existing 30 m trail-buffer edge model,24,8,,,-0.4951183771977208,42.609829444041544,46.74521909537348,23.272221035621207
Pine Hill West Branch Trail,Seasonal historical baseline,24,8,100.0,0.0,-0.5534981183715362,39.625,47.649108071400455,31.75
Vernooy Falls Trail,Seasonal historical baseline,24,9,100.0,0.0,0.27196545735237365,80.11111111111111,91.56266827819198,79.0
Vernooy Falls Trail,Mean of top 10 edges,24,9,100.0,10.0,-0.07139023156608193,96.70054457600155,111.0749914844865,86.063753003977
Vernooy Falls Trail,Historical mean baseline,24,9,100.0,0.0,-0.17196304515631033,95.05555555555556,116.1714489689939,44.5
Vernooy Falls Trail,Existing 30 m trail-buffer edge model,24,9,,,-0.23350548219617506,92.13980674184796,119.18263677361898,57.38487644936765
Vernooy Falls Trail,Best single statewide edge,24,9,100.0,1.0,-1.3955538795989257,142.14285714285714,166.09073961798134,130.015873015873
Vernooy Falls Trail,Ridge screened statewide edges,24,9,100.0,100.0,-1.6402431564302988,154.72148077677835,174.3670460495574,154.21581305639012
Vernooy Falls Trail,Elastic Net selected statewide edges,24,9,100.0,98.0,-2.304802337571954,161.022942931667,195.0810983115476,156.3338321351425
