location,trail_name,n_test_months,R2,MAE,RMSE,bias
Kelly Hollow,Kelly Hollow,11,0.7929755527628615,20.335283281108108,26.289932052086666,12.521083065240477
Red Hill Dinch Road,Red Hill Dinch Road,9,0.6825318716017725,36.154958846498374,44.179468175490534,15.383068967494252
Seager,Seager,11,0.6756919448448951,8.619283234675338,11.377602489639097,1.9712856960978704
Lane Street,Lane Street,11,0.6373979462002671,10.143669478924602,12.187001268599506,-1.3022470174709682
Wittenberg,Wittenberg,14,0.598550867351073,117.58452921813627,149.16574184225394,-52.507740926055874
Biscuit Brook,Pine Hill West Branch Trail,8,0.5975042794111057,20.748088443535153,24.25381404316997,8.897767088162857
Upper Cherrytown Road,Vernooy Falls Trail,8,0.5874618054662417,60.722953207103686,71.80492654858675,49.11964979492912
Alder Lake,Alder Lake,11,0.572286618864307,38.30991151018417,65.18091166951261,9.050174692354355
Rochester Hollow,Rochester Hollow,11,0.5117930973736667,37.068424740021186,41.169175905555825,-2.9909138212696926
Overlook,Overlook,14,0.49291458523825915,180.69019285523746,249.3364060680151,52.537779503470645
Denning,Denning,11,0.48683562318538176,49.090061592156054,60.86010692893493,-0.09210586411922929
Millbrook to BLM FT,Millbrook to BLM FT,14,0.45723591663631724,60.3613670373575,89.55226375997196,11.282534639333077
McKenley Hollow,McKenley Hollow,9,0.42693988594202825,29.427476593775378,36.013855096147616,6.3736331137948055
Frick Pond,Frick Pond,11,0.40780518780501973,33.40973757750285,53.290272022940755,7.1290507918651205
Ashokan HP,Ashokan High Point Trail,14,0.3813098246807428,46.17332484670856,56.41436112225844,4.673754681616899
Dry Brook Ridge to Lean-to,Dry Brook Ridge to Lean-to,11,0.33621017449994905,6.222255047481227,8.55269206722891,-1.6425964691101533
Neversink Hardenburgh Trail,Neversink Hardenburgh Trail,11,0.300418326728891,6.390796124396567,9.204593643023054,-2.340734753688093
Beaverkill Road to BLM FT,Beaverkill Road to BLM FT,11,0.0584910378490483,35.90545785234387,66.06537096558934,13.6017116302256
Woodchuck Hollow,Woodchuck Hollow,7,0.03575821178057148,1.3504640459085369,1.4845811632294938,0.09088148527873637
Fox Hollow,Fox Hollow,11,-0.01852463487600642,20.20268010916405,26.174191279160585,7.413009814431575
Hardenburgh- MH Trail,Hardenburgh- MH Trail,11,-0.04342589549503484,5.691208185993675,7.721520126882839,-3.4465212410386767
Rider Hollow,Rider Hollow,10,-0.10352643012343021,27.242301625859206,32.9565600993897,15.110622936065061
Giant Ledge,Giant Ledge,12,-0.16197637506836626,214.0128370834669,348.87273284133556,-16.504007432285402
Slide Mt,Slide Mt,9,-0.22600700920824845,135.1349649751536,164.79425062170978,-57.3727510444017
Flynn,Flynn,11,-0.2779444516815004,18.65930656038118,24.241353454079437,8.81584797321046
Mt Tremper,Mt Tremper,9,-0.2780485659183711,119.81770700036564,188.09894334655831,2.428059428412957
Cathedral Glen,Cathedral Glen,9,-0.3069411578557131,9.35671001982974,11.08388329235007,-5.727250499286669
Peekamoose,Peekamoose,7,-0.38746493035006035,54.51928458809956,70.79451331674157,5.629521202387116
Woodland Valley,Woodland Valley,13,-0.420558195733584,39.52838346673827,56.009492174884066,9.142430140895055
Onteora Lake,Onteora Lake,5,-1.1868010383469638,89.09290003262765,102.76854720584745,-30.23103666383065
Bangle Hill,Bangle Hill,4,-2.03441950449141,7.615363751512744,9.330054101402485,-3.0115340556045513
