location,start_date,visitation_count,month,year,month_sin,month_cos,time_index,visitation_lag1,visitation_lag2,visitation_lag3,historical_mean,historical_median,historical_std,rolling_3_mean,rolling_6_mean,rolling_12_mean,prior_observation_count,seasonal_lag1,seasonal_historical_mean,statewide_reported_edges,statewide_total_trips,statewide_mean_edge_trips,statewide_median_edge_trips,statewide_edge_trips_std,statewide_edge_trips_q25,statewide_edge_trips_q75,statewide_edge_trips_q90,statewide_edge_trips_q95,statewide_edge_trips_q99,statewide_people_count,statewide_commute_trip_count,statewide_leisure_trip_count,statewide_morning_trip_count,statewide_midday_trip_count,statewide_evening_trip_count,statewide_overnight_trip_count,log_statewide_reported_edges,log_statewide_total_trips,log_statewide_mean_edge_trips,log_statewide_median_edge_trips,log_statewide_people_count,log_statewide_commute_trip_count,log_statewide_leisure_trip_count,log_statewide_morning_trip_count,log_statewide_midday_trip_count,log_statewide_evening_trip_count,log_statewide_overnight_trip_count,log_visitation
Alder Lake,2021-04-01,209,4,2021,0.8660254037844387,-0.49999999999999983,3,85.0,36.0,90.0,70.33333333333333,85.0,29.83845393671283,70.33333333333333,70.33333333333333,70.33333333333333,3,,,454077,41353460.0,91.07147025724711,15.0,498.0104321570121,5.0,60.0,170.0,305.0,1010.0,40359175.0,1685640.0,40654405.0,10088575.0,9505315.0,11523235.0,676770.0,13.026024268433897,17.537666676052233,4.522565126079032,2.772588722239781,17.51332933698755,14.337656464859261,17.52061777676835,16.126914252538523,16.06736177901222,16.259876076563998,13.425088237656356,5.3471075307174685
Ashokan HP,2021-04-01,135,4,2021,0.8660254037844387,-0.49999999999999983,3,112.0,71.0,112.0,98.33333333333333,112.0,23.671361036774655,98.33333333333333,98.33333333333333,98.33333333333333,3,,,454077,41353460.0,91.07147025724711,15.0,498.0104321570121,5.0,60.0,170.0,305.0,1010.0,40359175.0,1685640.0,40654405.0,10088575.0,9505315.0,11523235.0,676770.0,13.026024268433897,17.537666676052233,4.522565126079032,2.772588722239781,17.51332933698755,14.337656464859261,17.52061777676835,16.126914252538523,16.06736177901222,16.259876076563998,13.425088237656356,4.912654885736052
Beaverkill Road to BLM FT,2021-04-01,152,4,2021,0.8660254037844387,-0.49999999999999983,3,105.0,73.0,119.0,99.0,105.0,23.57965224510319,99.0,99.0,99.0,3,,,454077,41353460.0,91.07147025724711,15.0,498.0104321570121,5.0,60.0,170.0,305.0,1010.0,40359175.0,1685640.0,40654405.0,10088575.0,9505315.0,11523235.0,676770.0,13.026024268433897,17.537666676052233,4.522565126079032,2.772588722239781,17.51332933698755,14.337656464859261,17.52061777676835,16.126914252538523,16.06736177901222,16.259876076563998,13.425088237656356,5.030437921392435
Biscuit Brook,2021-04-01,141,4,2021,0.8660254037844387,-0.49999999999999983,3,199.0,131.0,103.0,144.33333333333334,131.0,49.36935621752964,144.33333333333334,144.33333333333334,144.33333333333334,3,,,454077,41353460.0,91.07147025724711,15.0,498.0104321570121,5.0,60.0,170.0,305.0,1010.0,40359175.0,1685640.0,40654405.0,10088575.0,9505315.0,11523235.0,676770.0,13.026024268433897,17.537666676052233,4.522565126079032,2.772588722239781,17.51332933698755,14.337656464859261,17.52061777676835,16.126914252538523,16.06736177901222,16.259876076563998,13.425088237656356,4.955827057601261
Denning,2021-04-01,224,4,2021,0.8660254037844387,-0.49999999999999983,3,164.0,94.0,123.0,127.0,123.0,35.17101079013795,127.0,127.0,127.0,3,,,454077,41353460.0,91.07147025724711,15.0,498.0104321570121,5.0,60.0,170.0,305.0,1010.0,40359175.0,1685640.0,40654405.0,10088575.0,9505315.0,11523235.0,676770.0,13.026024268433897,17.537666676052233,4.522565126079032,2.772588722239781,17.51332933698755,14.337656464859261,17.52061777676835,16.126914252538523,16.06736177901222,16.259876076563998,13.425088237656356,5.41610040220442
Dry Brook Ridge to Lean-to,2021-04-01,43,4,2021,0.8660254037844387,-0.49999999999999983,3,13.0,7.0,15.0,11.666666666666666,13.0,4.163331998932266,11.666666666666666,11.666666666666666,11.666666666666666,3,,,454077,41353460.0,91.07147025724711,15.0,498.0104321570121,5.0,60.0,170.0,305.0,1010.0,40359175.0,1685640.0,40654405.0,10088575.0,9505315.0,11523235.0,676770.0,13.026024268433897,17.537666676052233,4.522565126079032,2.772588722239781,17.51332933698755,14.337656464859261,17.52061777676835,16.126914252538523,16.06736177901222,16.259876076563998,13.425088237656356,3.784189633918261
Flynn,2021-04-01,43,4,2021,0.8660254037844387,-0.49999999999999983,3,45.0,30.0,44.0,39.666666666666664,44.0,8.386497083606084,39.666666666666664,39.666666666666664,39.666666666666664,3,,,454077,41353460.0,91.07147025724711,15.0,498.0104321570121,5.0,60.0,170.0,305.0,1010.0,40359175.0,1685640.0,40654405.0,10088575.0,9505315.0,11523235.0,676770.0,13.026024268433897,17.537666676052233,4.522565126079032,2.772588722239781,17.51332933698755,14.337656464859261,17.52061777676835,16.126914252538523,16.06736177901222,16.259876076563998,13.425088237656356,3.784189633918261
Fox Hollow,2021-04-01,117,4,2021,0.8660254037844387,-0.49999999999999983,3,106.0,47.0,123.0,92.0,106.0,39.88734135035826,92.0,92.0,92.0,3,,,454077,41353460.0,91.07147025724711,15.0,498.0104321570121,5.0,60.0,170.0,305.0,1010.0,40359175.0,1685640.0,40654405.0,10088575.0,9505315.0,11523235.0,676770.0,13.026024268433897,17.537666676052233,4.522565126079032,2.772588722239781,17.51332933698755,14.337656464859261,17.52061777676835,16.126914252538523,16.06736177901222,16.259876076563998,13.425088237656356,4.770684624465665
Frick Pond,2021-04-01,110,4,2021,0.8660254037844387,-0.49999999999999983,3,150.0,150.0,111.0,137.0,150.0,22.516660498395403,137.0,137.0,137.0,3,,,454077,41353460.0,91.07147025724711,15.0,498.0104321570121,5.0,60.0,170.0,305.0,1010.0,40359175.0,1685640.0,40654405.0,10088575.0,9505315.0,11523235.0,676770.0,13.026024268433897,17.537666676052233,4.522565126079032,2.772588722239781,17.51332933698755,14.337656464859261,17.52061777676835,16.126914252538523,16.06736177901222,16.259876076563998,13.425088237656356,4.709530201312334
Giant Ledge,2021-04-01,604,4,2021,0.8660254037844387,-0.49999999999999983,3,548.0,349.0,532.0,476.3333333333333,532.0,110.56370712549997,476.3333333333333,476.3333333333333,476.3333333333333,3,,,454077,41353460.0,91.07147025724711,15.0,498.0104321570121,5.0,60.0,170.0,305.0,1010.0,40359175.0,1685640.0,40654405.0,10088575.0,9505315.0,11523235.0,676770.0,13.026024268433897,17.537666676052233,4.522565126079032,2.772588722239781,17.51332933698755,14.337656464859261,17.52061777676835,16.126914252538523,16.06736177901222,16.259876076563998,13.425088237656356,6.405228458030842
Hardenburgh- MH Trail,2021-04-01,11,4,2021,0.8660254037844387,-0.49999999999999983,3,2.0,1.0,10.0,4.333333333333333,2.0,4.932882862316247,4.333333333333333,4.333333333333333,4.333333333333333,3,,,454077,41353460.0,91.07147025724711,15.0,498.0104321570121,5.0,60.0,170.0,305.0,1010.0,40359175.0,1685640.0,40654405.0,10088575.0,9505315.0,11523235.0,676770.0,13.026024268433897,17.537666676052233,4.522565126079032,2.772588722239781,17.51332933698755,14.337656464859261,17.52061777676835,16.126914252538523,16.06736177901222,16.259876076563998,13.425088237656356,2.4849066497880004
Kelly Hollow,2021-04-01,229,4,2021,0.8660254037844387,-0.49999999999999983,3,200.0,79.0,108.0,129.0,108.0,63.17436188834834,129.0,129.0,129.0,3,,,454077,41353460.0,91.07147025724711,15.0,498.0104321570121,5.0,60.0,170.0,305.0,1010.0,40359175.0,1685640.0,40654405.0,10088575.0,9505315.0,11523235.0,676770.0,13.026024268433897,17.537666676052233,4.522565126079032,2.772588722239781,17.51332933698755,14.337656464859261,17.52061777676835,16.126914252538523,16.06736177901222,16.259876076563998,13.425088237656356,5.438079308923196
Lane Street,2021-04-01,58,4,2021,0.8660254037844387,-0.49999999999999983,3,49.0,25.0,53.0,42.333333333333336,49.0,15.14375558880073,42.333333333333336,42.333333333333336,42.333333333333336,3,,,454077,41353460.0,91.07147025724711,15.0,498.0104321570121,5.0,60.0,170.0,305.0,1010.0,40359175.0,1685640.0,40654405.0,10088575.0,9505315.0,11523235.0,676770.0,13.026024268433897,17.537666676052233,4.522565126079032,2.772588722239781,17.51332933698755,14.337656464859261,17.52061777676835,16.126914252538523,16.06736177901222,16.259876076563998,13.425088237656356,4.07753744390572
Long Pond,2021-04-01,41,4,2021,0.8660254037844387,-0.49999999999999983,3,18.0,30.0,24.0,24.0,24.0,6.0,24.0,24.0,24.0,3,,,454077,41353460.0,91.07147025724711,15.0,498.0104321570121,5.0,60.0,170.0,305.0,1010.0,40359175.0,1685640.0,40654405.0,10088575.0,9505315.0,11523235.0,676770.0,13.026024268433897,17.537666676052233,4.522565126079032,2.772588722239781,17.51332933698755,14.337656464859261,17.52061777676835,16.126914252538523,16.06736177901222,16.259876076563998,13.425088237656356,3.7376696182833684
McKenley Hollow,2021-04-01,98,4,2021,0.8660254037844387,-0.49999999999999983,3,141.0,109.0,216.0,155.33333333333334,141.0,54.92115560813823,155.33333333333334,155.33333333333334,155.33333333333334,3,,,454077,41353460.0,91.07147025724711,15.0,498.0104321570121,5.0,60.0,170.0,305.0,1010.0,40359175.0,1685640.0,40654405.0,10088575.0,9505315.0,11523235.0,676770.0,13.026024268433897,17.537666676052233,4.522565126079032,2.772588722239781,17.51332933698755,14.337656464859261,17.52061777676835,16.126914252538523,16.06736177901222,16.259876076563998,13.425088237656356,4.59511985013459
Millbrook to BLM FT,2021-04-01,200,4,2021,0.8660254037844387,-0.49999999999999983,3,174.0,106.0,185.0,155.0,174.0,42.790185790669334,155.0,155.0,155.0,3,,,454077,41353460.0,91.07147025724711,15.0,498.0104321570121,5.0,60.0,170.0,305.0,1010.0,40359175.0,1685640.0,40654405.0,10088575.0,9505315.0,11523235.0,676770.0,13.026024268433897,17.537666676052233,4.522565126079032,2.772588722239781,17.51332933698755,14.337656464859261,17.52061777676835,16.126914252538523,16.06736177901222,16.259876076563998,13.425088237656356,5.303304908059076
Neversink Hardenburgh Trail,2021-04-01,8,4,2021,0.8660254037844387,-0.49999999999999983,3,11.0,0.0,7.0,6.0,7.0,5.5677643628300215,6.0,6.0,6.0,3,,,454077,41353460.0,91.07147025724711,15.0,498.0104321570121,5.0,60.0,170.0,305.0,1010.0,40359175.0,1685640.0,40654405.0,10088575.0,9505315.0,11523235.0,676770.0,13.026024268433897,17.537666676052233,4.522565126079032,2.772588722239781,17.51332933698755,14.337656464859261,17.52061777676835,16.126914252538523,16.06736177901222,16.259876076563998,13.425088237656356,2.1972245773362196
Overlook,2021-04-01,569,4,2021,0.8660254037844387,-0.49999999999999983,3,387.0,326.0,409.0,374.0,387.0,43.0,374.0,374.0,374.0,3,,,454077,41353460.0,91.07147025724711,15.0,498.0104321570121,5.0,60.0,170.0,305.0,1010.0,40359175.0,1685640.0,40654405.0,10088575.0,9505315.0,11523235.0,676770.0,13.026024268433897,17.537666676052233,4.522565126079032,2.772588722239781,17.51332933698755,14.337656464859261,17.52061777676835,16.126914252538523,16.06736177901222,16.259876076563998,13.425088237656356,6.345636360828596
Peekamoose,2021-04-01,144,4,2021,0.8660254037844387,-0.49999999999999983,3,149.0,81.0,143.0,124.33333333333333,143.0,37.64748774265467,124.33333333333333,124.33333333333333,124.33333333333333,3,,,454077,41353460.0,91.07147025724711,15.0,498.0104321570121,5.0,60.0,170.0,305.0,1010.0,40359175.0,1685640.0,40654405.0,10088575.0,9505315.0,11523235.0,676770.0,13.026024268433897,17.537666676052233,4.522565126079032,2.772588722239781,17.51332933698755,14.337656464859261,17.52061777676835,16.126914252538523,16.06736177901222,16.259876076563998,13.425088237656356,4.976733742420574
Red Hill Dinch Road,2021-04-01,227,4,2021,0.8660254037844387,-0.49999999999999983,3,53.0,8.0,89.0,50.0,53.0,40.58324777540605,50.0,50.0,50.0,3,,,454077,41353460.0,91.07147025724711,15.0,498.0104321570121,5.0,60.0,170.0,305.0,1010.0,40359175.0,1685640.0,40654405.0,10088575.0,9505315.0,11523235.0,676770.0,13.026024268433897,17.537666676052233,4.522565126079032,2.772588722239781,17.51332933698755,14.337656464859261,17.52061777676835,16.126914252538523,16.06736177901222,16.259876076563998,13.425088237656356,5.429345628954441
Rochester Hollow,2021-04-01,169,4,2021,0.8660254037844387,-0.49999999999999983,3,92.0,80.0,146.0,106.0,92.0,35.156791662493895,106.0,106.0,106.0,3,,,454077,41353460.0,91.07147025724711,15.0,498.0104321570121,5.0,60.0,170.0,305.0,1010.0,40359175.0,1685640.0,40654405.0,10088575.0,9505315.0,11523235.0,676770.0,13.026024268433897,17.537666676052233,4.522565126079032,2.772588722239781,17.51332933698755,14.337656464859261,17.52061777676835,16.126914252538523,16.06736177901222,16.259876076563998,13.425088237656356,5.135798437050262
Seager,2021-04-01,38,4,2021,0.8660254037844387,-0.49999999999999983,3,33.0,23.0,18.0,24.666666666666668,23.0,7.637626158259733,24.666666666666668,24.666666666666668,24.666666666666668,3,,,454077,41353460.0,91.07147025724711,15.0,498.0104321570121,5.0,60.0,170.0,305.0,1010.0,40359175.0,1685640.0,40654405.0,10088575.0,9505315.0,11523235.0,676770.0,13.026024268433897,17.537666676052233,4.522565126079032,2.772588722239781,17.51332933698755,14.337656464859261,17.52061777676835,16.126914252538523,16.06736177901222,16.259876076563998,13.425088237656356,3.6635616461296463
Slide Mt,2021-04-01,430,4,2021,0.8660254037844387,-0.49999999999999983,3,571.0,443.0,831.0,615.0,571.0,197.70685370011836,615.0,615.0,615.0,3,,,454077,41353460.0,91.07147025724711,15.0,498.0104321570121,5.0,60.0,170.0,305.0,1010.0,40359175.0,1685640.0,40654405.0,10088575.0,9505315.0,11523235.0,676770.0,13.026024268433897,17.537666676052233,4.522565126079032,2.772588722239781,17.51332933698755,14.337656464859261,17.52061777676835,16.126914252538523,16.06736177901222,16.259876076563998,13.425088237656356,6.066108090103747
Wittenberg,2021-04-01,286,4,2021,0.8660254037844387,-0.49999999999999983,3,262.0,136.0,251.0,216.33333333333334,251.0,69.78777352325645,216.33333333333334,216.33333333333334,216.33333333333334,3,,,454077,41353460.0,91.07147025724711,15.0,498.0104321570121,5.0,60.0,170.0,305.0,1010.0,40359175.0,1685640.0,40654405.0,10088575.0,9505315.0,11523235.0,676770.0,13.026024268433897,17.537666676052233,4.522565126079032,2.772588722239781,17.51332933698755,14.337656464859261,17.52061777676835,16.126914252538523,16.06736177901222,16.259876076563998,13.425088237656356,5.659482215759621
Woodchuck Hollow,2021-04-01,7,4,2021,0.8660254037844387,-0.49999999999999983,3,5.0,6.0,5.0,5.333333333333333,5.0,0.5773502691896257,5.333333333333333,5.333333333333333,5.333333333333333,3,,,454077,41353460.0,91.07147025724711,15.0,498.0104321570121,5.0,60.0,170.0,305.0,1010.0,40359175.0,1685640.0,40654405.0,10088575.0,9505315.0,11523235.0,676770.0,13.026024268433897,17.537666676052233,4.522565126079032,2.772588722239781,17.51332933698755,14.337656464859261,17.52061777676835,16.126914252538523,16.06736177901222,16.259876076563998,13.425088237656356,2.0794415416798357
Woodland Valley,2021-04-01,62,4,2021,0.8660254037844387,-0.49999999999999983,3,31.0,14.0,23.0,22.666666666666668,23.0,8.504900548115382,22.666666666666668,22.666666666666668,22.666666666666668,3,,,454077,41353460.0,91.07147025724711,15.0,498.0104321570121,5.0,60.0,170.0,305.0,1010.0,40359175.0,1685640.0,40654405.0,10088575.0,9505315.0,11523235.0,676770.0,13.026024268433897,17.537666676052233,4.522565126079032,2.772588722239781,17.51332933698755,14.337656464859261,17.52061777676835,16.126914252538523,16.06736177901222,16.259876076563998,13.425088237656356,4.143134726391533
Alder Lake,2021-05-01,246,5,2021,0.49999999999999994,-0.8660254037844387,4,209.0,85.0,36.0,105.0,87.5,73.4892282356174,110.0,105.0,105.0,4,,,460261,44056160.0,95.7199502021679,15.0,557.4357190815492,5.0,60.0,175.0,315.0,1060.0,42963360.0,1928755.0,43182970.0,12696560.0,9953100.0,10359800.0,925835.0,13.039551171541964,17.60097576435758,4.571819691440481,2.772588722239781,17.575858240672613,14.472385793477741,17.580956785686297,16.35684172735772,16.113394718870875,16.153443586116918,13.738452392111693,5.5093883366279774
Ashokan HP,2021-05-01,191,5,2021,0.49999999999999994,-0.8660254037844387,4,135.0,112.0,71.0,107.5,112.0,26.639569566092216,106.0,107.5,107.5,4,,,460261,44056160.0,95.7199502021679,15.0,557.4357190815492,5.0,60.0,175.0,315.0,1060.0,42963360.0,1928755.0,43182970.0,12696560.0,9953100.0,10359800.0,925835.0,13.039551171541964,17.60097576435758,4.571819691440481,2.772588722239781,17.575858240672613,14.472385793477741,17.580956785686297,16.35684172735772,16.113394718870875,16.153443586116918,13.738452392111693,5.2574953720277815
Beaverkill Road to BLM FT,2021-05-01,171,5,2021,0.49999999999999994,-0.8660254037844387,4,152.0,105.0,73.0,112.25,112.0,32.75540667838924,110.0,112.25,112.25,4,,,460261,44056160.0,95.7199502021679,15.0,557.4357190815492,5.0,60.0,175.0,315.0,1060.0,42963360.0,1928755.0,43182970.0,12696560.0,9953100.0,10359800.0,925835.0,13.039551171541964,17.60097576435758,4.571819691440481,2.772588722239781,17.575858240672613,14.472385793477741,17.580956785686297,16.35684172735772,16.113394718870875,16.153443586116918,13.738452392111693,5.147494476813453
Biscuit Brook,2021-05-01,127,5,2021,0.49999999999999994,-0.8660254037844387,4,141.0,199.0,131.0,143.5,136.0,40.34435111222718,157.0,143.5,143.5,4,,,460261,44056160.0,95.7199502021679,15.0,557.4357190815492,5.0,60.0,175.0,315.0,1060.0,42963360.0,1928755.0,43182970.0,12696560.0,9953100.0,10359800.0,925835.0,13.039551171541964,17.60097576435758,4.571819691440481,2.772588722239781,17.575858240672613,14.472385793477741,17.580956785686297,16.35684172735772,16.113394718870875,16.153443586116918,13.738452392111693,4.852030263919617
Denning,2021-05-01,340,5,2021,0.49999999999999994,-0.8660254037844387,4,224.0,164.0,94.0,151.25,143.5,56.36414344835435,160.66666666666666,151.25,151.25,4,,,460261,44056160.0,95.7199502021679,15.0,557.4357190815492,5.0,60.0,175.0,315.0,1060.0,42963360.0,1928755.0,43182970.0,12696560.0,9953100.0,10359800.0,925835.0,13.039551171541964,17.60097576435758,4.571819691440481,2.772588722239781,17.575858240672613,14.472385793477741,17.580956785686297,16.35684172735772,16.113394718870875,16.153443586116918,13.738452392111693,5.831882477283517
Dry Brook Ridge to Lean-to,2021-05-01,25,5,2021,0.49999999999999994,-0.8660254037844387,4,43.0,13.0,7.0,19.5,14.0,16.0312195418814,21.0,19.5,19.5,4,,,460261,44056160.0,95.7199502021679,15.0,557.4357190815492,5.0,60.0,175.0,315.0,1060.0,42963360.0,1928755.0,43182970.0,12696560.0,9953100.0,10359800.0,925835.0,13.039551171541964,17.60097576435758,4.571819691440481,2.772588722239781,17.575858240672613,14.472385793477741,17.580956785686297,16.35684172735772,16.113394718870875,16.153443586116918,13.738452392111693,3.258096538021482
Flynn,2021-05-01,51,5,2021,0.49999999999999994,-0.8660254037844387,4,43.0,45.0,30.0,40.5,43.5,7.047458170621992,39.333333333333336,40.5,40.5,4,,,460261,44056160.0,95.7199502021679,15.0,557.4357190815492,5.0,60.0,175.0,315.0,1060.0,42963360.0,1928755.0,43182970.0,12696560.0,9953100.0,10359800.0,925835.0,13.039551171541964,17.60097576435758,4.571819691440481,2.772588722239781,17.575858240672613,14.472385793477741,17.580956785686297,16.35684172735772,16.113394718870875,16.153443586116918,13.738452392111693,3.9512437185814275
Fox Hollow,2021-05-01,156,5,2021,0.49999999999999994,-0.8660254037844387,4,117.0,106.0,47.0,98.25,111.5,34.88433268197439,90.0,98.25,98.25,4,,,460261,44056160.0,95.7199502021679,15.0,557.4357190815492,5.0,60.0,175.0,315.0,1060.0,42963360.0,1928755.0,43182970.0,12696560.0,9953100.0,10359800.0,925835.0,13.039551171541964,17.60097576435758,4.571819691440481,2.772588722239781,17.575858240672613,14.472385793477741,17.580956785686297,16.35684172735772,16.113394718870875,16.153443586116918,13.738452392111693,5.056245805348308
