location,months,first_month,last_month,mean_visitation,median_visitation,total_visitation
Wittenberg,58,2021-01-01,2025-10-01,343.3965517241379,400.5,19917
Overlook,58,2021-01-01,2025-10-01,659.0862068965517,703.5,38227
Ashokan HP,58,2021-01-01,2025-10-01,127.53448275862068,118.0,7397
Millbrook to BLM FT,57,2021-01-01,2025-09-01,245.0,231.0,13965
Woodland Valley,53,2021-01-01,2025-05-01,80.54716981132076,50.0,4269
Giant Ledge,50,2021-01-01,2025-07-01,530.56,444.5,26528
Denning,47,2021-01-01,2024-11-01,215.87234042553192,233.0,10146
Frick Pond,46,2021-01-01,2024-10-01,121.02173913043478,112.0,5567
Neversink Hardenburgh Trail,46,2021-01-01,2024-10-01,14.108695652173912,12.0,649
Alder Lake,46,2021-01-01,2024-10-01,156.1086956521739,147.0,7181
Beaverkill Road to BLM FT,46,2021-01-01,2024-10-01,152.30434782608697,140.5,7006
Flynn,46,2021-01-01,2024-10-01,42.19565217391305,34.5,1941
Dry Brook Ridge to Lean-to,45,2021-01-01,2024-09-01,23.622222222222224,21.0,1063
Rochester Hollow,45,2021-01-01,2024-09-01,206.51111111111112,146.0,9293
Fox Hollow,45,2021-01-01,2024-09-01,82.95555555555555,88.0,3733
Kelly Hollow,45,2021-01-01,2024-09-01,178.24444444444444,165.0,8021
Hardenburgh- MH Trail,45,2021-01-01,2024-09-01,7.977777777777778,7.0,359
Seager,44,2021-01-01,2024-08-01,55.06818181818182,47.0,2423
Lane Street,44,2021-01-01,2024-09-01,48.13636363636363,50.0,2118
Rider Hollow,40,2021-01-01,2024-09-01,162.05,151.0,6482
McKenley Hollow,39,2021-01-01,2024-03-01,90.61538461538461,88.0,3534
Mt Tremper,39,2021-05-01,2024-08-01,239.07692307692307,244.0,9324
Red Hill Dinch Road,37,2021-01-01,2024-03-01,169.51351351351352,170.0,6272
Cathedral Glen,37,2021-09-01,2024-09-01,10.891891891891891,9.0,403
Slide Mt,37,2021-01-01,2024-10-01,602.7027027027027,606.0,22300
Upper Cherrytown Road,33,2021-04-01,2023-12-01,143.36363636363637,115.0,4731
Biscuit Brook,32,2021-01-01,2023-08-01,115.84375,121.0,3707
Peekamoose,30,2021-01-01,2023-06-01,134.36666666666667,132.5,4031
Woodchuck Hollow,28,2021-01-01,2024-11-01,3.4285714285714284,3.0,96
Onteora Lake,23,2022-02-01,2023-12-01,269.69565217391306,240.0,6203
Bangle Hill,17,2022-01-01,2023-05-01,10.705882352941176,7.0,182
Trails End Road,12,2022-07-01,2023-06-01,115.83333333333333,100.5,1390
Long Pond,12,2021-01-01,2021-12-01,36.833333333333336,28.0,442
