evaluation,feature_set,model,n_test,n_test_trails,n,R2,MAE,RMSE,bias
Held-out trails,History + statewide summary,Random Forest,1241,33,1241,0.7231712189524677,52.54741490555485,118.23973335545327,-20.934276973276862
Held-out trails,History + statewide summary + edge PCA,Random Forest,1241,33,1241,0.7204817537853373,52.60265678967107,118.81271027761807,-21.607561496271796
Held-out trails,History + calendar,Random Forest,1241,33,1241,0.7165639314958654,53.657831301406574,119.64247240705441,-22.035193037104747
Held-out trails,History + calendar,HistGradientBoosting,1241,33,1241,0.7088091303289882,55.1358625891908,121.26813490597806,-17.507931352675655
Held-out trails,History + statewide summary,HistGradientBoosting,1241,33,1241,0.7056916685082897,55.559415836912585,121.91554930262619,-18.074227240806795
Held-out trails,History + statewide summary + edge PCA,HistGradientBoosting,1241,33,1241,0.6988497867771333,56.15978497446879,123.32451294962482,-18.44746406933543
Held-out trails,Baseline,Seasonal historical baseline,1241,33,1241,0.5802884773084402,64.82033408215922,145.59057715196258,10.952754871147297
Held-out trails,Baseline,Historical mean baseline,1241,33,1241,0.557790456778579,85.91413199706285,149.44172667864188,4.520095369750676
Held-out trails,Baseline,Previous observation baseline,1241,33,1241,0.5147353572657268,68.91136180499598,156.54786387081143,0.8211120064464141
Held-out trails,Statewide Strava + calendar,Random Forest,1241,33,1241,-0.08798683043469802,134.19727243059023,234.40649480004478,-82.76134095748017
Held-out trails,Statewide Strava + calendar,HistGradientBoosting,1241,33,1241,-0.10094929841655942,134.93691054345643,235.79874048109957,-83.37094500404051
Held-out trails,Statewide Strava + calendar,Ridge,1241,33,1241,-0.1125761781812118,135.0003417365344,237.0405793256357,-85.76516775648136
Held-out trails,History + statewide summary,Ridge,1241,33,1241,-11.832216747775993,233.2046645685904,805.023697285289,122.76851384635175
Held-out trails,History + calendar,Ridge,1241,33,1241,-12.688156329037799,234.93249826748175,831.4388234661343,124.32400751963165
Held-out trails,History + statewide summary + edge PCA,Ridge,1241,33,1241,-12.98430152047871,236.66313267602163,840.3848433538268,127.45542469486027
