evaluation,feature_set,model,n_train,n_test,n_train_trails,n_test_trails,n,R2,MAE,RMSE,bias
Known-trail future months,History + statewide summary + edge PCA,Random Forest,905,318,31,31,318,0.7365430473019229,52.51608665315275,109.18088441632976,2.58496693734884
Known-trail future months,History + statewide summary,Random Forest,905,318,31,31,318,0.7340786750702311,52.60575351492804,109.6903339895547,3.7109676705150556
Known-trail future months,History + statewide summary,HistGradientBoosting,905,318,31,31,318,0.7297238515642452,51.69636466238315,110.5848508602316,7.5360228299905705
Known-trail future months,History + calendar,Random Forest,905,318,31,31,318,0.726449356327704,52.188378994387804,111.252722203554,-0.7806408486907649
Known-trail future months,History + calendar,HistGradientBoosting,905,318,31,31,318,0.7207409943454379,52.17373708623776,112.40752084505854,-1.5474182581135663
Known-trail future months,History + statewide summary + edge PCA,HistGradientBoosting,905,318,31,31,318,0.7170869383789396,52.888691117388014,113.14054727696522,1.038323693378501
Known-trail future months,Baseline,Seasonal historical baseline,905,318,31,31,318,0.7027886061842303,59.30503144654088,115.96435134414999,30.664570230607964
Known-trail future months,Statewide Strava + calendar,HistGradientBoosting,905,318,31,31,318,0.6864665456760441,62.23467854007974,119.10602187553887,18.51333006978617
Known-trail future months,Statewide Strava + calendar,Ridge,905,318,31,31,318,0.6033019574863959,69.0877839809364,133.97439502155214,3.168419608686448
Known-trail future months,Baseline,Historical mean baseline,905,318,31,31,318,0.5640544221648367,85.26533461381,140.44552768133858,22.443681627042658
Known-trail future months,History + statewide summary,Ridge,905,318,31,31,318,0.5501878548124162,66.55271235792019,142.66169004679034,5.916619212742855
Known-trail future months,Baseline,Previous observation baseline,905,318,31,31,318,0.5449080782103071,68.66352201257861,143.49651015851555,5.418238993710692
Known-trail future months,History + calendar,Ridge,905,318,31,31,318,0.5046715644778257,67.20883328784097,149.705724056925,2.2758310292802344
Known-trail future months,Statewide Strava + calendar,Random Forest,905,318,31,31,318,0.48288921274537255,94.84590634931729,152.96200746661415,11.312945389930515
Known-trail future months,History + statewide summary + edge PCA,Ridge,905,318,31,31,318,0.07055821610380808,77.63800601518412,205.07034979588914,10.706688171392118
