location,search_query,matched_name,latitude,longitude,osm_class,osm_type,county,state,match_score,geocoding_source
Alder Lake,Alder Creek Road Hardenburgh New York,"Alder Creek Road, Town of Hardenburgh, Ulster County, New York, United States",42.0380475,-74.6993575,,tertiary,Ulster County,New York,0.999122807017544,OpenStreetMap Nominatim
Ashokan HP,Ashokan High Point New York,"Ashokan High Point, Town of Olive, Ulster County, New York, 12494, United States",41.9248149,-74.2879263,,peak,Ulster County,New York,1.0046728971962617,OpenStreetMap Nominatim
Bangle Hill,Bangle Hill New York,"Bangle Hill, Ulster County, New York, 12782, United States",41.9064817,-74.432931,,peak,Ulster County,New York,1.0128205128205128,OpenStreetMap Nominatim
Beaverkill Road to BLM FT,Beaverkill Road New York,"Beaverkill Road, Town of Rockland, Sullivan County, New York, United States",41.95173,-74.8299301,,residential,Sullivan County,New York,0.984848484848485,OpenStreetMap Nominatim
Biscuit Brook,Frost Valley Road New York,"Frost Valley Road, Town of Denning, Ulster County, New York, 12725, United States",41.955526,-74.551743,,tertiary,Ulster County,New York,0.835981308411215,OpenStreetMap Nominatim
Cathedral Glen,Cathedral Glen Trail New York,"Cathedral Glen Trail, Pine Hill, Town of Shandaken, Ulster County, New York, 12465, United States",42.1324072,-74.4856188,,path,Ulster County,New York,0.9603174603174603,OpenStreetMap Nominatim
Denning,Denning Trailhead New York,"Denning Trailhead Parking, Denning Road, Ladleton, Town of Denning, Ulster County, New York, 12725, United States",41.9655183,-74.4525306,,parking,Ulster County,New York,0.8741007194244605,OpenStreetMap Nominatim
Dry Brook Ridge to Lean-to,Dry Brook Ridge New York,"Dry Brook Ridge, Town of Middletown, Delaware County, New York, 12406, United States",42.1130364,-74.6041347,,peak,Delaware County,New York,0.9444444444444445,OpenStreetMap Nominatim
Flynn,Flynn Trail New York,"Flynn Trail, Town of Rockland, Sullivan County, New York, United States",41.9654519,-74.7042266,,track,Sullivan County,New York,0.9395604395604397,OpenStreetMap Nominatim
Fox Hollow,Fox Hollow New York,"Fox Hollow Road, Town of Shandaken, Ulster County, New York, 12480, United States",42.106929,-74.3846838,,residential,Ulster County,New York,0.8800000000000001,OpenStreetMap Nominatim
Frick Pond,Mongaup Pond New York,"Mongaup Pond, Town of Rockland, Sullivan County, New York, United States",41.9649513,-74.6872426,,water,Sullivan County,New York,0.9516129032258065,OpenStreetMap Nominatim
Giant Ledge,Oliverea Road New York,"Oliverea Road, Town of Shandaken, Ulster County, New York, United States",42.0366035,-74.4373181,,tertiary,Ulster County,New York,0.8180851063829788,OpenStreetMap Nominatim
