location,model_months,months_with_weather,weather_coverage_pct
Ashokan HP,55,55,100.0
Biscuit Brook,29,29,100.0
Upper Cherrytown Road,30,30,100.0
Rider Hollow,37,0,0.0
Neversink Hardenburgh Trail,43,0,0.0
Onteora Lake,20,0,0.0
Overlook,55,0,0.0
Peekamoose,27,0,0.0
Red Hill Dinch Road,34,0,0.0
Alder Lake,43,0,0.0
Rochester Hollow,42,0,0.0
Mt Tremper,36,0,0.0
Slide Mt,34,0,0.0
Trails End Road,9,0,0.0
Wittenberg,55,0,0.0
Woodchuck Hollow,25,0,0.0
Seager,41,0,0.0
McKenley Hollow,36,0,0.0
Millbrook to BLM FT,54,0,0.0
Long Pond,9,0,0.0
Lane Street,41,0,0.0
Kelly Hollow,42,0,0.0
Hardenburgh- MH Trail,42,0,0.0
Giant Ledge,47,0,0.0
Frick Pond,43,0,0.0
Fox Hollow,42,0,0.0
Flynn,43,0,0.0
Dry Brook Ridge to Lean-to,42,0,0.0
Denning,44,0,0.0
Cathedral Glen,34,0,0.0
Beaverkill Road to BLM FT,43,0,0.0
Bangle Hill,14,0,0.0
Woodland Valley,50,0,0.0
