location,n_test_months,R2,MAE,RMSE,bias
Kelly Hollow,11,0.7990761709502279,19.071074642134487,25.899678302712275,11.084507572648423
Seager,11,0.7138213663521507,8.219819063876944,10.687853477958642,2.021413567023626
Red Hill Dinch Road,9,0.6850889191911199,35.403895759591734,44.00118665606603,16.432244082780766
Lane Street,11,0.624502261779985,10.376956360905297,12.401819015360417,-1.1254518393124284
Wittenberg,14,0.5987411893053602,117.31075711632158,149.13037885505784,-51.967304829772004
Alder Lake,11,0.5913744966666867,37.672675699380534,63.70987398422309,7.013677406796472
Upper Cherrytown Road,8,0.5892763341882445,60.652849692921635,71.64683732179857,49.6980596791182
Biscuit Brook,8,0.5843682105832404,21.37881808468336,24.64641678282249,9.926158070689974
Rochester Hollow,11,0.5080020185872915,37.375772119517414,41.328712533808336,-2.806080540282086
Overlook,14,0.48641578056633294,181.92243411462553,250.92906662832712,49.1483644878568
Denning,11,0.47575983864968874,48.53800095406787,61.513381988096505,-2.019360284906748
Millbrook to BLM FT,14,0.45348219336506124,62.17355875251216,89.86139918551449,10.08848226658354
McKenley Hollow,9,0.42701937443044347,29.951838677652127,36.0113572899749,5.9955178011999175
Frick Pond,11,0.4135756526876945,33.49528501919877,53.03000089429029,5.6924012643832365
Ashokan HP,14,0.3774546528366387,46.08124898567835,56.58985227785619,3.9766689814750262
Dry Brook Ridge to Lean-to,11,0.3648254756834284,6.284646644510342,8.366312371913889,-0.939151949834256
Neversink Hardenburgh Trail,11,0.30795114013470204,6.36035076706267,9.15490384441836,-2.078282560340179
Beaverkill Road to BLM FT,11,0.11890753640120921,34.938830127362344,63.91052601559979,12.351046012926046
Fox Hollow,11,0.006600618717656825,20.105311403764066,25.849339209196955,7.049037085183954
Woodchuck Hollow,7,0.0024550488999064424,1.3733190126057804,1.510000909063184,0.17179409782917274
Rider Hollow,10,-0.04530088525280895,26.960254600780853,32.0753323178611,14.627919884496738
Hardenburgh- MH Trail,11,-0.04804695639621692,5.7533847484945,7.7385995361683815,-3.5922708478134964
Giant Ledge,12,-0.15976939598755635,210.4475831618375,348.5412627756049,-20.274634744742254
Slide Mt,9,-0.23961668509197342,136.46822041397962,165.70640137389103,-55.268336016413464
Flynn,11,-0.26498064217627637,18.72410725349691,24.118084660512256,9.114973536834576
Cathedral Glen,9,-0.2831363032309202,9.269103305440353,10.982477521201968,-5.6861571873054055
Mt Tremper,9,-0.28862895865144456,118.38459208759605,188.87593210707334,2.323844836076407
Peekamoose,7,-0.43460436596861785,54.94329587908748,71.98709816043504,5.830816809653626
Woodland Valley,13,-0.4382424274123924,39.99120761298515,56.35703910869485,9.62100401427697
Onteora Lake,5,-1.1622330006312152,87.12690739452896,102.18963009938199,-27.672032294225026
Bangle Hill,4,-2.1227911302768905,7.745548164069403,9.464939014585266,-3.1754490958733097
