evaluation,model,n_train,n_test,MAE,RMSE,R2,bias
Ashokan High Point Trail,Seasonal baseline,18,6,62.166666666666664,74.90624455444973,0.239331356150161,17.148148148148152
Ashokan High Point Trail,Strava + seasonality,18,6,63.229671042863146,77.75528468448408,0.1803672606491259,-18.15377003940188
Ashokan High Point Trail,Strava only,18,6,68.36718471787913,80.24116913193123,0.12712116810621432,-6.54929024644472
Ashokan High Point Trail,Strava + active edges,18,6,69.294842297559,81.07775506492156,0.10882520226389614,-6.205601604404866
Ashokan High Point Trail,Random forest,18,6,69.34022132034633,81.64705663665947,0.09626618589680347,-2.0912185786435558
Ashokan High Point Trail,Log Strava + seasonality,18,6,70.00847537393152,85.68241298682894,0.00472557794131967,-32.033952528849035
Pine Hill West Branch Trail,Random forest,22,8,38.83777110944611,41.780042068760004,-0.19437010965949786,7.913503270340776
Pine Hill West Branch Trail,Strava only,22,8,41.59598544410808,45.38153617136531,-0.40915759512346095,21.1730520630585
Pine Hill West Branch Trail,Strava + active edges,22,8,42.08766262597893,46.03094635551595,-0.4497762725859644,21.865498973063843
Pine Hill West Branch Trail,Seasonal baseline,22,8,39.8125,46.28883504690953,-0.4660665412247691,29.1875
Pine Hill West Branch Trail,Log Strava + seasonality,22,8,38.554074160609986,46.576362696163194,-0.48433634074891696,-19.234276941725724
Pine Hill West Branch Trail,Strava + seasonality,22,8,40.984453787005606,48.9597410652814,-0.6401342765510789,-18.328046278058395
Pooled three trails,Pooled Strava + trail,62,12,45.08024323314697,63.83065644520133,0.11273880445629758,-31.967390433285118
Pooled three trails,Pooled log model,62,12,69.2673809132537,92.49030552075988,-0.8628817774153805,-67.96908690965331
Vernooy Falls Trail,Seasonal baseline,15,5,112.1,116.85653597467281,0.06935100020173046,112.1
Vernooy Falls Trail,Log Strava + seasonality,15,5,113.97038774366813,122.10117304533095,-0.01606050682379756,113.97038774366813
Vernooy Falls Trail,Strava + seasonality,15,5,121.37567638279124,138.36317303806806,-0.30473082968235365,121.37567638279124
Vernooy Falls Trail,Strava + active edges,15,5,108.14404805460121,151.7923088466746,-0.5702884354574271,103.99014954095824
Vernooy Falls Trail,Random forest,15,5,118.8582979076479,154.41723297608905,-0.6250675960804148,117.85993759018758
Vernooy Falls Trail,Strava only,15,5,107.66969771577075,154.60903564248162,-0.6291071177000915,105.83113117220626
