evaluation,model,n_train,n_test,MAE,RMSE,R2,bias
Ashokan High Point Trail,Random forest Strava + weather,18,6,55.91291643541651,65.89941282009052,0.4112613389625319,-7.4492477725977695
Ashokan High Point Trail,Strava + weather + seasonality,18,6,53.33489220693978,69.1039750567548,0.3526106870652189,-11.69067037478825
Ashokan High Point Trail,Log Strava + weather,18,6,53.021631039793284,70.09623643998968,0.33388553078978667,-18.91379791636646
Ashokan High Point Trail,Weather + seasonality,18,6,52.11373741985358,71.14007992674567,0.3138988243503418,-19.63582254399883
Ashokan High Point Trail,Strava + weather,18,6,64.82972731791615,73.38672471571189,0.26987961075968014,5.436716054112334
Ashokan High Point Trail,Seasonal historical baseline,18,6,62.166666666666664,74.90624455444973,0.239331356150161,17.148148148148152
Ashokan High Point Trail,Weather only,18,6,68.83155167617839,77.97699048132648,0.17568651391501444,8.248001267393548
Ashokan High Point Trail,Strava only,18,6,68.36718471787913,80.24116913193123,0.12712116810621432,-6.54929024644472
Ashokan High Point Trail,Historical mean baseline,18,6,78.66666666666667,85.95914906885699,-0.0017138562938192603,-3.555555555555543
Ashokan High Point Trail,Previous observation baseline,18,6,78.66666666666667,88.41568488301911,-0.059785801437028274,-21.0
Pine Hill West Branch Trail,Random forest Strava + weather,22,8,33.684626533189025,38.4081403138579,-0.009363833300715996,18.85735817099561
Pine Hill West Branch Trail,Weather + seasonality,22,8,28.9623991810011,38.5920089997296,-0.019051083568395688,-21.804135591220035
Pine Hill West Branch Trail,Log Strava + weather,22,8,32.43588978636334,39.815822717260836,-0.08470731348090577,-19.274372250178523
Pine Hill West Branch Trail,Weather only,22,8,37.3873671046225,42.0423349893743,-0.2094135691815029,27.041049992520286
Pine Hill West Branch Trail,Strava + weather,22,8,38.29316440408873,42.71645445533281,-0.2485087110739117,26.03649407502794
Pine Hill West Branch Trail,Strava + weather + seasonality,22,8,33.66149430431098,44.891396950277645,-0.37888301070639563,-27.163790850658327
Pine Hill West Branch Trail,Historical mean baseline,22,8,39.43181818181819,44.99426042368494,-0.385209354139159,23.727272727272734
Pine Hill West Branch Trail,Previous observation baseline,22,8,34.5,45.13867521316947,-0.39411563462196364,-24.0
Pine Hill West Branch Trail,Strava only,22,8,41.59598544410808,45.38153617136531,-0.40915759512346095,21.1730520630585
Pine Hill West Branch Trail,Seasonal historical baseline,22,8,39.8125,46.28883504690953,-0.4660665412247691,29.1875
Pooled three trails,Pooled weather + trail,62,12,51.16546111585788,56.14043999043907,0.3136518136181855,-41.55428995220105
Pooled three trails,Pooled Strava + trail,62,12,45.08024323314697,63.83065644520133,0.11273880445629758,-31.967390433285118
Pooled three trails,Pooled Strava + weather + trail,62,12,56.082454355268,64.24074495648576,0.10130152768481182,-55.22493238060961
Pooled three trails,Pooled log Strava + weather,62,12,76.61608633952437,92.80707265771954,-0.8756638788646363,-76.61608633952437
Vernooy Falls Trail,Seasonal historical baseline,15,5,112.1,116.85653597467281,0.06935100020173046,112.1
Vernooy Falls Trail,Previous observation baseline,15,5,106.6,124.93758441718008,-0.06381499675595514,30.6
Vernooy Falls Trail,Strava + weather,15,5,116.81513256248664,132.1310557379021,-0.18984313342106285,81.8952766068156
Vernooy Falls Trail,Strava + weather + seasonality,15,5,114.23362751730163,140.25230340596556,-0.34060212544087753,111.64401491053025
Vernooy Falls Trail,Historical mean baseline,15,5,121.08,141.98208024645615,-0.3738742013319063,74.06666666666668
Vernooy Falls Trail,Random forest Strava + weather,15,5,112.96020093795093,142.23583746410372,-0.3787894982304234,57.23713147186154
Vernooy Falls Trail,Weather only,15,5,127.12759826350597,153.23723588715976,-0.6003262079526153,37.31887341261354
Vernooy Falls Trail,Strava only,15,5,107.66969771577075,154.60903564248162,-0.6291071177000915,105.83113117220626
Vernooy Falls Trail,Weather + seasonality,15,5,120.21087915426456,155.64784387074684,-0.6510723954689954,101.86207353005001
Vernooy Falls Trail,Log Strava + weather,15,5,136.92038052554534,167.6180356236547,-0.914791063496915,104.51644709178765
