quarter,trail_name,selected_edges
2021-01-01-2021-03-31,Ashokan High Point Trail,33
2021-01-01-2021-03-31,Pine Hill West Branch Trail,51
2021-01-01-2021-03-31,Vernooy Falls Trail,21
2021-04-01-2021-06-30,Ashokan High Point Trail,33
2021-04-01-2021-06-30,Pine Hill West Branch Trail,51
2021-04-01-2021-06-30,Vernooy Falls Trail,21
2021-07-01-2021-09-30,Ashokan High Point Trail,33
2021-07-01-2021-09-30,Pine Hill West Branch Trail,51
2021-07-01-2021-09-30,Vernooy Falls Trail,21
2021-10-01-2021-12-31,Ashokan High Point Trail,33
2021-10-01-2021-12-31,Pine Hill West Branch Trail,51
2021-10-01-2021-12-31,Vernooy Falls Trail,21
2022-01-01-2022-03-31,Ashokan High Point Trail,33
2022-01-01-2022-03-31,Pine Hill West Branch Trail,51
2022-01-01-2022-03-31,Vernooy Falls Trail,21
2022-04-01-2022-06-30,Ashokan High Point Trail,33
2022-04-01-2022-06-30,Pine Hill West Branch Trail,51
2022-04-01-2022-06-30,Vernooy Falls Trail,21
2022-07-01-2022-09-30,Ashokan High Point Trail,33
2022-07-01-2022-09-30,Pine Hill West Branch Trail,51
2022-07-01-2022-09-30,Vernooy Falls Trail,21
2022-10-01-2022-12-31,Ashokan High Point Trail,33
2022-10-01-2022-12-31,Pine Hill West Branch Trail,51
2022-10-01-2022-12-31,Vernooy Falls Trail,21
2023-01-01-2023-03-31,Ashokan High Point Trail,33
2023-01-01-2023-03-31,Pine Hill West Branch Trail,51
2023-01-01-2023-03-31,Vernooy Falls Trail,21
2023-04-01-2023-06-30,Ashokan High Point Trail,33
2023-04-01-2023-06-30,Pine Hill West Branch Trail,51
2023-04-01-2023-06-30,Vernooy Falls Trail,21
2023-07-01-2023-09-30,Ashokan High Point Trail,33
2023-07-01-2023-09-30,Pine Hill West Branch Trail,51
2023-07-01-2023-09-30,Vernooy Falls Trail,21
2023-10-01-2023-12-31,Ashokan High Point Trail,33
2023-10-01-2023-12-31,Pine Hill West Branch Trail,51
2023-10-01-2023-12-31,Vernooy Falls Trail,21
2024-01-01-2024-03-31,Ashokan High Point Trail,33
2024-01-01-2024-03-31,Pine Hill West Branch Trail,51
2024-01-01-2024-03-31,Vernooy Falls Trail,21
2024-04-01-2024-06-30,Ashokan High Point Trail,33
2024-04-01-2024-06-30,Pine Hill West Branch Trail,51
2024-04-01-2024-06-30,Vernooy Falls Trail,21
2024-07-01-2024-09-30,Ashokan High Point Trail,33
2024-07-01-2024-09-30,Pine Hill West Branch Trail,51
2024-07-01-2024-09-30,Vernooy Falls Trail,21
2024-10-01-2024-12-31,Ashokan High Point Trail,33
2024-10-01-2024-12-31,Pine Hill West Branch Trail,51
2024-10-01-2024-12-31,Vernooy Falls Trail,21
2025-01-01-2025-03-31,Ashokan High Point Trail,33
2025-01-01-2025-03-31,Pine Hill West Branch Trail,51
2025-01-01-2025-03-31,Vernooy Falls Trail,21
2025-04-01-2025-06-30,Ashokan High Point Trail,33
2025-04-01-2025-06-30,Pine Hill West Branch Trail,51
2025-04-01-2025-06-30,Vernooy Falls Trail,21
2025-07-01-2025-09-30,Ashokan High Point Trail,33
2025-07-01-2025-09-30,Pine Hill West Branch Trail,51
2025-07-01-2025-09-30,Vernooy Falls Trail,21
2025-10-01-2025-12-31,Ashokan High Point Trail,33
2025-10-01-2025-12-31,Pine Hill West Branch Trail,51
2025-10-01-2025-12-31,Vernooy Falls Trail,21
2026-01-01-2026-03-31,Ashokan High Point Trail,33
2026-01-01-2026-03-31,Pine Hill West Branch Trail,51
2026-01-01-2026-03-31,Vernooy Falls Trail,21
