trail_name,month,total_trip_count,source
Ashokan High Point Trail,2021-01-01,145.0,daily_aggregated
Ashokan High Point Trail,2021-02-01,,
Ashokan High Point Trail,2021-03-01,40.0,daily_aggregated
Ashokan High Point Trail,2021-04-01,,
Ashokan High Point Trail,2021-05-01,260.0,daily_aggregated
Ashokan High Point Trail,2021-06-01,320.0,daily_aggregated
Ashokan High Point Trail,2021-07-01,265.0,daily_aggregated
Ashokan High Point Trail,2021-08-01,,
Ashokan High Point Trail,2021-09-01,80.0,daily_aggregated
Ashokan High Point Trail,2021-10-01,,
Ashokan High Point Trail,2021-11-01,,
Ashokan High Point Trail,2021-12-01,,
Ashokan High Point Trail,2022-01-01,,
Ashokan High Point Trail,2022-02-01,70.0,daily_aggregated
Ashokan High Point Trail,2022-03-01,,
Ashokan High Point Trail,2022-04-01,,
Ashokan High Point Trail,2022-05-01,225.0,daily_aggregated
Ashokan High Point Trail,2022-06-01,80.0,daily_aggregated
Ashokan High Point Trail,2022-07-01,290.0,daily_aggregated
Ashokan High Point Trail,2022-08-01,60.0,daily_aggregated
Ashokan High Point Trail,2022-09-01,,
Ashokan High Point Trail,2022-10-01,,
Ashokan High Point Trail,2022-11-01,,
Ashokan High Point Trail,2022-12-01,,
Ashokan High Point Trail,2023-01-01,,
Ashokan High Point Trail,2023-02-01,15.0,daily_aggregated
Ashokan High Point Trail,2023-03-01,,
Ashokan High Point Trail,2023-04-01,,
Ashokan High Point Trail,2023-05-01,,
Ashokan High Point Trail,2023-06-01,,
Ashokan High Point Trail,2023-07-01,,
Ashokan High Point Trail,2023-08-01,,
Ashokan High Point Trail,2023-09-01,,
Ashokan High Point Trail,2023-10-01,,
Ashokan High Point Trail,2023-11-01,120.0,daily_aggregated
Ashokan High Point Trail,2023-12-01,,
Ashokan High Point Trail,2024-01-01,85.0,strava_monthly
Ashokan High Point Trail,2024-02-01,265.0,strava_monthly
Ashokan High Point Trail,2024-03-01,120.0,strava_monthly
Ashokan High Point Trail,2024-04-01,160.0,strava_monthly
Ashokan High Point Trail,2024-05-01,120.0,strava_monthly
Ashokan High Point Trail,2024-06-01,345.0,strava_monthly
Ashokan High Point Trail,2024-07-01,225.0,strava_monthly
Ashokan High Point Trail,2024-08-01,245.0,strava_monthly
Ashokan High Point Trail,2024-09-01,250.0,strava_monthly
Ashokan High Point Trail,2024-10-01,245.0,strava_monthly
Ashokan High Point Trail,2024-11-01,155.0,strava_monthly
Ashokan High Point Trail,2024-12-01,140.0,strava_monthly
Ashokan High Point Trail,2025-01-01,185.0,strava_monthly
Ashokan High Point Trail,2025-02-01,,
