location,start_date,end_date,year,month,visitation_count,frequency,source_file,source_sheet,source_row,source_col,target_processing,trail_name
Ashokan HP,1996-01-01,1996-01-31,1996,1,10,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,5,7,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,1996-02-01,1996-02-29,1996,2,10,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,6,7,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,1996-03-01,1996-03-31,1996,3,10,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,7,7,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,1996-04-01,1996-04-30,1996,4,50,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,8,7,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,1996-05-01,1996-05-31,1996,5,50,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,9,7,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,1996-06-01,1996-06-30,1996,6,132,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,10,7,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,1996-07-01,1996-07-31,1996,7,269,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,11,7,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,1996-08-01,1996-08-31,1996,8,193,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,12,7,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,1996-09-01,1996-09-30,1996,9,155,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,13,7,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,1996-10-01,1996-10-31,1996,10,247,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,14,7,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,1996-11-01,1996-11-30,1996,11,113,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,15,7,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,1996-12-01,1996-12-31,1996,12,35,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,16,7,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,1997-01-01,1997-01-31,1997,1,26,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,5,8,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,1997-02-01,1997-02-28,1997,2,45,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,6,8,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,1997-03-01,1997-03-31,1997,3,67,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,7,8,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,1997-04-01,1997-04-30,1997,4,153,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,8,8,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,1997-05-01,1997-05-31,1997,5,240,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,9,8,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,1997-06-01,1997-06-30,1997,6,197,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,10,8,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,1997-07-01,1997-07-31,1997,7,200,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,11,8,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,1997-08-01,1997-08-31,1997,8,254,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,12,8,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,1997-09-01,1997-09-30,1997,9,137,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,13,8,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,1997-10-01,1997-10-31,1997,10,254,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,14,8,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,1997-11-01,1997-11-30,1997,11,62,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,15,8,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,1997-12-01,1997-12-31,1997,12,70,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,16,8,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,1998-01-01,1998-01-31,1998,1,87,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,5,9,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,1998-02-01,1998-02-28,1998,2,89,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,6,9,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,1998-03-01,1998-03-31,1998,3,93,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,7,9,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,1998-04-01,1998-04-30,1998,4,168,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,8,9,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,1998-05-01,1998-05-31,1998,5,255,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,9,9,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,1998-06-01,1998-06-30,1998,6,177,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,10,9,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,1998-07-01,1998-07-31,1998,7,301,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,11,9,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,1998-08-01,1998-08-31,1998,8,268,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,12,9,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,1998-09-01,1998-09-30,1998,9,207,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,13,9,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,1998-10-01,1998-10-31,1998,10,288,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,14,9,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,1998-11-01,1998-11-30,1998,11,146,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,15,9,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,1998-12-01,1998-12-31,1998,12,62,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,16,9,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,1999-01-01,1999-01-31,1999,1,71,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,5,10,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,1999-02-01,1999-02-28,1999,2,62,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,6,10,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,1999-03-01,1999-03-31,1999,3,73,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,7,10,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,1999-04-01,1999-04-30,1999,4,157,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,8,10,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,1999-05-01,1999-05-31,1999,5,187,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,9,10,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,1999-06-01,1999-06-30,1999,6,72,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,10,10,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,1999-07-01,1999-07-31,1999,7,119,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,11,10,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,1999-08-01,1999-08-31,1999,8,208,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,12,10,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,1999-09-01,1999-09-30,1999,9,243,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,13,10,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,1999-10-01,1999-10-31,1999,10,215,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,14,10,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,1999-11-01,1999-11-30,1999,11,91,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,15,10,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,1999-12-01,1999-12-31,1999,12,81,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,16,10,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2000-01-01,2000-01-31,2000,1,53,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,5,11,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2000-02-01,2000-02-29,2000,2,60,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,6,11,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2000-03-01,2000-03-31,2000,3,107,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,7,11,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2000-04-01,2000-04-30,2000,4,70,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,8,11,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2000-05-01,2000-05-31,2000,5,101,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,9,11,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2000-06-01,2000-06-30,2000,6,80,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,10,11,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2000-07-01,2000-07-31,2000,7,179,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,11,11,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2000-08-01,2000-08-31,2000,8,235,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,12,11,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2000-09-01,2000-09-30,2000,9,160,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,13,11,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2000-10-01,2000-10-31,2000,10,238,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,14,11,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2000-11-01,2000-11-30,2000,11,130,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,15,11,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2000-12-01,2000-12-31,2000,12,48,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,16,11,observed_monthly_from_register_tally,Ashokan High Point Trail
