trail_name,edge_uid,buffer_meters
Ashokan High Point Trail,513523542,30
Ashokan High Point Trail,513523543,30
Ashokan High Point Trail,513523544,30
Ashokan High Point Trail,513523545,30
Ashokan High Point Trail,513523546,30
Ashokan High Point Trail,513523547,30
Ashokan High Point Trail,513523548,30
Ashokan High Point Trail,513523549,30
Ashokan High Point Trail,513523550,30
Ashokan High Point Trail,513523551,30
Ashokan High Point Trail,513523552,30
Ashokan High Point Trail,513523553,30
Ashokan High Point Trail,513523554,30
Ashokan High Point Trail,513523555,30
Ashokan High Point Trail,513523556,30
Ashokan High Point Trail,513523557,30
Ashokan High Point Trail,513525053,30
Ashokan High Point Trail,513525054,30
Ashokan High Point Trail,513525055,30
Ashokan High Point Trail,513525056,30
Ashokan High Point Trail,513525057,30
Ashokan High Point Trail,513525058,30
Ashokan High Point Trail,513525059,30
Ashokan High Point Trail,513525060,30
Ashokan High Point Trail,513525061,30
Ashokan High Point Trail,513525102,30
Ashokan High Point Trail,513525103,30
Ashokan High Point Trail,513525104,30
Ashokan High Point Trail,513525105,30
Ashokan High Point Trail,513525106,30
Ashokan High Point Trail,513525111,30
Ashokan High Point Trail,513525112,30
Ashokan High Point Trail,513525113,30
Pine Hill West Branch Trail,513522632,30
Pine Hill West Branch Trail,513522634,30
Pine Hill West Branch Trail,513522635,30
Pine Hill West Branch Trail,513522636,30
Pine Hill West Branch Trail,513522637,30
Pine Hill West Branch Trail,513522638,30
Pine Hill West Branch Trail,513522639,30
Pine Hill West Branch Trail,513526887,30
Pine Hill West Branch Trail,513526888,30
Pine Hill West Branch Trail,513526901,30
Pine Hill West Branch Trail,513526902,30
Pine Hill West Branch Trail,513526904,30
Pine Hill West Branch Trail,513526906,30
Pine Hill West Branch Trail,513526908,30
Pine Hill West Branch Trail,513526909,30
Pine Hill West Branch Trail,513526910,30
Pine Hill West Branch Trail,513526912,30
Pine Hill West Branch Trail,513526913,30
Pine Hill West Branch Trail,513526998,30
Pine Hill West Branch Trail,513526999,30
Pine Hill West Branch Trail,513527000,30
Pine Hill West Branch Trail,513527001,30
Pine Hill West Branch Trail,513527004,30
Pine Hill West Branch Trail,513527005,30
Pine Hill West Branch Trail,513527006,30
Pine Hill West Branch Trail,513527007,30
Pine Hill West Branch Trail,513527008,30
Pine Hill West Branch Trail,513527009,30
Pine Hill West Branch Trail,513527011,30
Pine Hill West Branch Trail,513527012,30
Pine Hill West Branch Trail,513527013,30
Pine Hill West Branch Trail,513527014,30
Pine Hill West Branch Trail,513527015,30
Pine Hill West Branch Trail,513527016,30
Pine Hill West Branch Trail,513527017,30
Pine Hill West Branch Trail,513527322,30
Pine Hill West Branch Trail,513527323,30
Pine Hill West Branch Trail,513527324,30
Pine Hill West Branch Trail,513527325,30
Pine Hill West Branch Trail,513527331,30
Pine Hill West Branch Trail,513527332,30
Pine Hill West Branch Trail,513527333,30
Pine Hill West Branch Trail,513527334,30
Pine Hill West Branch Trail,513527335,30
Pine Hill West Branch Trail,513527336,30
Pine Hill West Branch Trail,513527621,30
Pine Hill West Branch Trail,513527623,30
Pine Hill West Branch Trail,513527751,30
Pine Hill West Branch Trail,513527752,30
Pine Hill West Branch Trail,513527756,30
Pine Hill West Branch Trail,513527882,30
Vernooy Falls Trail,513522113,30
Vernooy Falls Trail,513522114,30
Vernooy Falls Trail,513522115,30
Vernooy Falls Trail,513522116,30
Vernooy Falls Trail,513522117,30
Vernooy Falls Trail,513522118,30
Vernooy Falls Trail,513522119,30
Vernooy Falls Trail,513522120,30
Vernooy Falls Trail,513522121,30
Vernooy Falls Trail,513522855,30
Vernooy Falls Trail,513522860,30
Vernooy Falls Trail,513522861,30
Vernooy Falls Trail,513522862,30
Vernooy Falls Trail,513522863,30
Vernooy Falls Trail,513522864,30
Vernooy Falls Trail,513522865,30
Vernooy Falls Trail,513522866,30
Vernooy Falls Trail,513522867,30
Vernooy Falls Trail,513522868,30
Vernooy Falls Trail,513522870,30
Vernooy Falls Trail,513522881,30
