trail_name,start_date,total_trip_count,active_edges,export_count,was_reported,plot_trip_count
Ashokan High Point Trail,2021-01-01,145.0,16.0,1.0,True,145.0
Ashokan High Point Trail,2021-02-01,,,,False,0.0
Ashokan High Point Trail,2021-03-01,40.0,8.0,1.0,True,40.0
Ashokan High Point Trail,2021-04-01,,,,False,0.0
Ashokan High Point Trail,2021-05-01,260.0,23.0,1.0,True,260.0
Ashokan High Point Trail,2021-06-01,320.0,23.0,1.0,True,320.0
Ashokan High Point Trail,2021-07-01,265.0,22.0,1.0,True,265.0
Ashokan High Point Trail,2021-08-01,,,,False,0.0
Ashokan High Point Trail,2021-09-01,80.0,16.0,1.0,True,80.0
Ashokan High Point Trail,2021-10-01,,,,False,0.0
Ashokan High Point Trail,2021-11-01,,,,False,0.0
Ashokan High Point Trail,2021-12-01,,,,False,0.0
Ashokan High Point Trail,2022-01-01,,,,False,0.0
Ashokan High Point Trail,2022-02-01,70.0,14.0,1.0,True,70.0
Ashokan High Point Trail,2022-03-01,,,,False,0.0
Ashokan High Point Trail,2022-04-01,,,,False,0.0
Ashokan High Point Trail,2022-05-01,225.0,24.0,1.0,True,225.0
Ashokan High Point Trail,2022-06-01,80.0,16.0,1.0,True,80.0
Ashokan High Point Trail,2022-07-01,290.0,22.0,1.0,True,290.0
Ashokan High Point Trail,2022-08-01,60.0,6.0,1.0,True,60.0
Ashokan High Point Trail,2022-09-01,,,,False,0.0
Ashokan High Point Trail,2022-10-01,,,,False,0.0
Ashokan High Point Trail,2022-11-01,,,,False,0.0
Ashokan High Point Trail,2022-12-01,,,,False,0.0
Ashokan High Point Trail,2023-01-01,,,,False,0.0
Ashokan High Point Trail,2023-02-01,15.0,3.0,1.0,True,15.0
Ashokan High Point Trail,2023-03-01,,,,False,0.0
Ashokan High Point Trail,2023-04-01,,,,False,0.0
Ashokan High Point Trail,2023-05-01,,,,False,0.0
Ashokan High Point Trail,2023-06-01,,,,False,0.0
Ashokan High Point Trail,2023-07-01,,,,False,0.0
Ashokan High Point Trail,2023-08-01,,,,False,0.0
Ashokan High Point Trail,2023-09-01,,,,False,0.0
Ashokan High Point Trail,2023-10-01,,,,False,0.0
Ashokan High Point Trail,2023-11-01,120.0,17.0,1.0,True,120.0
Ashokan High Point Trail,2023-12-01,,,,False,0.0
Ashokan High Point Trail,2024-01-01,75.0,8.0,1.0,True,75.0
Ashokan High Point Trail,2024-02-01,70.0,14.0,1.0,True,70.0
Ashokan High Point Trail,2024-03-01,80.0,13.0,1.0,True,80.0
Ashokan High Point Trail,2024-04-01,,,,False,0.0
Ashokan High Point Trail,2024-05-01,5.0,1.0,1.0,True,5.0
Ashokan High Point Trail,2024-06-01,,,,False,0.0
Ashokan High Point Trail,2024-07-01,,,,False,0.0
Ashokan High Point Trail,2024-08-01,,,,False,0.0
Ashokan High Point Trail,2024-09-01,15.0,3.0,1.0,True,15.0
Ashokan High Point Trail,2024-10-01,75.0,8.0,1.0,True,75.0
Ashokan High Point Trail,2024-11-01,,,,False,0.0
Ashokan High Point Trail,2024-12-01,140.0,11.0,1.0,True,140.0
Ashokan High Point Trail,2025-01-01,,,,False,0.0
Ashokan High Point Trail,2025-02-01,,,,False,0.0
Ashokan High Point Trail,2025-03-01,70.0,14.0,1.0,True,70.0
Ashokan High Point Trail,2025-04-01,,,,False,0.0
Ashokan High Point Trail,2025-05-01,10.0,2.0,1.0,True,10.0
Ashokan High Point Trail,2025-06-01,200.0,20.0,1.0,True,200.0
Ashokan High Point Trail,2025-07-01,190.0,23.0,1.0,True,190.0
Ashokan High Point Trail,2025-08-01,,,,False,0.0
Ashokan High Point Trail,2025-09-01,,,,False,0.0
Ashokan High Point Trail,2025-10-01,,,,False,0.0
