trail_name,start_date,weather_temp_mean_c,weather_temp_min_c,weather_temp_max_c,weather_precip_total_mm,weather_rain_total_mm,weather_precip_mean_daily_mm,weather_rainy_days,weather_heavy_rain_days,weather_days_available
Ashokan High Point Trail,2021-01-01,-3.2225806451612904,-16.3,5.7,59.4,16.3,1.9161290322580644,17,1,31
Ashokan High Point Trail,2021-02-01,-4.210714285714285,-17.3,8.6,112.9,27.2,4.0321428571428575,17,4,28
Ashokan High Point Trail,2021-03-01,2.2870967741935484,-15.2,22.7,91.7,90.5,2.958064516129032,13,3,31
Ashokan High Point Trail,2021-04-01,7.953333333333333,-8.3,24.3,89.3,88.1,2.9766666666666666,16,3,30
Ashokan High Point Trail,2021-05-01,12.96774193548387,1.2,29.0,142.7,142.6,4.603225806451612,22,8,31
Ashokan High Point Trail,2021-06-01,19.55,7.7,32.3,108.0,108.0,3.6,19,2,30
Ashokan High Point Trail,2021-07-01,20.02258064516129,10.4,30.1,209.1,209.1,6.745161290322581,26,5,31
Ashokan High Point Trail,2021-08-01,21.280645161290323,10.1,32.6,163.4,163.4,5.270967741935484,23,3,31
Ashokan High Point Trail,2021-09-01,16.823333333333334,7.5,26.6,199.7,199.7,6.656666666666666,18,4,30
Ashokan High Point Trail,2021-10-01,12.67741935483871,3.2,24.2,197.8,197.8,6.380645161290323,21,5,31
Ashokan High Point Trail,2021-11-01,3.4733333333333336,-5.4,17.4,75.5,69.0,2.5166666666666666,16,1,30
Ashokan High Point Trail,2021-12-01,1.4387096774193548,-7.3,14.7,73.4,56.7,2.3677419354838714,18,3,31
Ashokan High Point Trail,2022-01-01,-6.674193548387097,-23.8,10.5,80.6,16.8,2.5999999999999996,15,2,31
Ashokan High Point Trail,2022-02-01,-3.085714285714286,-18.9,12.9,141.4,108.9,5.05,15,6,28
Ashokan High Point Trail,2022-03-01,2.193548387096774,-18.2,20.6,119.5,83.9,3.8548387096774195,19,5,31
Ashokan High Point Trail,2022-04-01,6.8100000000000005,-2.1,25.6,183.29999999999998,149.0,6.109999999999999,20,5,30
Ashokan High Point Trail,2022-05-01,15.01290322580645,2.2,30.9,112.2,112.2,3.6193548387096777,15,5,31
Ashokan High Point Trail,2022-06-01,17.89,7.8,28.8,96.0,96.0,3.2,15,3,30
Ashokan High Point Trail,2022-07-01,22.225806451612904,12.2,32.0,51.0,51.0,1.6451612903225807,12,1,31
Ashokan High Point Trail,2022-08-01,22.06451612903226,12.7,33.8,55.6,55.6,1.7935483870967743,16,2,31
Ashokan High Point Trail,2022-09-01,15.936666666666667,5.8,25.8,187.3,187.3,6.243333333333334,16,7,30
Ashokan High Point Trail,2022-10-01,10.30967741935484,0.4,21.9,74.0,74.0,2.3870967741935485,13,1,31
Ashokan High Point Trail,2022-11-01,5.86,-6.8,20.4,125.6,118.0,4.1866666666666665,15,6,30
Ashokan High Point Trail,2022-12-01,-1.4774193548387096,-19.6,14.1,179.1,110.2,5.77741935483871,11,6,31
Ashokan High Point Trail,2023-01-01,0.864516129032258,-8.3,14.9,119.2,82.4,3.8451612903225807,18,5,31
Ashokan High Point Trail,2023-02-01,-0.4142857142857143,-24.3,13.6,62.7,21.700000000000003,2.2392857142857143,16,2,28
Ashokan High Point Trail,2023-03-01,1.070967741935484,-9.4,14.1,120.7,25.599999999999998,3.893548387096774,19,3,31
Ashokan High Point Trail,2023-04-01,9.376666666666667,-3.6,29.7,182.7,179.2,6.09,18,5,30
Ashokan High Point Trail,2023-05-01,13.258064516129032,1.6,27.7,36.1,35.7,1.164516129032258,11,1,31
Ashokan High Point Trail,2023-06-01,17.17,7.5,30.3,104.3,104.3,3.4766666666666666,21,2,30
Ashokan High Point Trail,2023-07-01,21.151612903225807,11.4,29.8,198.2,198.2,6.393548387096774,27,8,31
Ashokan High Point Trail,2023-08-01,19.09032258064516,11.6,27.7,214.0,214.0,6.903225806451613,19,6,31
Ashokan High Point Trail,2023-09-01,16.62333333333333,7.7,30.6,158.5,158.5,5.283333333333333,18,6,30
