location,start_date,end_date,year,month,visitation_count,frequency,source_file,source_sheet,source_row,source_col,target_processing
Elm Ridge,2020-07-22,2020-07-22,2020,7,77.0,daily,Elm Ridge Hike+Bike RAW (1).csv,aggregated,0,0,aggregated_daily_from_hourly; source_records=12
Elm Ridge,2020-07-23,2020-07-23,2020,7,133.0,daily,Elm Ridge Hike+Bike RAW (1).csv,aggregated,0,0,aggregated_daily_from_hourly; source_records=24
Elm Ridge,2020-07-24,2020-07-24,2020,7,172.0,daily,Elm Ridge Hike+Bike RAW (1).csv,aggregated,0,0,aggregated_daily_from_hourly; source_records=24
Elm Ridge,2020-07-25,2020-07-25,2020,7,350.0,daily,Elm Ridge Hike+Bike RAW (1).csv,aggregated,0,0,aggregated_daily_from_hourly; source_records=24
Elm Ridge,2020-07-26,2020-07-26,2020,7,291.0,daily,Elm Ridge Hike+Bike RAW (1).csv,aggregated,0,0,aggregated_daily_from_hourly; source_records=24
Elm Ridge,2020-07-27,2020-07-27,2020,7,141.0,daily,Elm Ridge Hike+Bike RAW (1).csv,aggregated,0,0,aggregated_daily_from_hourly; source_records=24
Elm Ridge,2020-07-28,2020-07-28,2020,7,172.0,daily,Elm Ridge Hike+Bike RAW (1).csv,aggregated,0,0,aggregated_daily_from_hourly; source_records=24
Elm Ridge,2020-07-29,2020-07-29,2020,7,140.0,daily,Elm Ridge Hike+Bike RAW (1).csv,aggregated,0,0,aggregated_daily_from_hourly; source_records=24
Elm Ridge,2020-07-30,2020-07-30,2020,7,85.0,daily,Elm Ridge Hike+Bike RAW (1).csv,aggregated,0,0,aggregated_daily_from_hourly; source_records=24
Elm Ridge,2020-07-31,2020-07-31,2020,7,192.0,daily,Elm Ridge Hike+Bike RAW (1).csv,aggregated,0,0,aggregated_daily_from_hourly; source_records=24
Elm Ridge,2020-08-01,2020-08-01,2020,8,389.0,daily,Elm Ridge Hike+Bike RAW (1).csv,aggregated,0,0,aggregated_daily_from_hourly; source_records=24
Elm Ridge,2020-08-02,2020-08-02,2020,8,162.0,daily,Elm Ridge Hike+Bike RAW (1).csv,aggregated,0,0,aggregated_daily_from_hourly; source_records=24
Elm Ridge,2020-08-03,2020-08-03,2020,8,170.0,daily,Elm Ridge Hike+Bike RAW (1).csv,aggregated,0,0,aggregated_daily_from_hourly; source_records=24
Elm Ridge,2020-08-04,2020-08-04,2020,8,9.0,daily,Elm Ridge Hike+Bike RAW (1).csv,aggregated,0,0,aggregated_daily_from_hourly; source_records=24
Elm Ridge,2020-08-05,2020-08-05,2020,8,99.0,daily,Elm Ridge Hike+Bike RAW (1).csv,aggregated,0,0,aggregated_daily_from_hourly; source_records=23
Elm Ridge,2020-08-06,2020-08-06,2020,8,197.0,daily,Elm Ridge Hike+Bike RAW (1).csv,aggregated,0,0,aggregated_daily_from_hourly; source_records=24
Elm Ridge,2020-08-07,2020-08-07,2020,8,104.0,daily,Elm Ridge Hike+Bike RAW (1).csv,aggregated,0,0,aggregated_daily_from_hourly; source_records=24
Elm Ridge,2020-08-08,2020-08-08,2020,8,431.0,daily,Elm Ridge Hike+Bike RAW (1).csv,aggregated,0,0,aggregated_daily_from_hourly; source_records=24
Elm Ridge,2020-08-09,2020-08-09,2020,8,271.0,daily,Elm Ridge Hike+Bike RAW (1).csv,aggregated,0,0,aggregated_daily_from_hourly; source_records=24
Elm Ridge,2020-08-10,2020-08-10,2020,8,127.0,daily,Elm Ridge Hike+Bike RAW (1).csv,aggregated,0,0,aggregated_daily_from_hourly; source_records=24
Elm Ridge,2020-08-11,2020-08-11,2020,8,198.0,daily,Elm Ridge Hike+Bike RAW (1).csv,aggregated,0,0,aggregated_daily_from_hourly; source_records=24
Elm Ridge,2020-08-12,2020-08-12,2020,8,185.0,daily,Elm Ridge Hike+Bike RAW (1).csv,aggregated,0,0,aggregated_daily_from_hourly; source_records=24
Elm Ridge,2020-08-13,2020-08-13,2020,8,197.0,daily,Elm Ridge Hike+Bike RAW (1).csv,aggregated,0,0,aggregated_daily_from_hourly; source_records=24
Elm Ridge,2020-08-14,2020-08-14,2020,8,196.0,daily,Elm Ridge Hike+Bike RAW (1).csv,aggregated,0,0,aggregated_daily_from_hourly; source_records=24
Elm Ridge,2020-08-15,2020-08-15,2020,8,449.0,daily,Elm Ridge Hike+Bike RAW (1).csv,aggregated,0,0,aggregated_daily_from_hourly; source_records=24
Elm Ridge,2020-08-16,2020-08-16,2020,8,361.0,daily,Elm Ridge Hike+Bike RAW (1).csv,aggregated,0,0,aggregated_daily_from_hourly; source_records=24
Elm Ridge,2020-08-17,2020-08-17,2020,8,226.0,daily,Elm Ridge Hike+Bike RAW (1).csv,aggregated,0,0,aggregated_daily_from_hourly; source_records=24
Elm Ridge,2020-08-18,2020-08-18,2020,8,213.0,daily,Elm Ridge Hike+Bike RAW (1).csv,aggregated,0,0,aggregated_daily_from_hourly; source_records=24
Elm Ridge,2020-08-19,2020-08-19,2020,8,190.0,daily,Elm Ridge Hike+Bike RAW (1).csv,aggregated,0,0,aggregated_daily_from_hourly; source_records=24
Elm Ridge,2020-08-20,2020-08-20,2020,8,268.0,daily,Elm Ridge Hike+Bike RAW (1).csv,aggregated,0,0,aggregated_daily_from_hourly; source_records=24
Elm Ridge,2020-08-21,2020-08-21,2020,8,281.0,daily,Elm Ridge Hike+Bike RAW (1).csv,aggregated,0,0,aggregated_daily_from_hourly; source_records=24
Elm Ridge,2020-08-22,2020-08-22,2020,8,405.0,daily,Elm Ridge Hike+Bike RAW (1).csv,aggregated,0,0,aggregated_daily_from_hourly; source_records=24
Elm Ridge,2020-08-23,2020-08-23,2020,8,215.0,daily,Elm Ridge Hike+Bike RAW (1).csv,aggregated,0,0,aggregated_daily_from_hourly; source_records=24
Elm Ridge,2020-08-24,2020-08-24,2020,8,137.0,daily,Elm Ridge Hike+Bike RAW (1).csv,aggregated,0,0,aggregated_daily_from_hourly; source_records=24
Elm Ridge,2020-08-25,2020-08-25,2020,8,189.0,daily,Elm Ridge Hike+Bike RAW (1).csv,aggregated,0,0,aggregated_daily_from_hourly; source_records=24
Elm Ridge,2020-08-26,2020-08-26,2020,8,318.0,daily,Elm Ridge Hike+Bike RAW (1).csv,aggregated,0,0,aggregated_daily_from_hourly; source_records=24
Elm Ridge,2020-08-27,2020-08-27,2020,8,46.0,daily,Elm Ridge Hike+Bike RAW (1).csv,aggregated,0,0,aggregated_daily_from_hourly; source_records=24
Elm Ridge,2020-08-28,2020-08-28,2020,8,285.0,daily,Elm Ridge Hike+Bike RAW (1).csv,aggregated,0,0,aggregated_daily_from_hourly; source_records=24
Elm Ridge,2020-08-29,2020-08-29,2020,8,161.0,daily,Elm Ridge Hike+Bike RAW (1).csv,aggregated,0,0,aggregated_daily_from_hourly; source_records=24
Elm Ridge,2020-08-30,2020-08-30,2020,8,435.0,daily,Elm Ridge Hike+Bike RAW (1).csv,aggregated,0,0,aggregated_daily_from_hourly; source_records=24
Elm Ridge,2020-08-31,2020-08-31,2020,8,169.0,daily,Elm Ridge Hike+Bike RAW (1).csv,aggregated,0,0,aggregated_daily_from_hourly; source_records=24
Elm Ridge,2020-09-01,2020-09-01,2020,9,123.0,daily,Elm Ridge Hike+Bike RAW (1).csv,aggregated,0,0,aggregated_daily_from_hourly; source_records=23
Elm Ridge,2020-09-02,2020-09-02,2020,9,19.0,daily,Elm Ridge Hike+Bike RAW (1).csv,aggregated,0,0,aggregated_daily_from_hourly; source_records=24
Elm Ridge,2020-09-03,2020-09-03,2020,9,186.0,daily,Elm Ridge Hike+Bike RAW (1).csv,aggregated,0,0,aggregated_daily_from_hourly; source_records=24
Elm Ridge,2020-09-04,2020-09-04,2020,9,245.0,daily,Elm Ridge Hike+Bike RAW (1).csv,aggregated,0,0,aggregated_daily_from_hourly; source_records=24
Elm Ridge,2020-09-05,2020-09-05,2020,9,614.0,daily,Elm Ridge Hike+Bike RAW (1).csv,aggregated,0,0,aggregated_daily_from_hourly; source_records=24
Elm Ridge,2020-09-06,2020-09-06,2020,9,474.0,daily,Elm Ridge Hike+Bike RAW (1).csv,aggregated,0,0,aggregated_daily_from_hourly; source_records=24
Elm Ridge,2020-09-07,2020-09-07,2020,9,339.0,daily,Elm Ridge Hike+Bike RAW (1).csv,aggregated,0,0,aggregated_daily_from_hourly; source_records=24
Elm Ridge,2020-09-08,2020-09-08,2020,9,99.0,daily,Elm Ridge Hike+Bike RAW (1).csv,aggregated,0,0,aggregated_daily_from_hourly; source_records=24
Elm Ridge,2020-09-09,2020-09-09,2020,9,123.0,daily,Elm Ridge Hike+Bike RAW (1).csv,aggregated,0,0,aggregated_daily_from_hourly; source_records=24
Elm Ridge,2020-09-10,2020-09-10,2020,9,33.0,daily,Elm Ridge Hike+Bike RAW (1).csv,aggregated,0,0,aggregated_daily_from_hourly; source_records=24
Elm Ridge,2020-09-11,2020-09-11,2020,9,136.0,daily,Elm Ridge Hike+Bike RAW (1).csv,aggregated,0,0,aggregated_daily_from_hourly; source_records=24
Elm Ridge,2020-09-12,2020-09-12,2020,9,319.0,daily,Elm Ridge Hike+Bike RAW (1).csv,aggregated,0,0,aggregated_daily_from_hourly; source_records=24
Elm Ridge,2020-09-13,2020-09-13,2020,9,211.0,daily,Elm Ridge Hike+Bike RAW (1).csv,aggregated,0,0,aggregated_daily_from_hourly; source_records=24
Elm Ridge,2020-09-14,2020-09-14,2020,9,76.0,daily,Elm Ridge Hike+Bike RAW (1).csv,aggregated,0,0,aggregated_daily_from_hourly; source_records=24
Elm Ridge,2020-09-15,2020-09-15,2020,9,99.0,daily,Elm Ridge Hike+Bike RAW (1).csv,aggregated,0,0,aggregated_daily_from_hourly; source_records=24
Elm Ridge,2020-09-16,2020-09-16,2020,9,105.0,daily,Elm Ridge Hike+Bike RAW (1).csv,aggregated,0,0,aggregated_daily_from_hourly; source_records=24
Elm Ridge,2020-09-17,2020-09-17,2020,9,96.0,daily,Elm Ridge Hike+Bike RAW (1).csv,aggregated,0,0,aggregated_daily_from_hourly; source_records=24
Elm Ridge,2020-09-18,2020-09-18,2020,9,127.0,daily,Elm Ridge Hike+Bike RAW (1).csv,aggregated,0,0,aggregated_daily_from_hourly; source_records=24
Elm Ridge,2020-09-19,2020-09-19,2020,9,429.0,daily,Elm Ridge Hike+Bike RAW (1).csv,aggregated,0,0,aggregated_daily_from_hourly; source_records=24
Elm Ridge,2020-09-20,2020-09-20,2020,9,249.0,daily,Elm Ridge Hike+Bike RAW (1).csv,aggregated,0,0,aggregated_daily_from_hourly; source_records=24
Elm Ridge,2020-09-21,2020-09-21,2020,9,143.0,daily,Elm Ridge Hike+Bike RAW (1).csv,aggregated,0,0,aggregated_daily_from_hourly; source_records=24
Elm Ridge,2020-09-22,2020-09-22,2020,9,109.0,daily,Elm Ridge Hike+Bike RAW (1).csv,aggregated,0,0,aggregated_daily_from_hourly; source_records=24
Elm Ridge,2020-09-23,2020-09-23,2020,9,93.0,daily,Elm Ridge Hike+Bike RAW (1).csv,aggregated,0,0,aggregated_daily_from_hourly; source_records=24
Elm Ridge,2020-09-24,2020-09-24,2020,9,60.0,daily,Elm Ridge Hike+Bike RAW (1).csv,aggregated,0,0,aggregated_daily_from_hourly; source_records=24
Elm Ridge,2020-09-25,2020-09-25,2020,9,169.0,daily,Elm Ridge Hike+Bike RAW (1).csv,aggregated,0,0,aggregated_daily_from_hourly; source_records=24
Elm Ridge,2020-09-26,2020-09-26,2020,9,512.0,daily,Elm Ridge Hike+Bike RAW (1).csv,aggregated,0,0,aggregated_daily_from_hourly; source_records=24
Elm Ridge,2020-09-27,2020-09-27,2020,9,462.0,daily,Elm Ridge Hike+Bike RAW (1).csv,aggregated,0,0,aggregated_daily_from_hourly; source_records=24
