geometry_file,alltrails_trail_name,geometry_key,geometry_point_count,geometry_latitude,geometry_longitude,geometry_min_latitude,geometry_max_latitude,geometry_min_longitude,geometry_max_longitude,geometry_mean_elevation
Acra_Point_via_Black_Dome_Range_Trail_to_Escarpment_Trail.js,Acra Point via Black Dome Range Trail to Escarpment Trail,acrapointviablackdomerangetrailtoescarpmenttrail,1169,42.28865,-74.10419,42.27513,42.30077,-74.11602,-74.09718,826.3875106928999
Alder_Lake_Loop.js,Alder Lake Loop,alderlakeloop,555,42.0498,-74.68015,42.0466,42.0519,-74.68836,-74.67169,679.854054054054
Ashokan_High_Point_Trail.js,Ashokan High Point Trail,ashokanhighpointtrail,304,41.924054999999996,-74.299515,41.91289,41.93597,-74.328,-74.28734,618.421052631579
Balsam_Lake_Mountain_via_Dry_Brook_Ridge_Trail.js,Balsam Lake Mountain via Dry Brook Ridge Trail,balsamlakemountainviadrybrookridgetrail,902,42.039145000000005,-74.59355,42.02394,42.04693,-74.59968,-74.58287,964.7250554323725
Balsam_Mountain_from_Rider_Hollow_Rd.js,Balsam Mountain from Rider Hollow Rd,balsammountainfromriderhollowrd,1245,42.09714,-74.50087,42.08479,42.10449,-74.51684,-74.48806,841.5847389558232
Belleayre_Mountain_via_Lost_Clove_and_Belleayre_Ridge.js,Belleayre Mountain via Lost Clove and Belleayre Ridge,belleayremountainvialostcloveandbelleayreridge,1329,42.11455,-74.48881,42.1055,42.12341,-74.51212,-74.46962,854.5364936042137
Big_Indian_Summit_and_Fir_Mountain.js,Big Indian Summit and Fir Mountain,bigindiansummitandfirmountain,1726,42.02251,-74.484115,41.99131,42.03609,-74.50003,-74.46897,909.7346465816918
Cabot_Mountain_via_Beech_Hill_Road.js,Cabot Mountain via Beech Hill Road,cabotmountainviabeechhillroad,699,42.05554,-74.76962,42.05057,42.05754,-74.77897,-74.76011,842.5393419170243
Elm_Ridge_Trail_Loop.js,Elm Ridge Trail Loop,elmridgetrailloop,1514,42.30485,-74.18420499999999,42.2929,42.31293,-74.19633,-74.17418,660.672391017173
Friday_Mountain_and_Balsam_Cap_from_Moon_Haw_Road.js,Friday Mountain and Balsam Cap from Moon Haw Road,fridaymountainandbalsamcapfrommoonhawroad,1433,41.9866,-74.35115,41.97716,41.98867,-74.36095,-74.3276,798.9532449406839
Giant_Ledge_and_Panther_Mountain_Trail.js,Giant Ledge and Panther Mountain Trail,giantledgeandpanthermountaintrail,1691,42.04087,-74.39476,42.02618,42.05857,-74.40373,-74.39089,931.0898876404494
Hunter_Mountain_Loop_via_Devils_Path.js,Hunter Mountain Loop via Devil's Path,huntermountainloopviadevilspath,2022,42.17075,-74.21591,42.15772,42.18353,-74.23095,-74.19682,906.864490603363
Hunter_Mountain_via_Spruceton_Horse_Trail.js,Hunter Mountain via Spruceton Horse Trail,huntermountainviasprucetonhorsetrail,1929,42.17773,-74.24182,42.16537,42.19287,-74.27234,-74.22184,951.1503369621565
Indian_Head_Mountain_Twin_Mountain_Plateau_Mountain_via_Devils_Path.js,"Indian Head Mountain, Twin Mountain, Plateau Mountain via Devil's Path",indianheadmountaintwinmountainplateaumountainviadevilspath,2929,42.12839,-74.12604,42.11367,42.13957,-74.17422,-74.08605,922.5541140320929
Lone_Table_and_Peekamoose_Mountains.js,"Lone, Table, and Peekamoose Mountains",lonetableandpeekamoosemountains,2112,41.969229999999996,-74.41926000000001,41.95289,41.9753,-74.4524,-74.39003,885.611268939394
MongaupHardenburgh_Trail.js,Mongaup-Hardenburgh Trail,mongauphardenburghtrail,443,41.9855,-74.66191,41.95844,42.01237,-74.68845,-74.62229,823.1467268623024
Mount_Sherrill_via_Shaft_Road.js,Mount Sherrill via Shaft Road,mountsherrillviashaftroad,1127,42.17169,-74.38737,42.16489,42.17561,-74.40879,-74.37276,816.0984915705412
Mount_Tremper_Trail.js,Mount Tremper Trail,mounttrempertrail,1165,42.07055,-74.29296,42.06601,42.07554,-74.30321,-74.27774,511.67296137339054
Onteora_Lake_Trail.js,Onteora Lake Trail,onteoralaketrail,1384,41.991545,-74.07478499999999,41.98198,41.99854,-74.08287,-74.0613,162.6799132947977
Overlook_Mountain_Trail.js,Overlook Mountain Trail,overlookmountaintrail,765,42.0801,-74.10807,42.07074,42.08539,-74.1227,-74.09145,769.754248366013
Plateau_and_Sugarloaf_via_Mink_Hollow_Road.js,Plateau and Sugarloaf via Mink Hollow Road,plateauandsugarloafviaminkhollowroad,1341,42.13685,-74.16102,42.13087,42.14333,-74.17416,-74.15011,938.5809097688292
Russel_Brook_Falls.js,Russel Brook Falls,russelbrookfalls,105,41.99527,-74.94123,41.99435,41.99575,-74.94168,-74.94011,548.0095238095238
Slide_Mountain_Trail.js,Slide Mountain Trail,slidemountaintrail,1406,42.00081,-74.41003,41.99348,42.00867,-74.42766,-74.3851,1027.554054054054
Snowmobile_Mud_Pond_and_Cables_Lake_Road_Loop.js,"Snowmobile, Mud Pond, and Cables Lake Road Loop",snowmobilemudpondandcableslakeroadloop,998,42.002515,-74.9497,41.99445,42.01277,-74.957,-74.9401,644.813627254509
Split_Rock_Lookout_via_Mary_Smith_Hill_Trail_Pelnor_Hollow_Trail.js,Split Rock Lookout via Mary Smith Hill Trail (Pelnor Hollow Trail),splitrocklookoutviamarysmithhilltrailpelnorhollowtrail,535,42.03542,-74.8575,42.03254,42.03879,-74.86566,-74.84741,748.4990654205608
Table_Mountain_and_Peekamoose_Mountain.js,Table Mountain and Peekamoose Mountain,tablemountainandpeekamoosemountain,2205,41.94366,-74.41551,41.91502,41.95928,-74.42923,-74.39772,860.534693877551
Vernooy_Falls_Trail.js,Vernooy Falls Trail,vernooyfallstrail,683,41.86885,-74.35916,41.86409,41.87403,-74.37126,-74.34586,479.0849194729136
West_Kill_Mountain_to_Buck_Ridge_Lookout.js,West Kill Mountain to Buck Ridge Lookout,westkillmountaintobuckridgelookout,1409,42.17084,-74.26872,42.16654,42.1825,-74.28953,-74.25765,932.9091554293825
Windham_High_Peak_via_Escarpment_Trail.js,Windham High Peak via Escarpment Trail,windhamhighpeakviaescarpmenttrail,1467,42.30906,-74.16612,42.30655,42.31488,-74.18968,-74.1433,794.2331288343559
