location,alltrails_url,other_alltrails_urls,crosswalk_confidence,included_in_app,crosswalk_human_notes,crosswalk_computer_notes,url_slug,url_key,geometry_file,geometry_match_score,geometry_match_method,alltrails_trail_name,geometry_point_count,geometry_latitude,geometry_longitude,geometry_min_latitude,geometry_max_latitude,geometry_min_longitude,geometry_max_longitude,geometry_mean_elevation,manual_latitude,manual_longitude,manual_location_notes,model_latitude,model_longitude,coordinate_source
All Canister Peaks,,,,,,,,,,,,,,,,,,,,,,,,,,Needs coordinates
Bangle Hill,,,low,N,,"DEC name appears to be a point/area, not a standalone AllTrails route.",,,,,no_valid_crosswalk_url,,,,,,,,,,,,,,,Needs coordinates
Batavia Kill,https://www.alltrails.com/trail/us/new-york/black-dome-and-thomas-cole-mountain-from-batavia-kill-and-black-dome-range-trails,1) https://www.alltrails.com/trail/us/new-york/escarpment-trail-et-schutt-rd-to-batavia-kill-lean-to 2) https://www.alltrails.com/trail/us/new-york/the-long-path-lp-batavia-kill-to-ny-route-23 3) https://www.alltrails.com/trail/us/new-york/the-long-path-lp-north-lake-state-campground-to-batavia-kill,High,,,Direct trail-page match; verify route geometry against the DEC counter/trailhead.,black-dome-and-thomas-cole-mountain-from-batavia-kill-and-black-dome-range-trails,blackdomeandthomascolemountainfrombataviakillandblackdomerangetrails,,0.49122807017543857,crosswalk_only_no_download,,,,,,,,,,,,,,,Needs coordinates
Beaverkill Road to BLM FT,https://www.alltrails.com/trail/us/new-york/little-pond-beaverkill-overlook-cabot-mountain-loop,https://www.alltrails.com/trail/us/new-york/long-pond-beaverkill-ridge-trail,High,,,Direct trail-page match; verify route geometry against the DEC counter/trailhead.,little-pond-beaverkill-overlook-cabot-mountain-loop,littlepondbeaverkilloverlookcabotmountainloop,,0.5151515151515151,crosswalk_only_no_download,,,,,,,,,,,,,,,Needs coordinates
Becker Hollow,https://www.alltrails.com/trail/us/new-york/hunter-mountain-via-becker-hollow-trail,,High,,,Direct trail-page match; verify route geometry against the DEC counter/trailhead.,hunter-mountain-via-becker-hollow-trail,huntermountainviabeckerhollowtrail,,0.7142857142857143,crosswalk_only_no_download,,,,,,,,,,,,,,,Needs coordinates
Big Pond East,https://www.alltrails.com/trail/us/new-york/big-pond-to-little-pond-via-touch-me-not-trail,,High,,,Direct trail-page match; verify route geometry against the DEC counter/trailhead.,big-pond-to-little-pond-via-touch-me-not-trail,bigpondtolittlepondviatouchmenottrail,,0.5142857142857142,crosswalk_only_no_download,,,,,,,,,,,,,,,Needs coordinates
Big Pond West,?,"https://www.alltrails.com/trail/us/new-york/alder-lake-via-touch-me-not-trail
",High,,,Direct trail-page match; verify route geometry against the DEC counter/trailhead.,,,,,no_valid_crosswalk_url,,,,,,,,,,,,,,,Needs coordinates
Biscuit Brook,?,??,High,,,Direct trail-page match; verify route geometry against the DEC counter/trailhead.,,,,,no_valid_crosswalk_url,,,,,,,,,,,,,,,Needs coordinates
Bouchoux Trail,,,Low,,,No indexed direct AllTrails trail page could be confirmed; URL intentionally left blank to avoid a possible 404.,,,,,no_valid_crosswalk_url,,,,,,,,,,,,,,,Needs coordinates
Boulder Rock,https://www.alltrails.com/trail/us/new-york/inspiration-point-to-katerskill-falls-loop,https://www.alltrails.com/trail/us/new-york/artists-rock-and-sunset-rock-via-escarpment-trail,Medium,,,Verified routes in the North–South Lake/Boulder Rock area; compare the map with the DEC counter.,inspiration-point-to-katerskill-falls-loop,inspirationpointtokaterskillfallsloop,,0.37735849056603776,crosswalk_only_no_download,,,,,,,,,,,,,,,Needs coordinates
Campbell Brook,https://www.alltrails.com/trail/us/new-york/campbell-mountain-via-mary-smith-trail,,Medium,,,"Verified Campbell Mountain-area route; DEC label names the brook, so confirm the route crosses the counter.",campbell-mountain-via-mary-smith-trail,campbellmountainviamarysmithtrail,,0.6111111111111112,crosswalk_only_no_download,,,,,,,,,,,,,,,Needs coordinates
Campbell Mt,https://www.alltrails.com/trail/us/new-york/campbell-mountain-via-mary-smith-trail,,High,,,Verified as an indexed direct AllTrails trail page; confirm the route passes the DEC counter/trailhead.,campbell-mountain-via-mary-smith-trail,campbellmountainviamarysmithtrail,,0.6111111111111112,crosswalk_only_no_download,,,,,,,,,,,,,,,Needs coordinates
Cathedral Glen,https://www.alltrails.com/trail/us/new-york/north-lake-south-lake-trail-2,,Medium,,,Verified North–South Lake route near Cathedral Glen; confirm the precise counter location.,north-lake-south-lake-trail-2,northlakesouthlaketrail2,,0.65,crosswalk_only_no_download,,,,,,,,,,,,,,,Needs coordinates
Catskill Mt. House,https://www.alltrails.com/trail/us/new-york/inspiration-point-to-katerskill-falls-loop,https://www.alltrails.com/trail/us/new-york/artists-rock-and-sunset-rock-via-escarpment-trail,Medium,,,Verified routes serving the Catskill Mountain House/escapement area.,inspiration-point-to-katerskill-falls-loop,inspirationpointtokaterskillfallsloop,,0.37735849056603776,crosswalk_only_no_download,,,,,,,,,,,,,,,Needs coordinates
Colgate Lake (Dutcher Notch),https://www.alltrails.com/trail/us/new-york/colgate-trail--2,https://www.alltrails.com/trail/us/new-york/escarpment-trail-to-burnt-knob,Medium,,,Verified Colgate/Escarpment-area pages; confirm which route crosses the Dutcher Notch counter.,colgate-trail--2,colgatetrail2,,0.6206896551724138,crosswalk_only_no_download,,,,,,,,,,,,,,,Needs coordinates
Denning,https://www.alltrails.com/trail/us/new-york/slide-cornell-and-wittenberg-mountains,https://www.alltrails.com/trail/us/new-york/table-mountain-and-peekamoose-mountain,Medium,,https://www.alltrails.com/trail/us/new-york/lone-table-and-peekamoose-mountains seems to come off Denning road maybe https://www.alltrails.com/trail/us/new-york/red-hill-firetower-from-denning-road,Two verified routes accessible from the broader Denning area; select by DEC counter coordinates.,slide-cornell-and-wittenberg-mountains,slidecornellandwittenbergmountains,,0.5846153846153846,crosswalk_only_no_download,,,,,,,,,,,,,,,Needs coordinates
Diamond Notch (Lanesville),,,Low,,,"The trail title is indexed, but a direct trail-page URL could not be independently confirmed; left blank to avoid a possible 404.",,,,,no_valid_crosswalk_url,,,,,,,,,,,,,,,Needs coordinates
Eagle,https://www.alltrails.com/trail/us/new-york/belleayre-balsam-haynes-and-eagle-mountains,https://www.alltrails.com/trail/us/new-york/balsam-haynes-eagle-big-indian-and-fir-peaks-loop,Medium,,These two links start at different places,Verified routes include Eagle Mountain; choose the approach matching the counter.,belleayre-balsam-haynes-and-eagle-mountains,belleayrebalsamhaynesandeaglemountains,,0.5217391304347826,crosswalk_only_no_download,,,,,,,,,,,,,,,Needs coordinates
East Windham,https://www.alltrails.com/trail/us/new-york/windham-trail,,Medium,Y,,Verified Windham-area routes; confirm the East Windham access point.,windham-trail,windhamtrail,,0.5333333333333333,crosswalk_only_no_download,,,,,,,,,,,,,,,Needs coordinates
Fir,https://www.alltrails.com/trail/us/new-york/balsam-haynes-eagle-big-indian-and-fir-peaks-loop,,Medium,,,Verified multi-peak route includes Fir Mountain.,balsam-haynes-eagle-big-indian-and-fir-peaks-loop,balsamhayneseaglebigindianandfirpeaksloop,,0.45714285714285713,crosswalk_only_no_download,,,,,,,,,,,,,,,Needs coordinates
Frick Pond,https://www.alltrails.com/trail/us/new-york/mongaup-mountain-loop,,Medium,,,Verified Willowemoc-area route whose indexed nearby trails include Frick Pond; confirm map overlap.,mongaup-mountain-loop,mongaupmountainloop,,0.5714285714285714,crosswalk_only_no_download,,,,,,,,,,,,,,,Needs coordinates
Halcott,,,Low,,,No indexed direct AllTrails trail page could be confirmed; URL intentionally left blank.,,,,,no_valid_crosswalk_url,,,,,,,,,,,,,,,Needs coordinates
Harding Road Trail,https://www.alltrails.com/trail/us/new-york/palenville-overlook-and-sleepy-hollow-loop,,High,,,Verified AllTrails page titled Palenville Overlook via Harding Road.,palenville-overlook-and-sleepy-hollow-loop,palenvilleoverlookandsleepyhollowloop,,0.44,crosswalk_only_no_download,,,,,,,,,,,,,,,Needs coordinates
Hill Road (Huckleberry Loop N),,,Low,,,"Huckleberry Loop is indexed by title, but its direct trail-page URL could not be independently confirmed.",,,,,no_valid_crosswalk_url,,,,,,,,,,,,,,,Needs coordinates
Holiday & Berry Brook Road,https://www.alltrails.com/trail/us/new-york/campbell-mountain-via-mary-smith-trail,https://www.alltrails.com/trail/us/new-york/little-pond-and-touchmenot-mountain-loop,Medium,,,Verified routes in the Mary Smith/Holiday Brook area; confirm the road-end counter.,campbell-mountain-via-mary-smith-trail,campbellmountainviamarysmithtrail,,0.6111111111111112,crosswalk_only_no_download,,,,,,,,,,,,,,,Needs coordinates
Huckleberry Loop Trail,,,Low,,,"Huckleberry Loop is indexed by title, but its direct trail-page URL could not be independently confirmed.",,,,,no_valid_crosswalk_url,,,,,,,,,,,,,,,Needs coordinates
Huggins Lake Trail,,,Low,,,"Huggins Lake Trail is indexed by title, but its direct trail-page URL could not be independently confirmed.",,,,,no_valid_crosswalk_url,,,,,,,,,,,,,,,Needs coordinates
Kaaterskill Falls,https://www.alltrails.com/trail/us/new-york/katterskill-falls-from-laurel-house-road,https://www.alltrails.com/trail/us/new-york/inspiration-point-and-kaaterskill-falls-loop,High,,,Verified as an indexed direct AllTrails trail page; confirm the route passes the DEC counter/trailhead.,katterskill-falls-from-laurel-house-road,katterskillfallsfromlaurelhouseroad,,0.39473684210526316,crosswalk_only_no_download,,,,,,,,,,,,,,,Needs coordinates
Kaaterskill High Peak,https://www.alltrails.com/trail/us/new-york/katterskill-falls-from-laurel-house-road,https://www.alltrails.com/trail/us/new-york/inspiration-point-and-kaaterskill-falls-loop,Low,,Both these trails go to the high peak but inspiration point iis a longer loop,"Kaaterskill High Peak Trail is indexed by title, but its direct trail-page URL could not be independently confirmed.",katterskill-falls-from-laurel-house-road,katterskillfallsfromlaurelhouseroad,,0.39473684210526316,crosswalk_only_no_download,,,,,,,,,,,,,,,Needs coordinates
Kelly Hollow,,,Low,,,"Kelly Hollow routes are indexed by title, but direct trail-page URLs could not be independently confirmed.",,,,,no_valid_crosswalk_url,,,,,,,,,,,,,,,Needs coordinates
Lane Street,,,Low,,,DEC label names a street/trailhead and no indexed direct AllTrails trail page could be confirmed.,,,,,no_valid_crosswalk_url,,,,,,,,,,,,,,,Needs coordinates
Layman's Monument,https://www.alltrails.com/trail/us/new-york/inspiration-point-to-katerskill-falls-loop,https://www.alltrails.com/trail/us/new-york/inspiration-point-and-kaaterskill-falls-via-kaaterskill-rail-trail,High,,,Verified as an indexed direct AllTrails trail page; confirm the route passes the DEC counter/trailhead.,inspiration-point-to-katerskill-falls-loop,inspirationpointtokaterskillfallsloop,,0.37735849056603776,crosswalk_only_no_download,,,,,,,,,,,,,,,Needs coordinates
Little Pond Campground,https://www.alltrails.com/trail/us/new-york/little-pond-and-touchmenot-mountain-loop,https://www.alltrails.com/trail/us/new-york/big-pond-to-little-pond-via-touch-me-not-trail,High,,,Verified as an indexed direct AllTrails trail page; confirm the route passes the DEC counter/trailhead.,little-pond-and-touchmenot-mountain-loop,littlepondandtouchmenotmountainloop,,0.5882352941176471,crosswalk_only_no_download,,,,,,,,,,,,,,,Needs coordinates
Little Pond Loop,https://www.alltrails.com/trail/us/new-york/little-pond-and-touchmenot-mountain-loop,,Medium,,,Verified direct page in the Little Pond campground; standalone loop URL was not independently confirmed.,little-pond-and-touchmenot-mountain-loop,littlepondandtouchmenotmountainloop,,0.5882352941176471,crosswalk_only_no_download,,,,,,,,,,,,,,,Needs coordinates
Long Path North,,,Low,,,Broad DEC segment label; no single indexed direct AllTrails trail page could be confirmed.,,,,,no_valid_crosswalk_url,,,,,,,,,,,,,,,Needs coordinates
Long Pond,,,Low,,,"Long Pond via Beaverkill Ridge is indexed by title, but its direct trail-page URL could not be independently confirmed.",,,,,no_valid_crosswalk_url,,,,,,,,,,,,,,,Needs coordinates
Mary's Glen,https://www.alltrails.com/trail/us/new-york/inspiration-point-and-kaaterskill-falls-loop,,Medium,,,Verified Kaaterskill/North–South Lake route; confirm it crosses the Mary's Glen counter.,inspiration-point-and-kaaterskill-falls-loop,inspirationpointandkaaterskillfallsloop,,0.38961038961038963,crosswalk_only_no_download,,,,,,,,,,,,,,,Needs coordinates
Mountain TPKE Horse Trail,https://www.alltrails.com/trail/us/new-york/south-plattekill-via-plattekill-turnpike,,Medium,,,Verified Plattekill Turnpike route; confirm it is the DEC horse-trail segment.,south-plattekill-via-plattekill-turnpike,southplattekillviaplattekillturnpike,,0.45901639344262296,crosswalk_only_no_download,,,,,,,,,,,,,,,Needs coordinates
Ploutz Rd (Huckleberry Loop S),,,Low,,,"Huckleberry Loop is indexed by title, but its direct trail-page URL could not be independently confirmed.",,,,,no_valid_crosswalk_url,,,,,,,,,,,,,,,Needs coordinates
Prediger Road,https://www.alltrails.com/trail/us/new-york/devils-path-east-to-west--3,https://www.alltrails.com/trail/us/new-york/indian-head-mountain-twin-mountain-plateau-mountain-via-devil-s-path,Medium,,,Verified routes use the Prediger Road trailhead.,devils-path-east-to-west--3,devilspatheasttowest3,,0.38461538461538464,crosswalk_only_no_download,,,,,,,,,,,,,,,Needs coordinates
