location,edge_uid,edge_column,training_months,pearson_correlation,spearman_correlation,absolute_pearson,mean_monthly_trips,first_training_month,last_training_month
Elm Ridge,511044745,edge_511044745,50,0.9236165081452375,0.4515036515586621,0.9236165081452375,1432.6,2021-01-01,2025-02-01
Elm Ridge,511050199,edge_511050199,50,0.7228669597195839,-0.004254399721582832,0.7228669597195839,160.0,2021-01-01,2025-02-01
Elm Ridge,510971725,edge_510971725,50,0.7206078830022022,0.035698842729147556,0.7206078830022022,743.6,2021-01-01,2025-02-01
Elm Ridge,510971726,edge_510971726,50,0.7206069617077545,0.03626930560938639,0.7206069617077545,692.9,2021-01-01,2025-02-01
Elm Ridge,510971730,edge_510971730,50,0.7143327502249943,0.008912484811433322,0.7143327502249943,565.2,2021-01-01,2025-02-01
Elm Ridge,510971731,edge_510971731,50,0.7126706045050749,-0.02118868054314142,0.7126706045050749,547.7,2021-01-01,2025-02-01
Elm Ridge,510971745,edge_510971745,50,0.7102525230200355,0.02250672562166656,0.7102525230200355,817.9,2021-01-01,2025-02-01
Elm Ridge,510971785,edge_510971785,50,0.7094051292267246,0.038291534941801396,0.7094051292267246,862.7,2021-01-01,2025-02-01
Elm Ridge,510971740,edge_510971740,50,0.7078190207778237,0.08473069872523784,0.7078190207778237,828.2,2021-01-01,2025-02-01
Elm Ridge,511052050,edge_511052050,50,0.7074256520340212,0.18721922359541734,0.7074256520340212,141.7,2021-01-01,2025-02-01
Elm Ridge,510971742,edge_510971742,50,0.7052441046556907,0.0027141930687818953,0.7052441046556907,739.2,2021-01-01,2025-02-01
Elm Ridge,511050224,edge_511050224,50,0.6970753795066977,-0.061491884550139056,0.6970753795066977,170.1,2021-01-01,2025-02-01
Elm Ridge,510740787,edge_510740787,50,0.6896475143510503,0.1559377403797859,0.6896475143510503,1212.9,2021-01-01,2025-02-01
Elm Ridge,510740538,edge_510740538,50,0.6822820184369088,0.13788298925989964,0.6822820184369088,1163.0,2021-01-01,2025-02-01
Elm Ridge,511043291,edge_511043291,50,0.6797152671169955,0.18168713624429525,0.6797152671169955,142.5,2021-01-01,2025-02-01
Elm Ridge,510740535,edge_510740535,50,0.6774583329778965,0.12925857055399817,0.6774583329778965,1028.6,2021-01-01,2025-02-01
Elm Ridge,511043264,edge_511043264,50,0.6766835936238672,0.07206486292120323,0.6766835936238672,157.8,2021-01-01,2025-02-01
Elm Ridge,510723193,edge_510723193,50,0.6693559337699552,0.15473222892165697,0.6693559337699552,137.7,2021-01-01,2025-02-01
Elm Ridge,511023922,edge_511023922,50,0.663387364296244,0.1221181568873398,0.663387364296244,1392.1,2021-01-01,2025-02-01
Elm Ridge,510994087,edge_510994087,50,0.6632797222453228,-0.04826542518686048,0.6632797222453228,665.8,2021-01-01,2025-02-01
Elm Ridge,510723843,edge_510723843,50,0.6628889303414506,0.15290086073131556,0.6628889303414506,95.2,2021-01-01,2025-02-01
Elm Ridge,512427059,edge_512427059,50,0.6614026587616183,0.06463959404674868,0.6614026587616183,224.1,2021-01-01,2025-02-01
Elm Ridge,510722825,edge_510722825,50,0.6569049168127701,0.04785355726246678,0.6569049168127701,1221.2,2021-01-01,2025-02-01
Elm Ridge,510723189,edge_510723189,50,0.6540654948153297,0.1272768500454806,0.6540654948153297,179.4,2021-01-01,2025-02-01
Elm Ridge,510722823,edge_510722823,50,0.6537220348930896,0.02764368237355345,0.6537220348930896,1220.6,2021-01-01,2025-02-01
