frequency,model,best_alpha,train_rows,test_rows,eligible_locations,n,MAE,RMSE,R2,sMAPE_pct,bias
hourly,Previous observation,,39092,9773,1,9773,1.4904328251304615,3.536192257786251,0.45430808234445597,51.20052163022264,0.0
hourly,Seasonal naive,,39092,9773,1,9773,2.0266039087281285,4.859933144481773,-0.03070972414730555,60.16644053209935,0.00020464545175483476
hourly,Ridge calendar + history,1000.0,39092,9773,1,9773,1.461680391727919,6.148861699051744,-0.6499289141510096,107.67463594528988,-0.4810091641215585
daily,Previous observation,,1618,405,1,405,33.05925925925926,51.55993755323824,0.05248750159288251,80.59393289302564,0.04691358024691358
daily,Seasonal naive,,1618,405,1,405,28.750617283950618,42.732356838672665,0.3491605421362297,78.94004476300321,-0.21728395061728395
daily,Ridge calendar + history,0.1,1618,405,1,405,22.499742541201705,36.15562542332513,0.5340793718820191,61.46938489007715,-11.478596732486992
monthly,Previous observation,,15968,4031,83,4031,66.75389813148102,158.34335931873824,0.6684437157997849,50.384216781343504,0.9061010300173654
monthly,Seasonal naive,,15968,4031,83,4031,63.06194534284297,151.34016538449637,0.6971232312390983,47.09550660603532,6.622763463904738
monthly,Ridge calendar + history,0.1,15968,4031,83,4031,150.84643406441566,1216.9613568735454,-18.58443878435762,49.818121188955516,90.04718250890811
yearly,Previous observation,,1441,396,93,396,621.2637313181818,1314.4610085869085,0.6254746969489475,47.94620786390628,274.08281725757575
yearly,Seasonal naive,,1441,396,93,396,621.2637313181818,1314.4610085869085,0.6254746969489475,47.94620786390628,274.08281725757575
yearly,Ridge calendar + history,0.1,1441,396,93,396,1827.5420018942418,8525.022171341092,-14.753490030978964,49.82686112494956,1521.1218878341217
