frequency,location,feature_set,model,test_start,test_end,n,MAE,RMSE,R2,sMAPE_pct,bias
daily,Elm Ridge,History + Strava summary + edge PCA,HistGradientBoosting,2025-03-15 00:00:00,2026-03-31 00:00:00,378,21.883450612301832,34.75539835961745,0.5855155150505795,58.85332417890052,-10.346925817570433
hourly,Elm Ridge,History + Strava summary + edge PCA,HistGradientBoosting,2025-03-14 09:00:00,2026-03-31 23:00:00,9025,1.2514958642148113,2.989552663403588,0.6312507630735191,142.80626460647227,-0.4855556033475149
monthly,Bangle Hill,Baseline (same Strava window),Seasonal naive,2025-06-01 00:00:00,2026-03-01 00:00:00,10,0.0,0.0,1.0,0.0,0.0
monthly,Cathedral Glen,Baseline (same Strava window),Seasonal naive,2025-11-01 00:00:00,2026-03-01 00:00:00,5,0.0,0.0,1.0,0.0,0.0
monthly,Trails End Road,Baseline (same Strava window),Seasonal naive,2025-07-01 00:00:00,2026-03-01 00:00:00,9,0.0,0.0,1.0,0.0,0.0
monthly,Upper Cherrytown Road,Baseline (same Strava window),Seasonal naive,2025-08-01 00:00:00,2026-03-01 00:00:00,8,0.0,0.0,1.0,0.0,0.0
monthly,Neversink Hardenburgh Trail,Baseline (same Strava window),Seasonal naive,2025-12-01 00:00:00,2026-03-01 00:00:00,4,0.44560175,0.5383972226514082,0.6054561397281508,8.90539677780299,0.2858797500000001
monthly,Flynn,Baseline (same Strava window),Seasonal naive,2025-12-01 00:00:00,2026-03-01 00:00:00,4,0.5381944999999995,0.6510393441440384,0.9701639732531475,2.6413483922677243,-0.03125
monthly,Hardenburgh- MH Trail,Baseline (same Strava window),Seasonal naive,2025-12-01 00:00:00,2026-03-01 00:00:00,4,0.5277779999999999,0.6940973504808242,0.4637677835748173,11.061152250008096,0.38888900000000004
monthly,Alder Lake,Baseline (same Strava window),Seasonal naive,2025-12-01 00:00:00,2026-03-01 00:00:00,4,0.6701389999999998,0.8551825138205877,0.9896141952499595,1.9079663520417067,0.23263899999999982
monthly,Dry Brook Ridge to Lean-to,Baseline (same Strava window),Seasonal naive,2025-12-01 00:00:00,2026-03-01 00:00:00,4,0.7712195,0.985079378920044,0.9114764185900468,5.294158690414872,0.31597200000000036
monthly,Beaverkill Road to BLM FT,Baseline (same Strava window),Seasonal naive,2025-12-01 00:00:00,2026-03-01 00:00:00,4,1.5821757500000029,1.6160870865924148,0.8438923412462636,3.1454310163199906,-0.6261572500000003
monthly,Lane Street,Baseline (same Strava window),Seasonal naive,2025-12-01 00:00:00,2026-03-01 00:00:00,4,1.5471229999999991,1.7674460795322717,0.7616814242071773,6.4932578829880905,-0.1443449999999995
monthly,Long Pond,Baseline (same Strava window),Seasonal naive,2025-05-01 00:00:00,2026-03-01 00:00:00,11,1.4809524545454549,1.8198244029906492,0.9868205430158814,5.16264095163228,-1.0896102727272723
monthly,Rider Hollow,Baseline (same Strava window),Seasonal naive,2025-12-01 00:00:00,2026-03-01 00:00:00,4,1.4965279999999943,2.104097929020293,0.9859069905180402,1.0704873694028532,0.39930550000000054
monthly,Mongaup Pond,Baseline (same Strava window),Seasonal naive,2025-05-01 00:00:00,2026-03-01 00:00:00,11,1.663203454545455,2.345783541528619,0.9808067222269797,25.58494362198221,1.284848363636364
monthly,Rochester Hollow,Baseline (same Strava window),Seasonal naive,2025-12-01 00:00:00,2026-03-01 00:00:00,4,1.8997687499999998,2.439913346492402,0.779663380311432,2.0712395785820217,-1.6682872499999988
monthly,Kelly Hollow,Baseline (same Strava window),Seasonal naive,2025-12-01 00:00:00,2026-03-01 00:00:00,4,2.565972249999998,2.9574447954888763,0.8586315960602166,3.9312854518129,-2.364583249999999
monthly,Fox Hollow,Baseline (same Strava window),Seasonal naive,2025-12-01 00:00:00,2026-03-01 00:00:00,4,2.2638890000000007,3.2810570183109444,-2.9314205425054514,5.168792032165495,2.1736109999999993
monthly,Biscuit Brook,Baseline (same Strava window),Seasonal naive,2025-09-01 00:00:00,2026-03-01 00:00:00,7,2.905612285714288,3.339203870545666,0.9687673354017179,3.0586023457677043,1.2729591428571447
monthly,Frick Pond,Baseline (same Strava window),Seasonal naive,2025-12-01 00:00:00,2026-03-01 00:00:00,4,3.533234000000002,4.037801420703539,0.9277880466620514,4.991460215774536,-3.533234000000002
monthly,Woodchuck Hollow,Baseline (same Strava window),Seasonal naive,2025-08-01 00:00:00,2026-03-01 00:00:00,8,2.5425595000000003,4.116821706260729,-0.43465478847896577,31.077047795835565,-0.9008930000000002
monthly,Red Hill Dinch Road,Baseline (same Strava window),Seasonal naive,2025-10-01 00:00:00,2026-03-01 00:00:00,6,4.149801500000003,4.512492260410965,0.9978299378464885,4.451550993830945,-0.25231483333333554
monthly,McKenley Hollow,Baseline (same Strava window),Seasonal naive,2025-11-01 00:00:00,2026-03-01 00:00:00,5,3.9805555999999997,4.701839232328855,0.6913467062245473,4.689098709831733,3.747222400000001
monthly,Denning,Baseline (same Strava window),Seasonal naive,2025-12-01 00:00:00,2026-03-01 00:00:00,4,4.531249750000004,4.782695610476302,0.9091826471600002,4.202365980698858,4.531249750000004
monthly,Peekamoose,Baseline (same Strava window),Seasonal naive,2025-09-01 00:00:00,2026-03-01 00:00:00,7,5.806122285714281,6.330084398430536,0.9939323704642689,4.695411748516705,5.806122285714281
monthly,Campbell Mt,Baseline (same Strava window),Seasonal naive,2025-01-01 00:00:00,2025-12-01 00:00:00,12,5.25,7.388053419767167,-2.764367816091954,78.87408886646686,1.25
monthly,Beech Hill Rd,Baseline (same Strava window),Seasonal naive,2025-01-01 00:00:00,2026-01-01 00:00:00,12,5.166666666666667,7.895146188218008,0.48976807639836284,39.31588028427542,-2.5
monthly,Ploutz Rd (Huckleberry Loop S),Baseline (same Strava window),Seasonal naive,2025-01-01 00:00:00,2026-01-01 00:00:00,13,7.3076923076923075,9.017077814219654,0.3830369971264369,61.94632684053649,1.1538461538461537
monthly,Seager,Baseline (same Strava window),Seasonal naive,2025-12-01 00:00:00,2026-03-01 00:00:00,4,8.402777750000002,9.037718888073792,0.1715462420300904,14.07285347767449,8.402777750000002
monthly,German Hollow,Baseline (same Strava window),Seasonal naive,2025-02-01 00:00:00,2026-01-01 00:00:00,12,7.166666666666667,9.44281031614353,-0.9430992736077484,113.23060199244502,-2.3333333333333335
monthly,Huckleberry Loop Trail,Baseline (same Strava window),Seasonal naive,2024-12-01 00:00:00,2025-12-01 00:00:00,12,6.666666666666667,9.840392946083673,0.3906393392474763,60.64361966509263,-4.0
monthly,Mary Smith Hill Road,Baseline (same Strava window),Seasonal naive,2024-12-01 00:00:00,2025-12-01 00:00:00,12,7.333333333333333,10.614455552060438,-0.6193232857570614,51.84838775130971,2.5
monthly,Hill Road (Huckleberry Loop N),Baseline (same Strava window),Seasonal naive,2025-02-01 00:00:00,2026-01-01 00:00:00,12,7.25,10.927793311857004,-0.0437632776934751,37.329792479578224,4.75
monthly,Storks Nest,Baseline (same Strava window),Seasonal naive,2024-10-01 00:00:00,2025-09-01 00:00:00,12,10.25,11.849753865235625,0.14467005076142136,65.24001177175948,2.25
monthly,Rt 206 Cat Hollow,Baseline (same Strava window),Seasonal naive,2025-02-01 00:00:00,2025-12-01 00:00:00,11,9.545454545454545,12.347248497318967,0.04941770586416572,54.411309864886015,-1.1818181818181819
monthly,Huggins Lake Trail,Baseline (same Strava window),Seasonal naive,2025-01-01 00:00:00,2025-12-01 00:00:00,12,9.083333333333334,12.579745625409124,0.42295712947253805,54.69045080915457,7.75
monthly,Big Pond West,Baseline (same Strava window),Seasonal naive,2025-01-01 00:00:00,2026-01-01 00:00:00,13,9.692307692307692,13.553313531838171,0.43589184474487574,57.26529126830896,-4.153846153846154
monthly,Campbell Brook,Baseline (same Strava window),Seasonal naive,2025-01-01 00:00:00,2025-12-01 00:00:00,12,11.25,14.062361110425233,-0.9183508488278092,89.66615090618178,-6.583333333333333
monthly,Colonel's Chair,Baseline (same Strava window),Seasonal naive,2023-02-01 00:00:00,2023-07-01 00:00:00,6,7.333333333333333,15.209646062066446,0.193726401394133,34.70899470760124,-5.333333333333333
monthly,Mountain TPKE Horse Trail,Baseline (same Strava window),Seasonal naive,2023-05-01 00:00:00,2023-12-01 00:00:00,8,11.625,15.260242462031853,-10.394495412844037,100.0950706312595,5.375
monthly,Long Path North,Baseline (same Strava window),Seasonal naive,2024-08-01 00:00:00,2025-06-01 00:00:00,11,14.090909090909092,17.33886858005342,0.3493650509747809,49.411350916910465,-5.7272727272727275
monthly,DRB Margaretville Pakatakan,Baseline (same Strava window),Seasonal naive,2025-02-01 00:00:00,2026-01-01 00:00:00,12,14.0,17.55942292142123,-0.44141804369704274,61.52234104323184,0.0
monthly,Vernooy,Baseline (same Strava window),Seasonal naive,2025-06-01 00:00:00,2026-03-01 00:00:00,10,14.1353968,17.740774815575463,0.9938574824614607,8.539273137803196,-6.506508200000003
monthly,Holiday & Berry Brook Road,Baseline (same Strava window),Seasonal naive,2025-01-01 00:00:00,2025-12-01 00:00:00,12,13.333333333333334,19.02191718343168,-0.3301677261239182,55.64459850823326,5.166666666666667
monthly,Mud Pond Trail,Baseline (same Strava window),Seasonal naive,2024-03-01 00:00:00,2024-12-01 00:00:00,10,14.2,21.06181378704123,-0.37065875664318404,122.9239892008246,-11.4
monthly,Barnum Road,Baseline (same Strava window),Seasonal naive,2024-09-01 00:00:00,2025-07-01 00:00:00,11,20.09090909090909,24.366519503763207,0.6001992297932017,38.796879810107505,11.545454545454545
monthly,Devils Tombstone (Hunter Mtn),Baseline (same Strava window),Seasonal naive,2024-01-01 00:00:00,2024-10-01 00:00:00,10,21.7,25.6963032360688,0.675146732526161,28.611321682342044,-0.1
monthly,Big Pond East,Baseline (same Strava window),Seasonal naive,2025-02-01 00:00:00,2026-01-01 00:00:00,12,19.833333333333332,26.97529734158025,0.14450168594825397,76.91580791047721,-4.333333333333333
monthly,Little Pond Loop,Baseline (same Strava window),Seasonal naive,2024-12-01 00:00:00,2025-11-01 00:00:00,12,18.666666666666668,27.844808013942803,0.8559326736097221,62.7644864230456,-1.6666666666666667
monthly,Colgate Lake (Dutcher Notch),Baseline (same Strava window),Seasonal naive,2024-03-01 00:00:00,2024-12-01 00:00:00,10,22.2,28.29840984931839,0.34644043450938145,36.72603284862077,-11.2
monthly,Harding Road Trail,Baseline (same Strava window),Seasonal naive,2023-06-01 00:00:00,2023-12-01 00:00:00,7,28.571428571428573,29.56832281827487,-3.4256198347107434,34.092360123648,12.857142857142858
monthly,Acra Point,Baseline (same Strava window),Seasonal naive,2025-01-01 00:00:00,2025-11-01 00:00:00,11,23.454545454545453,31.223534247568626,0.5966298051606109,22.258520873313255,3.090909090909091
monthly,West Kill,Baseline (same Strava window),Seasonal naive,2024-11-01 00:00:00,2025-07-01 00:00:00,9,24.555555555555557,31.571787687392327,-0.6996252947120241,39.93601287951837,12.555555555555555
monthly,Rock Shelter (N Lake Bypass),Baseline (same Strava window),Seasonal naive,2025-01-01 00:00:00,2025-12-01 00:00:00,12,31.0,38.45776904605882,-0.9837001574099087,47.486588399006294,20.5
monthly,Devils Tombstone (Plateau Mtn),Baseline (same Strava window),Seasonal naive,2024-04-01 00:00:00,2025-01-01 00:00:00,10,35.2,39.26576116669585,0.47108061749571184,45.916931123225815,-8.0
monthly,Mink Hollow (Lake Hill),Baseline (same Strava window),Seasonal naive,2023-12-01 00:00:00,2024-05-01 00:00:00,6,36.166666666666664,42.924352062669506,-6.896428571428571,121.11533893847775,22.5
monthly,Little Pond Campground,Baseline (same Strava window),Seasonal naive,2024-12-01 00:00:00,2025-11-01 00:00:00,12,30.083333333333332,45.91386863828111,0.47016349035412164,80.33349753075946,-22.083333333333332
monthly,Spruceton,Baseline (same Strava window),Seasonal naive,2024-07-01 00:00:00,2025-04-01 00:00:00,10,35.8,46.00434762063255,0.7855118113428213,13.039585991715757,12.8
monthly,Diamond Notch (Lanesville),Baseline (same Strava window),Seasonal naive,2024-08-01 00:00:00,2025-04-01 00:00:00,9,43.666666666666664,51.18485018918087,0.560647028620644,80.87854885307154,43.666666666666664
monthly,Catskill Mt. House,Baseline (same Strava window),Seasonal naive,2025-01-01 00:00:00,2025-12-01 00:00:00,12,37.833333333333336,52.965397509443214,0.8579799278804321,49.444021775113086,-14.666666666666666
monthly,Onteora Lake,Baseline (same Strava window),Seasonal naive,2025-09-01 00:00:00,2026-03-01 00:00:00,7,33.739059,53.9901092802063,0.37256273916116733,15.937694026349705,-4.709920714285723
monthly,Roaring Kill,Baseline (same Strava window),Seasonal naive,2023-12-01 00:00:00,2024-08-01 00:00:00,9,49.77777777777778,60.28082429577235,0.6485187768086591,39.81891532903839,10.88888888888889
monthly,Millbrook to BLM FT,Baseline (same Strava window),Seasonal naive,2026-02-01 00:00:00,2026-03-01 00:00:00,2,65.05555550000001,68.14259726304162,-29.80334272605777,36.18565343296336,65.05555550000001
monthly,Bouchoux Trail,Baseline (same Strava window),Seasonal naive,2025-01-01 00:00:00,2025-12-01 00:00:00,12,48.666666666666664,70.4355497363843,0.4844187073661481,51.33178543959761,11.0
