frequency,feature_set,model,train_rows,test_rows,locations,pca_components,pca_explained_variance,n,MAE,RMSE,R2,sMAPE_pct,bias
daily,History + Strava summary + edge PCA,HistGradientBoosting,1509,378,1,10,0.9660054422354837,378,21.88345061230184,34.75539835961745,0.5855155150505795,58.85332417890052,-10.346925817570433
daily,History + Strava summary + edge PCA,Random Forest,1509,378,1,10,0.9660054422354837,378,21.940495622972026,35.1201500733268,0.576769981547909,58.849344524460015,-11.30684433579787
daily,History + calendar,Random Forest,1509,378,1,0,,378,22.07581275282436,35.753709467523315,0.5613623048965513,59.61395403003644,-12.394878727871651
daily,History + calendar,HistGradientBoosting,1509,378,1,0,,378,23.036825953107982,36.43332347485418,0.5445283852306821,60.96175588308779,-13.124486911119208
daily,History + calendar,Ridge,1509,378,1,0,,378,22.936259161903365,36.59538345625021,0.540467383889355,61.26574902613812,-11.782799751132995
daily,Baseline (same Strava window),Seasonal naive,1509,378,1,0,,378,29.96825396825397,44.03840315430332,0.334532480362175,78.70812422148856,-0.1746031746031746
daily,Baseline (same Strava window),Previous observation,1509,378,1,0,,378,33.98677248677249,52.72994490749151,0.04593410275597831,79.37557257330681,0.05026455026455026
daily,History + Strava summary + edge PCA,Ridge,1509,378,1,10,0.9660054422354837,378,34.949935757114076,58.23779714177309,-0.16378730625330484,72.72497635636398,9.60897599604229
hourly,History + Strava summary + edge PCA,HistGradientBoosting,36099,9025,1,10,0.9660054422354837,9025,1.2514958642148113,2.989552663403588,0.6312507630735191,142.80626460647227,-0.48555560334751485
hourly,History + calendar,Random Forest,36099,9025,1,0,,9025,1.2805212908495145,3.0168437617318924,0.6244875398718874,152.24844083809722,-0.4933589963348568
hourly,History + calendar,HistGradientBoosting,36099,9025,1,0,,9025,1.255470127098723,3.029243630538448,0.6213943240402287,144.01243259015624,-0.5426079070620003
hourly,History + Strava summary + edge PCA,Random Forest,36099,9025,1,10,0.9660054422354837,9025,1.3052971121651669,3.0564352328435995,0.6145668108985118,151.20508047846727,-0.47657222327602355
hourly,Baseline (same Strava window),Previous observation,36099,9025,1,0,,9025,1.546371191135734,3.627961585127094,0.456944678917655,51.9905287089261,0.0
hourly,Baseline (same Strava window),Seasonal naive,36099,9025,1,0,,9025,2.0988365650969527,4.984118823143495,-0.024933029049527322,60.6881044719081,-0.00022160664819944597
hourly,History + calendar,Ridge,36099,9025,1,0,,9025,1.6101956719773654,12.94025226734746,-5.908825116611359,108.18169574456556,-0.34143808016430255
hourly,History + Strava summary + edge PCA,Ridge,36099,9025,1,10,0.9660054422354837,9025,3.076887699123746,16.952601846726978,-10.857453715390387,123.72164591586883,1.428660516965186
monthly,Baseline (same Strava window),Seasonal naive,2498,662,79,0,,662,46.83458808459214,137.22632614192634,0.6472761218793202,47.39149267999284,7.538284851963746
monthly,History + Strava summary + edge PCA,HistGradientBoosting,2498,662,79,10,0.9563039804793566,662,41.940526911909394,142.55913054252656,0.6193287625649737,44.83267613130077,-9.016375815358531
monthly,History + calendar,HistGradientBoosting,2498,662,79,0,,662,41.481374123942864,146.5906835762312,0.5974936576733754,44.47441728682798,-13.379079828399774
monthly,Baseline (same Strava window),Previous observation,2498,662,79,0,,662,50.042175992447135,161.7215619541865,0.5101130817741042,55.62176476305057,3.0419941586102723
monthly,History + Strava summary + edge PCA,Random Forest,2498,662,79,10,0.9563039804793566,662,43.12812271455653,166.69436904206358,0.4795226352980082,44.99033387735465,-15.85569374826397
monthly,History + calendar,Random Forest,2498,662,79,0,,662,42.129315133587575,168.0087550454986,0.4712823418135478,42.134894715500664,-20.969424550239026
monthly,History + calendar,Ridge,2498,662,79,0,,662,3724.762431309438,64893.42125248513,-78877.9880601541,54.56048223096065,3685.0026713521347
monthly,History + Strava summary + edge PCA,Ridge,2498,662,79,10,0.9563039804793566,662,4685.522352213175,79546.52067624166,-118521.92616738527,56.21248209226479,4655.778122784319
yearly,History + Strava summary + edge PCA,Random Forest,290,101,90,4,1.0,101,444.7998188338512,1070.3418195839397,0.3152421237980897,51.00032097076603,-58.039619791367606
yearly,History + Strava summary + edge PCA,HistGradientBoosting,290,101,90,4,1.0,101,455.925702907552,1087.7847879462718,0.2927417693200308,51.94218343667235,-38.585130646832376
yearly,History + calendar,Random Forest,290,101,90,0,,101,453.36936172210005,1089.966091182271,0.2899024365863606,51.414557702466254,-63.26774729322923
yearly,History + calendar,HistGradientBoosting,290,101,90,0,,101,456.883734185274,1117.1630310530134,0.25402347789011415,52.99574503323397,-139.99798763730277
yearly,Baseline (same Strava window),Previous observation,290,101,90,0,,101,622.8353226732672,1270.871491984711,0.034626610193064566,60.669608038026965,437.67057332673267
yearly,Baseline (same Strava window),Seasonal naive,290,101,90,0,,101,622.8353226732672,1270.871491984711,0.034626610193064566,60.669608038026965,437.67057332673267
yearly,History + calendar,Ridge,290,101,90,0,,101,6446.722814284436,53993.47321777164,-1741.5071870959916,67.39677177979858,6030.950849172264
yearly,History + Strava summary + edge PCA,Ridge,290,101,90,4,1.0,101,6888.8438321732365,56677.19379111515,-1919.0331475028886,69.48842316603135,6516.853440961321
