location,start_date,end_date,year,month,visitation_count,frequency,source_file,source_sheet,source_row,source_col,target_processing
Acra Point,1996-01-01,1996-12-31,1996,,682.0,annual,Trail Register Database R4(1).xlsx,aggregated,0,0,aggregated_annual_from_monthly; source_records=8
Acra Point,1997-01-01,1997-12-31,1997,,1102.0,annual,Trail Register Database R4(1).xlsx,aggregated,0,0,aggregated_annual_from_monthly; source_records=12
Acra Point,1998-01-01,1998-12-31,1998,,1284.0,annual,Trail Register Database R4(1).xlsx,aggregated,0,0,aggregated_annual_from_monthly; source_records=11
Acra Point,1999-01-01,1999-12-31,1999,,1170.0,annual,Trail Register Database R4(1).xlsx,aggregated,0,0,aggregated_annual_from_monthly; source_records=12
Acra Point,2000-01-01,2000-12-31,2000,,1106.0,annual,Trail Register Database R4(1).xlsx,aggregated,0,0,aggregated_annual_from_monthly; source_records=12
Acra Point,2004-01-01,2004-12-31,2004,,675.0,annual,Trail Register Database R4(1).xlsx,aggregated,0,0,aggregated_annual_from_monthly; source_records=9
Acra Point,2005-01-01,2005-12-31,2005,,774.0,annual,Trail Register Database R4(1).xlsx,aggregated,0,0,aggregated_annual_from_monthly; source_records=12
Acra Point,2006-01-01,2006-12-31,2006,,860.0,annual,Trail Register Database R4(1).xlsx,aggregated,0,0,aggregated_annual_from_monthly; source_records=12
Acra Point,2007-01-01,2007-12-31,2007,,212.0,annual,Trail Register Database R4(1).xlsx,aggregated,0,0,aggregated_annual_from_monthly; source_records=6
Acra Point,2008-01-01,2008-12-31,2008,,799.0,annual,Trail Register Database R4(1).xlsx,aggregated,0,0,aggregated_annual_from_monthly; source_records=12
Acra Point,2009-01-01,2009-12-31,2009,,925.0,annual,Trail Register Database R4(1).xlsx,aggregated,0,0,aggregated_annual_from_monthly; source_records=12
Acra Point,2010-01-01,2010-12-31,2010,,1027.0,annual,Trail Register Database R4(1).xlsx,aggregated,0,0,aggregated_annual_from_monthly; source_records=12
Acra Point,2011-01-01,2011-12-31,2011,,887.0,annual,Trail Register Database R4(1).xlsx,aggregated,0,0,aggregated_annual_from_monthly; source_records=12
Acra Point,2012-01-01,2012-12-31,2012,,674.0,annual,Trail Register Database R4(1).xlsx,aggregated,0,0,aggregated_annual_from_monthly; source_records=9
Acra Point,2013-01-01,2013-12-31,2013,,888.0,annual,Trail Register Database R4(1).xlsx,aggregated,0,0,aggregated_annual_from_monthly; source_records=9
Acra Point,2014-01-01,2014-12-31,2014,,743.0,annual,Trail Register Database R4(1).xlsx,aggregated,0,0,aggregated_annual_from_monthly; source_records=12
Acra Point,2015-01-01,2015-12-31,2015,,867.0,annual,Trail Register Database R4(1).xlsx,aggregated,0,0,aggregated_annual_from_monthly; source_records=12
Acra Point,2016-01-01,2016-12-31,2016,,1207.0,annual,Trail Register Database R4(1).xlsx,aggregated,0,0,aggregated_annual_from_monthly; source_records=12
Acra Point,2017-01-01,2017-12-31,2017,,1328.0,annual,Trail Register Database R4(1).xlsx,aggregated,0,0,aggregated_annual_from_monthly; source_records=12
Acra Point,2018-01-01,2018-12-31,2018,,1026.0,annual,Trail Register Database R4(1).xlsx,aggregated,0,0,aggregated_annual_from_monthly; source_records=12
Acra Point,2019-01-01,2019-12-31,2019,,1617.0,annual,Trail Register Database R4(1).xlsx,aggregated,0,0,aggregated_annual_from_monthly; source_records=12
Acra Point,2020-01-01,2020-12-31,2020,,2057.0,annual,Trail Register Database R4(1).xlsx,aggregated,0,0,aggregated_annual_from_monthly; source_records=12
Acra Point,2021-01-01,2021-12-31,2021,,2057.0,annual,Trail Register Database R4(1).xlsx,aggregated,0,0,aggregated_annual_from_monthly; source_records=12
Acra Point,2022-01-01,2022-12-31,2022,,1533.0,annual,Trail Register Database R4(1).xlsx,aggregated,0,0,aggregated_annual_from_monthly; source_records=11
Acra Point,2023-01-01,2023-12-31,2023,,601.0,annual,Trail Register Database R4(1).xlsx,aggregated,0,0,aggregated_annual_from_monthly; source_records=8
Acra Point,2024-01-01,2024-12-31,2024,,1341.0,annual,Trail Register Database R4(1).xlsx,aggregated,0,0,aggregated_annual_from_monthly; source_records=12
Acra Point,2025-01-01,2025-12-31,2025,,1243.0,annual,Trail Register Database R4(1).xlsx,aggregated,0,0,aggregated_annual_from_monthly; source_records=11
Alder Lake,1991-01-01,1991-12-31,1991,,1348.0,annual,Trail Register Tally_8_9_24_(1).xlsx,aggregated,0,0,aggregated_annual_from_monthly; source_records=9
Alder Lake,1992-01-01,1992-12-31,1992,,823.0,annual,Trail Register Tally_8_9_24_(1).xlsx,aggregated,0,0,aggregated_annual_from_monthly; source_records=12
Alder Lake,1993-01-01,1993-12-31,1993,,1170.0,annual,Trail Register Tally_8_9_24_(1).xlsx,aggregated,0,0,aggregated_annual_from_monthly; source_records=12
Alder Lake,1994-01-01,1994-12-31,1994,,826.0,annual,Trail Register Tally_8_9_24_(1).xlsx,aggregated,0,0,aggregated_annual_from_monthly; source_records=12
Alder Lake,1995-01-01,1995-12-31,1995,,1296.0,annual,Trail Register Tally_8_9_24_(1).xlsx,aggregated,0,0,aggregated_annual_from_monthly; source_records=12
Alder Lake,1996-01-01,1996-12-31,1996,,1151.0,annual,Trail Register Tally_8_9_24_(1).xlsx,aggregated,0,0,aggregated_annual_from_monthly; source_records=12
Alder Lake,1997-01-01,1997-12-31,1997,,1250.0,annual,Trail Register Tally_8_9_24_(1).xlsx,aggregated,0,0,aggregated_annual_from_monthly; source_records=12
Alder Lake,1998-01-01,1998-12-31,1998,,2013.0,annual,Trail Register Tally_8_9_24_(1).xlsx,aggregated,0,0,aggregated_annual_from_monthly; source_records=12
Alder Lake,1999-01-01,1999-12-31,1999,,2135.0,annual,Trail Register Tally_8_9_24_(1).xlsx,aggregated,0,0,aggregated_annual_from_monthly; source_records=12
Alder Lake,2000-01-01,2000-12-31,2000,,1472.0,annual,Trail Register Tally_8_9_24_(1).xlsx,aggregated,0,0,aggregated_annual_from_monthly; source_records=12
Alder Lake,2008-01-01,2008-12-31,2008,,1630.666665,annual,Trail Register Tally_8_9_24_(1).xlsx,aggregated,0,0,aggregated_annual_from_monthly; source_records=12
Alder Lake,2009-01-01,2009-12-31,2009,,1567.625,annual,Trail Register Tally_8_9_24_(1).xlsx,aggregated,0,0,aggregated_annual_from_monthly; source_records=12
Alder Lake,2011-01-01,2011-12-31,2011,,1607.142857,annual,Trail Register Tally_8_9_24_(1).xlsx,aggregated,0,0,aggregated_annual_from_monthly; source_records=12
Alder Lake,2013-01-01,2013-12-31,2013,,1580.499999,annual,Trail Register Tally_8_9_24_(1).xlsx,aggregated,0,0,aggregated_annual_from_monthly; source_records=12
Alder Lake,2016-01-01,2016-12-31,2016,,2678.0,annual,Trail Register Tally_8_9_24_(1).xlsx,aggregated,0,0,aggregated_annual_from_monthly; source_records=12
Alder Lake,2017-01-01,2017-12-31,2017,,2316.0,annual,Trail Register Tally_8_9_24_(1).xlsx,aggregated,0,0,aggregated_annual_from_monthly; source_records=12
Alder Lake,2018-01-01,2018-12-31,2018,,2058.0,annual,Trail Register Tally_8_9_24_(1).xlsx,aggregated,0,0,aggregated_annual_from_monthly; source_records=12
Alder Lake,2019-01-01,2019-12-31,2019,,2242.0,annual,Trail Register Tally_8_9_24_(1).xlsx,aggregated,0,0,aggregated_annual_from_monthly; source_records=12
Alder Lake,2020-01-01,2020-12-31,2020,,2476.0,annual,Trail Register Tally_8_9_24_(1).xlsx,aggregated,0,0,aggregated_annual_from_monthly; source_records=12
Alder Lake,2024-01-01,2024-12-31,2024,,127.555556,annual,Trail Register Tally_8_9_24_(1).xlsx,aggregated,0,0,aggregated_annual_from_monthly; source_records=2
Alder Lake,2025-01-01,2025-12-31,2025,,2120.027777,annual,Trail Register Tally_8_9_24_(1).xlsx,aggregated,0,0,aggregated_annual_from_monthly; source_records=12
Alder Lake,2026-01-01,2026-12-31,2026,,1101.125,annual,Trail Register Tally_8_9_24_(1).xlsx,aggregated,0,0,aggregated_annual_from_monthly; source_records=7
All Canister Peaks,2019-01-01,2019-12-31,2019,,9314.0,annual,Canister sign in charts R3 and R4 2025.xlsx,aggregated,0,0,aggregated_annual_from_monthly; source_records=12
